Element 16: (1, (7, 4), ['.', '', '.', '.'], [(5, 10), (16, 2), (18, 13)], [False, False, False, False], 68, False, [True, False, True, True], 4454, 'East', (8, 4))
Element 17: (1, (8, 4), ['', '%', '%', '.'], [(6, 10), (16, 3), (17, 13)], [False, True, True, False], 66, False, [False, False, False, True], 4483, 'East', (9, 4))
Element 18: (1, (9, 4), ['', '%', '.', '.'], [(6, 9), (17, 3), (16, 13)], [False, True, False, False], 64, False, [False, False, True, True], 5502, 'East', (10, 4))
Element 19: (1, (10, 4), ['', '.', '.', '%'], [(7, 9), (17, 4), (16, 12)], [False, False, False, True], 62, False, [False, True, True, False], 6521, 'North', (10, 5))
Element 20: (1, (10, 5), ['.', '', '.', '%'], [(8, 9), (18, 4), (15, 12)], [False, False, False, True], 60, False, [True, False, True, False], 6560, 'North', (10, 6))
Element 21: (1, (10, 6), ['.', '', 'F', '%'], [(9, 9), (18, 5), (15, 11)], [False, False, False, True], 58, False, [True, False, False, False], 6599, 'North', (10, 7))
Element 22: (1, (10, 7), ['F', '', '.', '%'], [(9, 10), (18, 6), (15, 10)], [False, False, False, True], 56, False, [False, False, True, False], 7628, 'West', (9, 7))
Element 23: (1, (9, 7), ['%', '.', '.', ''], [(10, 10), (17, 6), (15, 9)], [True, False, False, False], 54, False, [False, True, True, False], 8657, 'North', (9, 8))
Element 24: (1, (9, 8), ['.', '', '', '.'], [(11, 10), (17, 5), (15, 8)], [False, False, False, False], 52, False, [True, False, False, True], 8696, 'East', (10, 8))
Element 25: (1, (10, 8), ['', '', '%', '.'], [(12, 10), (17, 6), (15, 7)], [False, False, True, False], 50, False, [False, False, False, True], 8725, 'East', (11, 8))
Element 26: (1, (11, 8), ['', '%', '.', '%'], [(13, 10), (16, 6), (16, 7)], [False, True, False, True], 48, False, [False, False, True, False], 8764, 'North', (11, 9))
Element 27: (1, (11, 9), ['%', '', '', '.'], [(14, 10), (15, 6), (16, 6)], [True, False, False, False], 46, False, [False, False, False, True], 8793, 'East', (12, 9))
Element 28: (1, (12, 9), ['', '%', '', '.'], [(14, 11), (15, 5), (17, 6)], [False, True, False, False], 44, False, [False, False, False, True], 8822, 'East', (13, 9))
Element 29: (1, (13, 9), ['', '.', '', '%'], [(14, 12), (15, 4), (18, 6)], [False, False, False, True], 42, False, [False, True, False, False], 8851, 'South', (13, 8))
Element 30: (1, (13, 8), ['%', '.', '', '.'], [(13, 12), (16, 4), (18, 5)], [True, False, False, False], 40, False, [False, True, False, True], 8880, 'East', (14, 8))
