Element 1: (0, (15, 6), ['G', '.', '.', '.'], [(10, 12), (14, 6), (18, 10)], [False, False, False, False], 98, False, [False, True, True, True], 0, 'East', (16, 6))
Element 2: (0, (16, 6), ['', '%', '.', '.'], [(10, 13), (14, 7), (18, 11)], [False, True, False, False], 96, False, [False, False, True, True], 39, 'East', (17, 6))
Element 3: (0, (17, 6), ['', '.', '%', '.'], [(11, 13), (15, 7), (17, 11)], [False, False, True, False], 94, False, [False, True, False, True], 78, 'East', (18, 6))
Element 4: (0, (18, 6), ['', '.', '%', '%'], [(12, 13), (16, 7), (17, 10)], [False, False, True, True], 92, False, [False, True, False, False], 1107, 'South', (18, 5))
Element 5: (0, (18, 5), ['.', '.', '', '%'], [(12, 12), (16, 8), (17, 9)], [False, False, False, True], 90, False, [True, True, False, False], 1146, 'South', (18, 4))
Element 6: (0, (18, 4), ['.', '%', '', '%'], [(13, 12), (17, 8), (18, 9)], [False, True, False, True], 88, False, [True, False, False, False], 1185, 'West', (17, 4))
Element 7: (0, (17, 4), ['.', '.', '.', ''], [(14, 12), (18, 8), (17, 9)], [False, False, False, False], 86, False, [True, True, True, False], 1214, 'North', (17, 5))
Element 8: (0, (17, 5), ['%', '', '', ''], [(15, 12), (18, 9), (16, 9)], [True, False, False, False], 84, False, [False, False, False, False], 1243, 'South', (17, 4))
Element 9: (0, (17, 4), ['.', '.', '', ''], [(16, 12), (18, 10), (16, 10)], [False, False, False, False], 82, False, [True, True, False, False], 1262, 'South', (17, 3))
Element 10: (0, (17, 3), ['.', '%', '', '%'], [(16, 13), (18, 11), (16, 11)], [False, True, False, True], 80, False, [True, False, False, False], 1291, 'West', (16, 3))
Element 11: (0, (16, 3), ['%', '.', '.', ''], [(17, 13), (17, 11), (15, 11)], [True, False, False, False], 78, False, [False, True, True, False], 1320, 'North', (16, 4))
Element 12: (0, (16, 4), ['.', '', '%', ''], [(18, 13), (17, 10), (15, 10)], [False, False, True, False], 76, False, [True, False, False, False], 1349, 'West', (15, 4))
Element 13: (0, (15, 4), ['%', '%', '.', ''], [(17, 13), (17, 9), (15, 9)], [True, True, False, False], 74, False, [False, False, True, False], 1368, 'North', (15, 5))
Element 14: (0, (15, 5), ['.', '', '', '%'], [(16, 13), (16, 9), (15, 8)], [False, False, False, True], 72, False, [True, False, False, False], 1387, 'West', (14, 5))
Element 15: (0, (14, 5), ['.', '%', '', ''], [(16, 12), (16, 10), (14, 8)], [False, True, False, False], 70, False, [True, False, False, False], 1406, 'West', (13, 5))
Element 16: (0, (13, 5), ['.', '%', '.', ''], [(16, 11), (15, 10), (13, 8)], [False, True, False, False], 68, False, [True, False, True, False], 1425, 'North', (13, 6))
Element 17: (0, (13, 6), ['.', '', '.', ''], [(17, 11), (14, 10), (13, 9)], [False, False, False, False], 66, False, [True, False, True, False], 1454, 'North', (13, 7))
Element 18: (0, (13, 7), ['.', '', '', ''], [(18, 11), (14, 11), (13, 10)], [False, False, False, False], 64, False, [True, False, False, False], 1483, 'West', (12, 7))
Element 19: (0, (12, 7), ['%', '.', '%', ''], [(18, 10), (13, 11), (12, 10)], [True, False, True, False], 62, False, [False, True, False, False], 1512, 'South', (12, 6))
Element 20: (0, (12, 6), ['%', '.', '', ''], [(18, 9), (12, 11), (12, 9)], [True, False, False, False], 60, False, [False, True, False, False], 1541, 'South', (12, 5))
Element 21: (0, (12, 5), ['%', '%', '', ''], [(18, 8), (11, 11), (11, 9)], [True, True, False, False], 58, False, [False, False, False, False], 1570, 'North', (12, 6))
Element 22: (0, (12, 6), ['%', '', '', ''], [(17, 8), (11, 10), (11, 8)], [True, False, False, False], 56, False, [False, False, False, False], 1589, 'North', (12, 7))
Element 23: (0, (12, 7), ['%', '', '%', ''], [(17, 9), (10, 10), (10, 8)], [True, False, True, False], 54, False, [False, False, False, False], 1608, 'East', (13, 7))
Element 24: (0, (13, 7), ['', '', '', ''], [(17, 10), (10, 11), (10, 7)], [False, False, False, False], 52, False, [False, False, False, False], 2617, 'East', (14, 7))
