Element 1: (0, (10, 6), ['.', '.', 'F', '%'], [(3, 1), (9, 5), (16, 12)], [False, False, False, True], 98, False, [True, True, False, False], 0, 'North', (10, 7))
Element 2: (0, (10, 7), ['F', '', '.', '%'], [(2, 1), (10, 5), (16, 13)], [False, False, False, True], 96, False, [False, False, True, False], 2019, 'West', (9, 7))
Element 3: (0, (9, 7), ['%', '.', '.', ''], [(2, 2), (10, 4), (17, 13)], [True, False, False, False], 94, False, [False, True, True, False], 3048, 'North', (9, 8))
Element 4: (0, (9, 8), ['.', '', '.', '.'], [(3, 2), (10, 3), (18, 13)], [False, False, False, False], 92, False, [True, False, True, True], 3087, 'East', (10, 8))
Element 5: (0, (10, 8), ['', '', '%', '.'], [(4, 2), (11, 3), (17, 13)], [False, False, True, False], 90, False, [False, False, False, True], 3116, 'East', (11, 8))
Element 6: (0, (11, 8), ['', '%', '.', '%'], [(5, 2), (12, 3), (16, 13)], [False, True, False, True], 88, False, [False, False, True, False], 3145, 'North', (11, 9))
Element 7: (0, (11, 9), ['%', '', '.', '.'], [(6, 2), (13, 3), (16, 12)], [True, False, False, False], 86, False, [False, False, True, True], 3174, 'East', (12, 9))
Element 8: (0, (12, 9), ['', '%', '.', '.'], [(7, 2), (14, 3), (16, 11)], [False, True, False, False], 84, False, [False, False, True, True], 3213, 'East', (13, 9))
Element 9: (0, (13, 9), ['', '.', '.', '%'], [(8, 2), (14, 2), (17, 11)], [False, False, False, True], 82, False, [False, True, True, False], 3252, 'North', (13, 10))
Element 10: (0, (13, 10), ['.', '', '.', '.'], [(9, 2), (15, 2), (18, 11)], [False, False, False, False], 80, False, [True, False, True, True], 3291, 'East', (14, 10))
Element 11: (0, (14, 10), ['', '%', '.', '.'], [(9, 1), (16, 2), (18, 10)], [False, True, False, False], 78, False, [False, False, True, True], 4320, 'East', (15, 10))
Element 12: (0, (15, 10), ['', '.', '.', '.'], [(10, 1), (16, 3), (18, 9)], [False, False, False, False], 76, False, [False, True, True, True], 4359, 'East', (16, 10))
Element 13: (0, (16, 10), ['', '.', '', '.'], [(11, 1), (17, 3), (18, 8)], [False, False, False, False], 74, False, [False, True, False, True], 4398, 'East', (17, 10))
Element 14: (0, (17, 10), ['', '.', '', ''], [(12, 1), (17, 4), (17, 8)], [False, False, False, False], 72, False, [False, True, False, False], 4437, 'South', (17, 9))
Element 15: (0, (17, 9), ['.', '', '', ''], [(13, 1), (18, 4), (16, 8)], [False, False, False, False], 70, False, [True, False, False, False], 4476, 'West', (16, 9))
Element 16: (0, (16, 9), ['.', '', '', ''], [(14, 1), (18, 5), (16, 7)], [False, False, False, False], 68, False, [True, False, False, False], 4515, 'West', (15, 9))
Element 17: (0, (15, 9), ['%', '.', '', ''], [(14, 2), (18, 6), (16, 6)], [True, False, False, False], 66, False, [False, True, False, False], 4544, 'South', (15, 8))
Element 18: (0, (15, 8), ['.', '.', '', ''], [(15, 2), (17, 6), (15, 6)], [False, False, False, False], 64, False, [True, True, False, False], 4573, 'South', (15, 7))
Element 19: (0, (15, 7), ['.', '', '', ''], [(16, 2), (17, 5), (15, 5)], [False, False, False, False], 62, False, [True, False, False, False], 4602, 'West', (14, 7))
Element 20: (0, (14, 7), ['.', '.', '.', ''], [(16, 3), (17, 6), (15, 4)], [False, False, False, False], 60, False, [True, True, True, False], 4621, 'North', (14, 8))
Element 21: (0, (14, 8), ['.', '', '%', ''], [(16, 4), (16, 6), (15, 5)], [False, False, True, False], 58, False, [True, False, False, False], 4640, 'West', (13, 8))
Element 22: (0, (13, 8), ['%', '.', '', ''], [(17, 4), (16, 7), (14, 5)], [True, False, False, False], 56, False, [False, True, False, False], 4659, 'South', (13, 7))
Element 23: (0, (13, 7), ['.', '.', '', ''], [(18, 4), (16, 8), (14, 6)], [False, False, False, False], 54, False, [True, True, False, False], 4678, 'South', (13, 6))
Element 24: (0, (13, 6), ['.', '.', '', ''], [(18, 5), (17, 8), (14, 7)], [False, False, False, False], 52, False, [True, True, False, False], 4687, 'South', (13, 5))
Element 25: (0, (13, 5), ['.', '%', '', ''], [(18, 6), (18, 8), (15, 7)], [False, True, False, False], 50, False, [True, False, False, False], 4696, 'West', (12, 5))
Element 26: (0, (12, 5), ['%', '%', '.', ''], [(17, 6), (18, 9), (15, 8)], [True, True, False, False], 48, False, [False, False, True, False], 4705, 'North', (12, 6))
Element 27: (0, (12, 6), ['%', '', '.', ''], [(17, 5), (18, 10), (15, 9)], [True, False, False, False], 46, False, [False, False, True, False], 4714, 'North', (12, 7))
Element 28: (0, (12, 7), ['%', '', '%', ''], [(17, 6), (18, 11), (16, 9)], [True, False, True, False], 44, False, [False, False, False, False], 4723, 'South', (12, 6))
Element 29: (0, (12, 6), ['%', '', '', ''], [(16, 6), (17, 11), (17, 9)], [True, False, False, False], 42, False, [False, False, False, False], 4722, 'South', (12, 5))
Element 30: (0, (12, 5), ['%', '%', '', ''], [(16, 7), (17, 10), (16, 9)], [True, True, False, False], 40, False, [False, False, False, False], 4721, 'East', (13, 5))
Element 31: (0, (13, 5), ['', '%', '', ''], [(16, 8), (17, 9), (16, 10)], [False, True, False, False], 38, False, [False, False, False, False], 4720, 'East', (14, 5))
Element 32: (0, (14, 5), ['', '%', '', ''], [(17, 8), (16, 9), (17, 10)], [False, True, False, False], 36, False, [False, False, False, False], 4719, 'East', (15, 5))
Element 33: (0, (15, 5), ['', '', '', '%'], [(18, 8), (16, 10), (17, 9)], [False, False, False, True], 34, False, [False, False, False, False], 4718, 'North', (15, 6))
Element 34: (0, (15, 6), ['', '', '', ''], [(18, 9), (16, 11), (17, 10)], [False, False, False, False], 32, False, [False, False, False, False], 4717, 'East', (16, 6))
Element 35: (0, (16, 6), ['', '%', '', ''], [(18, 10), (15, 11), (16, 10)], [False, True, False, False], 30, False, [False, False, False, False], 4726, 'East', (17, 6))
Element 36: (0, (17, 6), ['', '', '%', ''], [(18, 11), (15, 12), (16, 9)], [False, False, True, False], 28, False, [False, False, False, False], 4735, 'East', (18, 6))
Element 37: (0, (18, 6), ['', '', '%', '%'], [(17, 11), (14, 12), (15, 9)], [False, False, True, True], 26, False, [False, False, False, False], 4744, 'South', (18, 5))
Element 38: (0, (18, 5), ['', '', '', '%'], [(17, 10), (14, 11), (15, 10)], [False, False, False, True], 24, False, [False, False, False, False], 4753, 'South', (18, 4))
Element 39: (0, (18, 4), ['', '%', '', '%'], [(17, 9), (13, 11), (15, 11)], [False, True, False, True], 22, False, [False, False, False, False], 4762, 'West', (17, 4))
Element 40: (0, (17, 4), ['', '', '', ''], [(16, 9), (13, 12), (15, 12)], [False, False, False, False], 20, False, [False, False, False, False], 4771, 'North', (17, 5))
Element 41: (0, (17, 5), ['%', '', '', ''], [(16, 10), (12, 12), (14, 12)], [True, False, False, False], 18, False, [False, False, False, False], 4780, 'South', (17, 4))
Element 42: (0, (17, 4), ['', '', '', ''], [(16, 11), (12, 13), (14, 11)], [False, False, False, False], 16, False, [False, False, False, False], 5779, 'South', (17, 3))
Element 43: (0, (17, 3), ['', '%', '', '%'], [(16, 12), (11, 13), (14, 10)], [False, True, False, True], 14, False, [False, False, False, False], 5788, 'West', (16, 3))
Element 44: (0, (16, 3), ['%', '', '', ''], [(16, 13), (10, 13), (13, 10)], [True, False, False, False], 12, False, [False, False, False, False], 5797, 'North', (16, 4))
Element 45: (0, (16, 4), ['', '', '%', ''], [(17, 13), (10, 12), (12, 10)], [False, False, True, False], 10, False, [False, False, False, False], 5816, 'West', (15, 4))
Element 46: (0, (15, 4), ['%', '%', '', ''], [(18, 13), (10, 11), (12, 11)], [True, True, False, False], 8, False, [False, False, False, False], 5835, 'East', (16, 4))
Element 47: (0, (16, 4), ['', '', '%', ''], [(17, 13), (11, 11), (13, 11)], [False, False, True, False], 6, False, [False, False, False, False], 5844, 'South', (16, 3))
Element 48: (0, (16, 3), ['%', '', '', ''], [(16, 13), (11, 10), (13, 12)], [True, False, False, False], 4, False, [False, False, False, False], 5853, 'South', (16, 2))
Element 49: (0, (16, 2), ['', '%', '', '%'], [(16, 12), (10, 10), (12, 12)], [False, True, False, True], 2, False, [False, False, False, False], 5862, 'West', (15, 2))
Element 50: (0, (15, 2), ['', '%', '%', ''], [(15, 12), (9, 10), (12, 13)], [False, True, True, False], 0, False, [False, False, False, False], 5871, 'Stop', (15, 2))
Element 51: #0#
