Element 1: (1, (10, 6), ['.', '.', 'F', '%'], [(11, 13), (14, 2), (14, 3)], [False, False, False, True], 98, False, [True, True, False, False], 9, 'North', (10, 7))
Element 2: (1, (10, 7), ['F', '', '.', '%'], [(12, 13), (15, 2), (13, 3)], [False, False, False, True], 96, False, [False, False, True, False], 2028, 'West', (9, 7))
Element 3: (1, (9, 7), ['%', '.', '.', ''], [(12, 12), (16, 2), (12, 3)], [True, False, False, False], 94, False, [False, True, True, False], 3057, 'North', (9, 8))
Element 4: (1, (9, 8), ['.', '', '.', '.'], [(13, 12), (16, 3), (12, 2)], [False, False, False, False], 92, False, [True, False, True, True], 3096, 'East', (10, 8))
Element 5: (1, (10, 8), ['', '', '%', '.'], [(14, 12), (17, 3), (12, 1)], [False, False, True, False], 90, False, [False, False, False, True], 3135, 'East', (11, 8))
Element 6: (1, (11, 8), ['', '%', '.', '%'], [(15, 12), (17, 4), (13, 1)], [False, True, False, True], 88, False, [False, False, True, False], 3174, 'North', (11, 9))
Element 7: (1, (11, 9), ['%', '', '.', '.'], [(16, 12), (18, 4), (14, 1)], [True, False, False, False], 86, False, [False, False, True, True], 3213, 'East', (12, 9))
Element 8: (1, (12, 9), ['', '%', '.', '.'], [(16, 13), (18, 5), (14, 2)], [False, True, False, False], 84, False, [False, False, True, True], 3242, 'East', (13, 9))
Element 9: (1, (13, 9), ['', '.', '.', '%'], [(17, 13), (18, 6), (15, 2)], [False, False, False, True], 82, False, [False, True, True, False], 3271, 'North', (13, 10))
Element 10: (1, (13, 10), ['.', '', '.', '.'], [(18, 13), (17, 6), (16, 2)], [False, False, False, False], 80, False, [True, False, True, True], 3300, 'East', (14, 10))
Element 11: (1, (14, 10), ['', '%', '.', '.'], [(17, 13), (17, 5), (16, 3)], [False, True, False, False], 78, False, [False, False, True, True], 3319, 'East', (15, 10))
Element 12: (1, (15, 10), ['', '.', '.', '.'], [(16, 13), (17, 6), (16, 4)], [False, False, False, False], 76, False, [False, True, True, True], 3338, 'East', (16, 10))
Element 13: (1, (16, 10), ['', '.', '.', '.'], [(16, 12), (16, 6), (15, 4)], [False, False, False, False], 74, False, [False, True, True, True], 3367, 'East', (17, 10))
Element 14: (1, (17, 10), ['', '.', '.', '.'], [(16, 11), (16, 7), (15, 5)], [False, False, False, False], 72, False, [False, True, True, True], 3406, 'East', (18, 10))
Element 15: (1, (18, 10), ['', '.', '.', '%'], [(17, 11), (16, 8), (15, 6)], [False, False, False, True], 70, False, [False, True, True, False], 3445, 'North', (18, 11))
Element 16: (1, (18, 11), ['', '', '%', '%'], [(17, 10), (17, 8), (15, 7)], [False, False, True, True], 68, False, [False, False, False, False], 3474, 'West', (17, 11))
Element 17: (1, (17, 11), ['', '', '%', ''], [(17, 9), (18, 8), (15, 8)], [False, False, True, False], 66, False, [False, False, False, False], 3503, 'West', (16, 11))
Element 18: (1, (16, 11), ['.', '', '', ''], [(16, 9), (18, 9), (15, 9)], [False, False, False, False], 64, False, [True, False, False, False], 3532, 'West', (15, 11))
Element 19: (1, (15, 11), ['.', 'G', '', ''], [(16, 10), (18, 10), (15, 10)], [False, False, False, False], 62, False, [True, False, False, False], 3541, 'West', (14, 11))
Element 20: (1, (14, 11), ['.', '', '', 'G'], [(15, 10), (18, 11), (15, 11)], [False, False, False, False], 60, False, [True, False, False, False], 3550, 'West', (13, 11))
