Element 1: (3, (17, 4), ['.', '.', '.', '.'], [(10, 4), (2, 7), (6, 13)], [False, False, False, False], 98, False, [True, True, True, True], 29, 'East', (18, 4))
Element 2: (3, (18, 4), ['', '%', '.', '%'], [(10, 5), (3, 7), (5, 13)], [False, True, False, True], 96, False, [False, False, True, False], 1058, 'North', (18, 5))
Element 3: (3, (18, 5), ['.', '', '.', '%'], [(10, 6), (3, 8), (4, 13)], [False, False, False, True], 94, False, [True, False, True, False], 3077, 'North', (18, 6))
Element 4: (3, (18, 6), ['.', '', '%', '%'], [(10, 7), (3, 7), (3, 13)], [False, False, True, True], 92, False, [True, False, False, False], 4096, 'West', (17, 6))
Element 5: (3, (17, 6), ['.', '.', '%', ''], [(9, 7), (3, 6), (3, 12)], [False, False, True, False], 90, False, [True, True, False, False], 5125, 'South', (17, 5))
Element 6: (3, (17, 5), ['%', '', '', ''], [(9, 8), (4, 6), (3, 11)], [True, False, False, False], 88, False, [False, False, False, False], 5164, 'North', (17, 6))
Element 7: (3, (17, 6), ['.', '', '%', ''], [(10, 8), (5, 6), (3, 10)], [False, False, True, False], 86, False, [True, False, False, False], 5193, 'West', (16, 6))
Element 8: (3, (16, 6), ['.', '%', '.', ''], [(11, 8), (6, 6), (4, 10)], [False, True, False, False], 84, False, [True, False, True, False], 5232, 'North', (16, 7))
Element 9: (3, (16, 7), ['.', '', '.', '%'], [(11, 9), (6, 7), (5, 10)], [False, False, False, True], 82, False, [True, False, True, False], 5271, 'North', (16, 8))
Element 10: (3, (16, 8), ['.', '', '.', '.'], [(12, 9), (5, 7), (6, 10)], [False, False, False, False], 80, False, [True, False, True, True], 5310, 'East', (17, 8))
Element 11: (3, (17, 8), ['', '%', '.', '.'], [(13, 9), (6, 7), (6, 9)], [False, True, False, False], 78, False, [False, False, True, True], 6329, 'East', (18, 8))
Element 12: (3, (18, 8), ['', '%', '.', '%'], [(13, 10), (6, 6), (7, 9)], [False, True, False, True], 76, False, [False, False, True, False], 7348, 'North', (18, 9))
Element 13: (3, (18, 9), ['.', '', '.', '%'], [(14, 10), (6, 5), (8, 9)], [False, False, False, True], 74, False, [True, False, True, False], 7387, 'North', (18, 10))
Element 14: (3, (18, 10), ['.', '', '.', '%'], [(15, 10), (7, 5), (9, 9)], [False, False, False, True], 72, False, [True, False, True, False], 7426, 'North', (18, 11))
Element 15: (3, (18, 11), ['.', '', '%', '%'], [(16, 10), (7, 4), (9, 10)], [False, False, True, True], 70, False, [True, False, False, False], 7465, 'West', (17, 11))
Element 16: (3, (17, 11), ['.', 'G', '%', ''], [(17, 10), (8, 4), (10, 10)], [False, False, True, False], 68, False, [True, False, False, False], 7504, 'West', (16, 11))
Element 17: (3, (16, 11), ['.', '', '.', ''], [(17, 9), (9, 4), (11, 10)], [False, False, False, False], 66, False, [True, False, True, False], 7533, 'North', (16, 12))
Element 18: (3, (16, 12), ['.', '', '.', '%'], [(16, 9), (9, 5), (12, 10)], [False, False, False, True], 64, False, [True, False, True, False], 7572, 'North', (16, 13))
Element 19: (3, (16, 13), ['%', '', '%', '.'], [(15, 9), (9, 6), (12, 11)], [True, False, True, False], 62, False, [False, False, False, True], 7611, 'East', (17, 13))
Element 20: (3, (17, 13), ['', '%', '%', '.'], [(15, 8), (10, 6), (13, 11)], [False, True, True, False], 60, False, [False, False, False, True], 7640, 'East', (18, 13))
Element 21: (3, (18, 13), ['', '%', '%', '%'], [(15, 7), (10, 7), (14, 11)], [False, True, True, True], 58, False, [False, False, False, False], 7669, 'West', (17, 13))
Element 22: (3, (17, 13), ['', '%', '%', ''], [(15, 6), (10, 8), (15, 11)], [False, True, True, False], 56, False, [False, False, False, False], 7688, 'West', (16, 13))
Element 23: (3, (16, 13), ['%', '', '%', ''], [(15, 5), (11, 8), (15, 12)], [True, False, True, False], 54, False, [False, False, False, False], 7707, 'South', (16, 12))
Element 24: (3, (16, 12), ['', '', '', '%'], [(15, 4), (11, 9), (14, 12)], [False, False, False, True], 52, False, [False, False, False, False], 7726, 'West', (15, 12))
Element 25: (3, (15, 12), ['', '', '%', ''], [(16, 4), (12, 9), (13, 12)], [False, False, True, False], 50, False, [False, False, False, False], 7745, 'South', (15, 11))
Element 26: (3, (15, 11), ['', '', '', ''], [(16, 3), (13, 9), (12, 12)], [False, False, False, False], 48, False, [False, False, False, False], 7764, 'South', (15, 10))
Element 27: (3, (15, 10), ['', '', '', ''], [(17, 3), (13, 8), (12, 13)], [False, False, False, False], 46, False, [False, False, False, False], 8783, 'East', (16, 10))
Element 28: (3, (16, 10), ['', '', '', ''], [(17, 4), (14, 8), (11, 13)], [False, False, False, False], 44, False, [False, False, False, False], 8802, 'East', (17, 10))
Element 29: (3, (17, 10), ['', '', '', ''], [(18, 4), (14, 7), (10, 13)], [False, False, False, False], 42, False, [False, False, False, False], 8821, 'South', (17, 9))
Element 30: (3, (17, 9), ['', '', '', ''], [(18, 5), (14, 6), (10, 12)], [False, False, False, False], 40, False, [False, False, False, False], 8840, 'West', (16, 9))
Element 31: (3, (16, 9), ['', '', '', ''], [(18, 6), (14, 5), (10, 11)], [False, False, False, False], 38, False, [False, False, False, False], 8859, 'West', (15, 9))
Element 32: (3, (15, 9), ['%', '', '', ''], [(17, 6), (13, 5), (11, 11)], [True, False, False, False], 36, False, [False, False, False, False], 8878, 'South', (15, 8))
Element 33: (3, (15, 8), ['', '', '', ''], [(17, 5), (13, 6), (10, 11)], [False, False, False, False], 34, False, [False, False, False, False], 8887, 'South', (15, 7))
