Element 39: (1, (17, 9), ['', '', '', ''], [(12, 10), (11, 1), (10, 11)], [False, False, False, False], 22, False, [False, False, False, False], 5901, 'West', (16, 9))
Element 40: (1, (16, 9), ['', '', '', ''], [(11, 10), (12, 1), (11, 11)], [False, False, False, False], 20, False, [False, False, False, False], 5920, 'North', (16, 10))
Element 41: (1, (16, 10), ['', '', '', ''], [(10, 10), (13, 1), (12, 11)], [False, False, False, False], 18, False, [False, False, False, False], 5929, 'North', (16, 11))
Element 42: (1, (16, 11), ['', '', '', ''], [(9, 10), (14, 1), (12, 10)], [False, False, False, False], 16, False, [False, False, False, False], 5938, 'North', (16, 12))
Element 43: (1, (16, 12), ['', '', '', '%'], [(9, 11), (13, 1), (12, 9)], [False, False, False, True], 14, False, [False, False, False, False], 5947, 'North', (16, 13))
Element 44: (1, (16, 13), ['%', '', '%', ''], [(9, 12), (12, 1), (11, 9)], [True, False, True, False], 12, False, [False, False, False, False], 5956, 'East', (17, 13))
Element 45: (1, (17, 13), ['', '%', '%', ''], [(10, 12), (11, 1), (11, 10)], [False, True, True, False], 10, False, [False, False, False, False], 5955, 'East', (18, 13))
Element 46: (1, (18, 13), ['', '%', '%', '%'], [(10, 13), (10, 1), (10, 10)], [False, True, True, True], 8, False, [False, False, False, False], 5954, 'West', (17, 13))
Element 47: (1, (17, 13), ['', '%', '%', ''], [(11, 13), (9, 1), (9, 10)], [False, True, True, False], 6, False, [False, False, False, False], 5953, 'West', (16, 13))
Element 48: (1, (16, 13), ['%', '', '%', ''], [(12, 13), (9, 2), (9, 9)], [True, False, True, False], 4, False, [False, False, False, False], 5962, 'South', (16, 12))
Element 49: (1, (16, 12), ['', '', '', '%'], [(12, 12), (8, 2), (8, 9)], [False, False, False, True], 2, False, [False, False, False, False], 5971, 'West', (15, 12))
Element 50: (1, (15, 12), ['', '', '%', ''], [(12, 12), (7, 2), (7, 9)], [False, False, True, False], 0, False, [False, False, False, False], 6970, 'Stop', (15, 12))
Element 51: #0#
