Element 1: (0, (6, 11), ['.', '.', '%', 'F'], [(8, 9), (8, 11), (15, 11)], [False, False, True, False], 98, False, [True, True, False, False], 0, 'East', (7, 11))
Element 2: (0, (7, 11), ['', '.', '%', ''], [(7, 9), (9, 11), (16, 11)], [False, False, True, False], 96, False, [False, True, False, False], 2019, 'South', (7, 10))
Element 3: (0, (7, 10), ['.', '', '', '.'], [(6, 9), (10, 11), (17, 11)], [False, False, False, False], 94, False, [True, False, False, True], 3048, 'East', (8, 10))
Element 4: (0, (8, 10), ['', '', '', '.'], [(6, 10), (11, 11), (18, 11)], [False, False, False, False], 92, False, [False, False, False, True], 3087, 'East', (9, 10))
Element 5: (0, (9, 10), ['', '.', '', '.'], [(5, 10), (12, 11), (18, 10)], [False, False, False, False], 90, False, [False, True, False, True], 3126, 'East', (10, 10))
Element 6: (0, (10, 10), ['', '%', '', '.'], [(5, 11), (13, 11), (18, 9)], [False, True, False, False], 88, False, [False, False, False, True], 3165, 'East', (11, 10))
Element 7: (0, (11, 10), ['', '.', '', '.'], [(6, 11), (14, 11), (18, 8)], [False, False, False, False], 86, False, [False, True, False, True], 3194, 'East', (12, 10))
Element 8: (0, (12, 10), ['', '.', '', '.'], [(7, 11), (14, 12), (17, 8)], [False, False, False, False], 84, False, [False, True, False, True], 3223, 'East', (13, 10))
Element 9: (0, (13, 10), ['', '.', '', '.'], [(8, 11), (15, 12), (17, 9)], [False, False, False, False], 82, False, [False, True, False, True], 3252, 'East', (14, 10))
Element 10: (0, (14, 10), ['', '%', '', '.'], [(9, 11), (16, 12), (17, 10)], [False, True, False, False], 80, False, [False, False, False, True], 3281, 'East', (15, 10))
Element 11: (0, (15, 10), ['', '.', '', 'G'], [(9, 12), (16, 13), (16, 10)], [False, False, False, False], 78, False, [False, True, False, False], 3320, 'South', (15, 9))
Element 12: (0, (15, 9), ['%', '.', '', 'G'], [(10, 12), (17, 13), (16, 9)], [True, False, False, False], 76, False, [False, True, False, False], 3359, 'South', (15, 8))
Element 13: (0, (15, 8), ['.', '.', '', 'G'], [(10, 13), (18, 13), (16, 8)], [False, False, False, False], 74, False, [True, True, False, False], 3398, 'South', (15, 7))
Element 14: (0, (15, 7), ['.', '.', '', 'G'], [(11, 13), (17, 13), (16, 7)], [False, False, False, False], 72, False, [True, True, False, False], 3427, 'South', (15, 6))
Element 15: (0, (15, 6), ['.', '.', '', 'G'], [(12, 13), (16, 13), (16, 6)], [False, False, False, False], 70, False, [True, True, False, False], 4446, 'South', (15, 5))
Element 16: (0, (15, 5), ['.', '.', '', '%'], [(12, 12), (16, 12), (17, 6)], [False, False, False, True], 68, False, [True, True, False, False], 4475, 'South', (15, 4))
Element 17: (0, (15, 4), ['%', '%', '', '.'], [(13, 12), (16, 11), (18, 6)], [True, True, False, False], 66, False, [False, False, False, True], 4504, 'East', (16, 4))
Element 18: (0, (16, 4), ['', '.', '%', '.'], [(14, 12), (17, 11), (18, 5)], [False, False, True, False], 64, False, [False, True, False, True], 4523, 'East', (17, 4))
Element 19: (0, (17, 4), ['', '.', '.', 'G'], [(15, 12), (18, 11), (18, 4)], [False, False, False, False], 62, False, [False, True, True, False], 4542, 'North', (17, 5))
Element 20: (0, (17, 5), ['%', 'G', '', ''], [(16, 12), (18, 10), (17, 4)], [True, False, False, False], 60, False, [False, False, False, False], 4551, 'East', (18, 5))
Element 21: (0, (18, 5), ['', '', '', '%'], [(16, 13), (18, 9), (17, 3)], [False, False, False, True], 58, False, [False, False, False, False], 4560, 'North', (18, 6))
Element 22: (0, (18, 6), ['', '', '%', '%'], [(17, 13), (18, 8), (16, 3)], [False, False, True, True], 56, False, [False, False, False, False], 4569, 'West', (17, 6))
Element 23: (0, (17, 6), ['', '', '%', ''], [(18, 13), (17, 8), (16, 2)], [False, False, True, False], 54, False, [False, False, False, False], 4578, 'West', (16, 6))
Element 24: (0, (16, 6), ['', '%', '', ''], [(17, 13), (17, 9), (15, 2)], [False, True, False, False], 52, False, [False, False, False, False], 4587, 'North', (16, 7))
Element 25: (0, (16, 7), ['', '', '', '%'], [(16, 13), (17, 10), (14, 2)], [False, False, False, True], 50, False, [False, False, False, False], 4596, 'North', (16, 8))
Element 26: (0, (16, 8), ['', '', '', ''], [(16, 12), (16, 10), (14, 3)], [False, False, False, False], 48, False, [False, False, False, False], 4605, 'East', (17, 8))
Element 27: (0, (17, 8), ['', '%', '', ''], [(16, 11), (16, 9), (13, 3)], [False, True, False, False], 46, False, [False, False, False, False], 4614, 'East', (18, 8))
Element 28: (0, (18, 8), ['', '%', '', '%'], [(17, 11), (16, 8), (12, 3)], [False, True, False, True], 44, False, [False, False, False, False], 4623, 'North', (18, 9))
Element 29: (0, (18, 9), ['', '', '', '%'], [(18, 11), (16, 7), (12, 2)], [False, False, False, True], 42, False, [False, False, False, False], 4632, 'North', (18, 10))
