Element 39: (2, (9, 10), ['.', '', '', ''], [(10, 7), (17, 9), (5, 10)], [False, False, False, False], 22, False, [True, False, False, False], 8871, 'West', (8, 10))
Element 40: (2, (8, 10), ['', '.', '', ''], [(10, 6), (16, 9), (5, 9)], [False, False, False, False], 20, False, [False, True, False, False], 8900, 'South', (8, 9))
Element 41: (2, (8, 9), ['', '.', '', ''], [(10, 5), (16, 10), (4, 9)], [False, False, False, False], 18, False, [False, True, False, False], 8929, 'South', (8, 8))
Element 42: (2, (8, 8), ['%', '%', '', ''], [(10, 4), (16, 11), (4, 10)], [True, True, False, False], 16, False, [False, False, False, False], 8958, 'East', (9, 8))
Element 43: (2, (9, 8), ['', '', '', ''], [(10, 3), (16, 12), (3, 10)], [False, False, False, False], 14, False, [False, False, False, False], 8977, 'East', (10, 8))
Element 44: (2, (10, 8), ['', '', '%', ''], [(11, 3), (16, 13), (3, 11)], [False, False, True, False], 12, False, [False, False, False, False], 8996, 'South', (10, 7))
Element 45: (2, (10, 7), ['', '', '', '%'], [(12, 3), (17, 13), (3, 12)], [False, False, False, True], 10, False, [False, False, False, False], 9015, 'South', (10, 6))
Element 46: (2, (10, 6), ['.', '', '', '%'], [(13, 3), (18, 13), (3, 13)], [False, False, False, True], 8, False, [True, False, False, False], 9034, 'West', (9, 6))
Element 47: (2, (9, 6), ['%', '.', '', ''], [(14, 3), (17, 13), (4, 13)], [True, False, False, False], 6, False, [False, True, False, False], 10053, 'South', (9, 5))
Element 48: (2, (9, 5), ['%', '.', '', ''], [(14, 2), (16, 13), (5, 13)], [True, False, False, False], 4, False, [False, True, False, False], 11062, 'South', (9, 4))
Element 49: (2, (9, 4), ['.', '%', '', ''], [(15, 2), (16, 12), (6, 13)], [False, True, False, False], 2, False, [True, False, False, False], 11081, 'West', (8, 4))
Element 50: (2, (8, 4), ['.', '%', '%', ''], [(15, 2), (16, 12), (7, 13)], [False, True, True, False], 0, False, [True, False, False, False], 11100, 'Stop', (8, 4))
Element 51: #0#
