Element 1: (0, (2, 7), ['.', 'G', '%', '.'], [(2, 6), (7, 3), (14, 2)], [False, False, True, False], 98, False, [True, False, False, True], 0, 'East', (3, 7))
Element 2: (0, (3, 7), ['', 'G', 'F', '%'], [(3, 6), (7, 4), (15, 2)], [False, False, False, True], 96, False, [False, False, False, False], 39, 'North', (3, 8))
Element 3: (0, (3, 8), ['%', '', '%', '%'], [(4, 6), (8, 4), (16, 2)], [True, False, True, True], 94, False, [False, False, False, False], 1068, 'South', (3, 7))
Element 4: (0, (3, 7), ['', '', '', '%'], [(5, 6), (9, 4), (16, 3)], [False, False, False, True], 92, False, [False, False, False, False], 1097, 'West', (2, 7))
Element 5: (0, (2, 7), ['.', '', '%', ''], [(6, 6), (10, 4), (17, 3)], [False, False, True, False], 90, False, [True, False, False, False], 1126, 'West', (1, 7))
Element 6: (0, (1, 7), ['%', '.', '%', ''], [(6, 7), (10, 5), (17, 4)], [True, False, True, False], 88, False, [False, True, False, False], 1165, 'South', (1, 6))
Element 7: (0, (1, 6), ['%', '%', '', ''], [(5, 7), (10, 6), (18, 4)], [True, True, False, False], 86, False, [False, False, False, False], 1204, 'East', (2, 6))
Element 8: (0, (2, 6), ['', '%', '', ''], [(6, 7), (10, 7), (18, 5)], [False, True, False, False], 84, False, [False, False, False, False], 2213, 'East', (3, 6))
Element 9: (0, (3, 6), ['', '%', '', ''], [(6, 6), (9, 7), (18, 6)], [False, True, False, False], 82, False, [False, False, False, False], 3222, 'East', (4, 6))
Element 10: (0, (4, 6), ['', '.', '%', ''], [(6, 5), (9, 8), (17, 6)], [False, False, True, False], 80, False, [False, True, False, False], 3251, 'South', (4, 5))
Element 11: (0, (4, 5), ['%', '.', '', '.'], [(7, 5), (10, 8), (17, 5)], [True, False, False, False], 78, False, [False, True, False, True], 3290, 'East', (5, 5))
Element 12: (0, (5, 5), ['', '.', '', ''], [(7, 4), (11, 8), (17, 6)], [False, False, False, False], 76, False, [False, True, False, False], 3309, 'South', (5, 4))
Element 13: (0, (5, 4), ['.', '.', '', 'G'], [(6, 4), (11, 9), (16, 6)], [False, False, False, False], 74, False, [True, True, False, False], 3348, 'South', (5, 3))
