Element 1: (0, (9, 2), ['.', 'F', '%', '.'], [(6, 6), (15, 11), (16, 9)], [False, False, True, False], 98, False, [True, False, False, True], 0, 'South', (9, 1))
Element 2: (0, (9, 1), ['%', '%', '', '.'], [(6, 7), (16, 11), (17, 9)], [True, True, False, False], 96, False, [False, False, False, True], 1029, 'East', (10, 1))
Element 3: (0, (10, 1), ['', '%', '.', '.'], [(5, 7), (17, 11), (18, 9)], [False, True, False, False], 94, False, [False, False, True, True], 1068, 'East', (11, 1))
Element 4: (0, (11, 1), ['', '%', '.', '.'], [(5, 6), (18, 11), (18, 10)], [False, True, False, False], 92, False, [False, False, True, True], 1107, 'East', (12, 1))
Element 5: (0, (12, 1), ['', '%', '.', '.'], [(5, 5), (17, 11), (17, 10)], [False, True, False, False], 90, False, [False, False, True, True], 1136, 'East', (13, 1))
Element 6: (0, (13, 1), ['', '%', '%', '.'], [(6, 5), (16, 11), (16, 10)], [False, True, True, False], 88, False, [False, False, False, True], 1165, 'East', (14, 1))
Element 7: (0, (14, 1), ['', '%', '.', '%'], [(7, 5), (17, 11), (15, 10)], [False, True, False, True], 86, False, [False, False, True, False], 1194, 'North', (14, 2))
Element 8: (0, (14, 2), ['%', '', '.', '.'], [(7, 4), (16, 11), (15, 9)], [True, False, False, False], 84, False, [False, False, True, True], 1223, 'East', (15, 2))
Element 9: (0, (15, 2), ['', '%', '%', '.'], [(8, 4), (16, 12), (15, 8)], [False, True, True, False], 82, False, [False, False, False, True], 1262, 'East', (16, 2))
Element 10: (0, (16, 2), ['', '%', '.', '%'], [(9, 4), (16, 13), (16, 8)], [False, True, False, True], 80, False, [False, False, True, False], 1301, 'North', (16, 3))
Element 11: (0, (16, 3), ['%', '', '.', '.'], [(10, 4), (17, 13), (17, 8)], [True, False, False, False], 78, False, [False, False, True, True], 1340, 'East', (17, 3))
Element 12: (0, (17, 3), ['', '%', '.', '%'], [(10, 5), (18, 13), (18, 8)], [False, True, False, True], 76, False, [False, False, True, False], 1379, 'North', (17, 4))
Element 13: (0, (17, 4), ['.', '', '.', '.'], [(10, 6), (17, 13), (17, 8)], [False, False, False, False], 74, False, [True, False, True, True], 1398, 'East', (18, 4))
Element 14: (0, (18, 4), ['', '%', '.', '%'], [(10, 7), (16, 13), (16, 8)], [False, True, False, True], 72, False, [False, False, True, False], 2407, 'North', (18, 5))
Element 15: (0, (18, 5), ['.', '', '.', '%'], [(9, 7), (16, 12), (16, 7)], [False, False, False, True], 70, False, [True, False, True, False], 3426, 'North', (18, 6))
Element 16: (0, (18, 6), ['.', '', '%', '%'], [(9, 8), (15, 12), (16, 6)], [False, False, True, True], 68, False, [True, False, False, False], 3465, 'West', (17, 6))
Element 17: (0, (17, 6), ['', '.', '%', ''], [(10, 8), (14, 12), (15, 6)], [False, False, True, False], 66, False, [False, True, False, False], 3504, 'South', (17, 5))
Element 18: (0, (17, 5), ['%', '', '', ''], [(11, 8), (14, 11), (15, 7)], [True, False, False, False], 64, False, [False, False, False, False], 3543, 'North', (17, 6))
Element 19: (0, (17, 6), ['', '', '%', ''], [(11, 9), (14, 10), (14, 7)], [False, False, True, False], 62, False, [False, False, False, False], 3572, 'West', (16, 6))
Element 20: (0, (16, 6), ['', '%', '', ''], [(12, 9), (13, 10), (14, 8)], [False, True, False, False], 60, False, [False, False, False, False], 3601, 'North', (16, 7))
Element 21: (0, (16, 7), ['', '', '', '%'], [(13, 9), (13, 11), (13, 8)], [False, False, False, True], 58, False, [False, False, False, False], 3630, 'North', (16, 8))
Element 22: (0, (16, 8), ['', '', '', ''], [(13, 10), (13, 12), (13, 7)], [False, False, False, False], 56, False, [False, False, False, False], 3649, 'East', (17, 8))
Element 23: (0, (17, 8), ['', '%', '', ''], [(12, 10), (12, 12), (13, 6)], [False, True, False, False], 54, False, [False, False, False, False], 3678, 'East', (18, 8))
Element 24: (0, (18, 8), ['', '%', '', '%'], [(12, 11), (12, 13), (14, 6)], [False, True, False, True], 52, False, [False, False, False, False], 4697, 'North', (18, 9))
Element 25: (0, (18, 9), ['', '', '', '%'], [(11, 11), (11, 13), (14, 5)], [False, False, False, True], 50, False, [False, False, False, False], 4726, 'North', (18, 10))
Element 26: (0, (18, 10), ['', '', '', '%'], [(11, 10), (10, 13), (15, 5)], [False, False, False, True], 48, False, [False, False, False, False], 4755, 'North', (18, 11))
Element 27: (0, (18, 11), ['', '', '%', '%'], [(10, 10), (10, 12), (15, 4)], [False, False, True, True], 46, False, [False, False, False, False], 4784, 'West', (17, 11))
Element 28: (0, (17, 11), ['', '', '%', ''], [(10, 11), (9, 12), (16, 4)], [False, False, True, False], 44, False, [False, False, False, False], 4813, 'South', (17, 10))
Element 29: (0, (17, 10), ['', '', '', ''], [(9, 11), (10, 12), (17, 4)], [False, False, False, False], 42, False, [False, False, False, False], 4822, 'South', (17, 9))
