Element 1: (0, (8, 10), ['.', '.', '.', 'G'], [(9, 10), (17, 3), (17, 10)], [False, False, False, False], 98, False, [True, True, True, False], 0, 'North', (8, 11))
Element 2: (0, (8, 11), ['F', '', '%', '.'], [(10, 10), (17, 4), (18, 10)], [False, False, True, False], 96, False, [False, False, False, True], 39, 'West', (7, 11))
Element 3: (0, (7, 11), ['.', '.', '%', ''], [(11, 10), (18, 4), (18, 11)], [False, False, True, False], 94, False, [True, True, False, False], 1068, 'South', (7, 10))
Element 4: (0, (7, 10), ['.', 'F', '', ''], [(12, 10), (18, 5), (17, 11)], [False, False, False, False], 92, False, [True, False, False, False], 1107, 'South', (7, 9))
Element 5: (0, (7, 9), ['F', '%', '', '.'], [(13, 10), (18, 6), (16, 11)], [False, True, False, False], 90, False, [False, False, False, True], 2136, 'West', (6, 9))
Element 6: (0, (6, 9), ['.', '%', '.', ''], [(14, 10), (17, 6), (16, 12)], [False, True, False, False], 88, False, [True, False, True, False], 3165, 'North', (6, 10))
Element 7: (0, (6, 10), ['.', '', '.', ''], [(15, 10), (17, 5), (16, 13)], [False, False, False, False], 86, False, [True, False, True, False], 3204, 'North', (6, 11))
Element 8: (0, (6, 11), ['.', '', '%', ''], [(16, 10), (17, 6), (17, 13)], [False, False, True, False], 84, False, [True, False, False, False], 3233, 'West', (5, 11))
Element 9: (0, (5, 11), ['%', '.', '%', ''], [(16, 9), (16, 6), (18, 13)], [True, False, True, False], 82, False, [False, True, False, False], 3272, 'South', (5, 10))
Element 10: (0, (5, 10), ['.', '.', '', ''], [(17, 9), (16, 7), (17, 13)], [False, False, False, False], 80, False, [True, True, False, False], 3301, 'South', (5, 9))
Element 11: (0, (5, 9), ['.', '%', '', ''], [(18, 9), (16, 8), (16, 13)], [False, True, False, False], 78, False, [True, False, False, False], 3330, 'West', (4, 9))
Element 12: (0, (4, 9), ['%', '%', '.', ''], [(18, 8), (17, 8), (16, 12)], [True, True, False, False], 76, False, [False, False, True, False], 3359, 'North', (4, 10))
Element 13: (0, (4, 10), ['.', '', '%', ''], [(18, 9), (18, 8), (15, 12)], [False, False, True, False], 74, False, [True, False, False, False], 3378, 'West', (3, 10))
Element 14: (0, (3, 10), ['.', '%', '.', ''], [(18, 10), (18, 9), (15, 11)], [False, True, False, False], 72, False, [True, False, True, False], 3397, 'North', (3, 11))
Element 15: (0, (3, 11), ['.', '', '.', '%'], [(18, 11), (18, 10), (14, 11)], [False, False, False, True], 70, False, [True, False, True, False], 3416, 'North', (3, 12))
Element 16: (0, (3, 12), ['.', '', '.', '%'], [(17, 11), (18, 11), (14, 12)], [False, False, False, True], 68, False, [True, False, True, False], 3435, 'North', (3, 13))
Element 17: (0, (3, 13), ['.', '', '%', 'F'], [(17, 10), (17, 11), (13, 12)], [False, False, True, False], 66, False, [True, False, False, False], 3454, 'East', (4, 13))
Element 18: (0, (4, 13), ['', '%', '%', 'F'], [(16, 10), (17, 10), (13, 11)], [False, True, True, False], 64, False, [False, False, False, False], 4463, 'East', (5, 13))
Element 19: (0, (5, 13), ['', '%', '%', '.'], [(16, 11), (17, 9), (12, 11)], [False, True, True, False], 62, False, [False, False, False, True], 5472, 'East', (6, 13))
Element 20: (0, (6, 13), ['', '%', '%', '.'], [(16, 12), (16, 9), (12, 12)], [False, True, True, False], 60, False, [False, False, False, True], 5491, 'East', (7, 13))
Element 21: (0, (7, 13), ['', '%', '%', '%'], [(16, 13), (15, 9), (12, 13)], [False, True, True, True], 58, False, [False, False, False, False], 6510, 'West', (6, 13))
Element 22: (0, (6, 13), ['', '%', '%', ''], [(17, 13), (15, 8), (11, 13)], [False, True, True, False], 56, False, [False, False, False, False], 6529, 'West', (5, 13))
Element 23: (0, (5, 13), ['', '%', '%', ''], [(18, 13), (15, 7), (10, 13)], [False, True, True, False], 54, False, [False, False, False, False], 6548, 'West', (4, 13))
Element 24: (0, (4, 13), ['', '%', '%', ''], [(17, 13), (15, 6), (10, 12)], [False, True, True, False], 52, False, [False, False, False, False], 6567, 'West', (3, 13))
Element 25: (0, (3, 13), ['.', '', '%', ''], [(16, 13), (15, 5), (10, 11)], [False, False, True, False], 50, False, [True, False, False, False], 6586, 'West', (2, 13))
Element 26: (0, (2, 13), ['%', '.', '%', ''], [(16, 12), (15, 4), (11, 11)], [True, False, True, False], 48, False, [False, True, False, False], 6615, 'South', (2, 12))
Element 27: (0, (2, 12), ['.', '.', '', ''], [(15, 12), (16, 4), (11, 10)], [False, False, False, False], 46, False, [True, True, False, False], 6634, 'South', (2, 11))
Element 28: (0, (2, 11), ['.', '.', '', ''], [(15, 11), (16, 3), (11, 9)], [False, False, False, False], 44, False, [True, True, False, False], 6663, 'South', (2, 10))
Element 29: (0, (2, 10), ['.', '%', '', ''], [(14, 11), (16, 2), (12, 9)], [False, True, False, False], 42, False, [True, False, False, False], 6692, 'West', (1, 10))
Element 30: (0, (1, 10), ['%', '%', '.', ''], [(14, 12), (15, 2), (13, 9)], [True, True, False, False], 40, False, [False, False, True, False], 6721, 'North', (1, 11))
Element 31: (0, (1, 11), ['%', '', '.', ''], [(13, 12), (14, 2), (13, 8)], [True, False, False, False], 38, False, [False, False, True, False], 6750, 'North', (1, 12))
Element 32: (0, (1, 12), ['%', '', '%', ''], [(13, 11), (14, 3), (14, 8)], [True, False, True, False], 36, False, [False, False, False, False], 6779, 'South', (1, 11))
Element 33: (0, (1, 11), ['%', '', '', ''], [(12, 11), (13, 3), (14, 7)], [True, False, False, False], 34, False, [False, False, False, False], 6798, 'South', (1, 10))
Element 34: (0, (1, 10), ['%', '%', '', ''], [(12, 12), (12, 3), (14, 6)], [True, True, False, False], 32, False, [False, False, False, False], 6817, 'East', (2, 10))
Element 35: (0, (2, 10), ['', '%', '', ''], [(12, 13), (12, 2), (14, 5)], [False, True, False, False], 30, False, [False, False, False, False], 6836, 'North', (2, 11))
Element 36: (0, (2, 11), ['', '', '', ''], [(11, 13), (12, 1), (13, 5)], [False, False, False, False], 28, False, [False, False, False, False], 6855, 'West', (1, 11))
Element 37: (0, (1, 11), ['%', '', '', ''], [(10, 13), (13, 1), (13, 6)], [True, False, False, False], 26, False, [False, False, False, False], 6874, 'East', (2, 11))
Element 38: (0, (2, 11), ['', '', '', ''], [(10, 12), (14, 1), (13, 7)], [False, False, False, False], 24, False, [False, False, False, False], 6893, 'North', (2, 12))
Element 39: (0, (2, 12), ['', '', '', ''], [(9, 12), (13, 1), (12, 7)], [False, False, False, False], 22, False, [False, False, False, False], 6912, 'West', (1, 12))
Element 40: (0, (1, 12), ['%', '', '%', ''], [(9, 11), (12, 1), (12, 6)], [True, False, True, False], 20, False, [False, False, False, False], 6931, 'East', (2, 12))
Element 41: (0, (2, 12), ['', '', '', ''], [(10, 11), (11, 1), (12, 5)], [False, False, False, False], 18, False, [False, False, False, False], 6950, 'North', (2, 13))
Element 42: (0, (2, 13), ['%', '', '%', ''], [(11, 11), (11, 2), (12, 6)], [True, False, True, False], 16, False, [False, False, False, False], 6959, 'East', (3, 13))
Element 43: (0, (3, 13), ['', '', '%', ''], [(10, 11), (11, 3), (12, 7)], [False, False, True, False], 14, False, [False, False, False, False], 6968, 'South', (3, 12))
Element 44: (0, (3, 12), ['', '', '', '%'], [(9, 11), (10, 3), (13, 7)], [False, False, False, True], 12, False, [False, False, False, False], 6977, 'West', (2, 12))
Element 45: (0, (2, 12), ['', '', '', ''], [(8, 11), (10, 4), (13, 6)], [False, False, False, False], 10, False, [False, False, False, False], 6986, 'East', (3, 12))
Element 46: (0, (3, 12), ['', '', '', '%'], [(8, 10), (10, 5), (12, 6)], [False, False, False, True], 8, False, [False, False, False, False], 6995, 'South', (3, 11))
Element 47: (0, (3, 11), ['', '', '', '%'], [(8, 9), (10, 6), (13, 6)], [False, False, False, True], 6, False, [False, False, False, False], 7014, 'West', (2, 11))
Element 48: (0, (2, 11), ['', '', '', ''], [(9, 9), (10, 7), (13, 5)], [False, False, False, False], 4, False, [False, False, False, False], 8023, 'East', (3, 11))
Element 49: (0, (3, 11), ['', '', '', '%'], [(9, 8), (9, 7), (12, 5)], [False, False, False, True], 2, False, [False, False, False, False], 9032, 'South', (3, 10))
Element 50: (0, (3, 10), ['', '%', '', ''], [(10, 8), (9, 6), (13, 5)], [False, True, False, False], 0, False, [False, False, False, False], 9051, 'Stop', (3, 10))
Element 51: #0#
