Element 19: (3, (16, 13), ['%', '', '%', '.'], [(14, 1), (13, 10), (16, 11)], [True, False, True, False], 62, False, [False, False, False, True], 4551, 'East', (17, 13))
Element 20: (3, (17, 13), ['', '%', '%', '.'], [(13, 1), (14, 10), (15, 11)], [False, True, True, False], 60, False, [False, False, False, True], 4580, 'East', (18, 13))
Element 21: (3, (18, 13), ['', '%', '%', '%'], [(12, 1), (15, 10), (15, 12)], [False, True, True, True], 58, False, [False, False, False, False], 4609, 'West', (17, 13))
Element 22: (3, (17, 13), ['', '%', '%', ''], [(11, 1), (15, 9), (14, 12)], [False, True, True, False], 56, False, [False, False, False, False], 4638, 'West', (16, 13))
Element 23: (3, (16, 13), ['%', '', '%', ''], [(11, 2), (15, 8), (14, 11)], [True, False, True, False], 54, False, [False, False, False, False], 4667, 'South', (16, 12))
Element 24: (3, (16, 12), ['', '', '', '%'], [(11, 3), (14, 8), (13, 11)], [False, False, False, True], 52, False, [False, False, False, False], 4696, 'West', (15, 12))
Element 25: (3, (15, 12), ['', '', '%', ''], [(10, 3), (13, 8), (13, 12)], [False, False, True, False], 50, False, [False, False, False, False], 4725, 'South', (15, 11))
Element 26: (3, (15, 11), ['', '', '', ''], [(10, 4), (13, 9), (12, 12)], [False, False, False, False], 48, False, [False, False, False, False], 4754, 'South', (15, 10))
Element 27: (3, (15, 10), ['', '', '', ''], [(10, 5), (12, 9), (12, 13)], [False, False, False, False], 46, False, [False, False, False, False], 5773, 'South', (15, 9))
Element 28: (3, (15, 9), ['%', '', '', ''], [(10, 6), (11, 9), (11, 13)], [True, False, False, False], 44, False, [False, False, False, False], 5802, 'South', (15, 8))
Element 29: (3, (15, 8), ['', '', '', ''], [(10, 7), (11, 8), (10, 13)], [False, False, False, False], 42, False, [False, False, False, False], 6821, 'South', (15, 7))
Element 30: (3, (15, 7), ['', '', '', ''], [(9, 7), (10, 8), (10, 12)], [False, False, False, False], 40, False, [False, False, False, False], 7840, 'South', (15, 6))
Element 31: (3, (15, 6), ['', '', '', ''], [(9, 8), (10, 7), (10, 11)], [False, False, False, False], 38, False, [False, False, False, False], 7859, 'West', (14, 6))
Element 32: (3, (14, 6), ['', '', '', ''], [(8, 8), (10, 6), (11, 11)], [False, False, False, False], 36, False, [False, False, False, False], 7878, 'North', (14, 7))
Element 33: (3, (14, 7), ['', '', '', ''], [(8, 9), (9, 6), (12, 11)], [False, False, False, False], 34, False, [False, False, False, False], 7897, 'North', (14, 8))
Element 34: (3, (14, 8), ['', '', '%', ''], [(8, 10), (9, 5), (12, 10)], [False, False, True, False], 32, False, [False, False, False, False], 7916, 'West', (13, 8))
Element 35: (3, (13, 8), ['%', '', '', ''], [(8, 11), (9, 4), (13, 10)], [True, False, False, False], 30, False, [False, False, False, False], 7935, 'North', (13, 9))
Element 36: (3, (13, 9), ['', '', '', '%'], [(7, 11), (8, 4), (14, 10)], [False, False, False, True], 28, False, [False, False, False, False], 8944, 'North', (13, 10))
Element 37: (3, (13, 10), ['', '', '', ''], [(7, 10), (7, 4), (15, 10)], [False, False, False, False], 26, False, [False, False, False, False], 8963, 'East', (14, 10))
Element 38: (3, (14, 10), ['', '%', '', ''], [(7, 9), (7, 5), (16, 10)], [False, True, False, False], 24, False, [False, False, False, False], 8972, 'North', (14, 11))
Element 39: (3, (14, 11), ['', '', '', ''], [(6, 9), (6, 5), (16, 9)], [False, False, False, False], 22, False, [False, False, False, False], 8981, 'North', (14, 12))
Element 40: (3, (14, 12), ['', '', '%', ''], [(5, 9), (6, 6), (15, 9)], [False, False, True, False], 20, False, [False, False, False, False], 9000, 'West', (13, 12))
Element 41: (3, (13, 12), ['', '', '%', ''], [(4, 9), (6, 7), (15, 8)], [False, False, True, False], 18, False, [False, False, False, False], 9019, 'South', (13, 11))
Element 42: (3, (13, 11), ['', '', '', ''], [(4, 10), (5, 7), (14, 8)], [False, False, False, False], 16, False, [False, False, False, False], 9028, 'West', (12, 11))
Element 43: (3, (12, 11), ['', '', '', ''], [(5, 10), (5, 6), (13, 8)], [False, False, False, False], 14, False, [False, False, False, False], 9037, 'North', (12, 12))
Element 44: (3, (12, 12), ['%', '', '', ''], [(5, 11), (5, 5), (13, 9)], [True, False, False, False], 12, False, [False, False, False, False], 9056, 'North', (12, 13))
Element 45: (3, (12, 13), ['', '', '%', '%'], [(6, 11), (5, 4), (12, 9)], [False, False, True, True], 10, False, [False, False, False, False], 9075, 'West', (11, 13))
Element 46: (3, (11, 13), ['', '%', '%', ''], [(6, 10), (6, 4), (11, 9)], [False, True, True, False], 8, False, [False, False, False, False], 9084, 'West', (10, 13))
Element 47: (3, (10, 13), ['%', '', '%', ''], [(6, 11), (6, 3), (11, 10)], [True, False, True, False], 6, False, [False, False, False, False], 9093, 'South', (10, 12))
Element 48: (3, (10, 12), ['.', '', '', '%'], [(5, 11), (7, 3), (10, 10)], [False, False, False, True], 4, False, [True, False, False, False], 9102, 'West', (9, 12))
Element 49: (3, (9, 12), ['%', '.', '%', ''], [(5, 10), (7, 2), (9, 10)], [True, False, True, False], 2, False, [False, True, False, False], 9121, 'South', (9, 11))
Element 50: (3, (9, 11), ['', 'G', '', ''], [(5, 10), (7, 2), (9, 10)], [False, False, False, False], 0, False, [False, False, False, False], 9130, 'Stop', (9, 11))
Element 51: #0#
