Element 1: (3, (5, 9), ['.', '%', '.', 'F'], [(5, 4), (5, 6), (6, 3)], [False, True, False, False], 98, False, [True, False, True, False], 29, 'East', (6, 9))
Element 2: (3, (6, 9), ['', '%', '.', 'F'], [(6, 4), (6, 6), (7, 3)], [False, True, False, False], 96, False, [False, False, True, False], 1058, 'East', (7, 9))
Element 3: (3, (7, 9), ['', '%', '.', '.'], [(7, 4), (6, 7), (7, 2)], [False, True, False, False], 94, False, [False, False, True, True], 2087, 'East', (8, 9))
Element 4: (3, (8, 9), ['', '.', '.', '.'], [(8, 4), (5, 7), (8, 2)], [False, False, False, False], 92, False, [False, True, True, True], 2126, 'East', (9, 9))
Element 5: (3, (9, 9), ['', '.', '.', '%'], [(9, 4), (6, 7), (9, 2)], [False, False, False, True], 90, False, [False, True, True, False], 2155, 'North', (9, 10))
Element 6: (3, (9, 10), ['.', '', '.', '.'], [(10, 4), (6, 6), (9, 1)], [False, False, False, False], 88, False, [True, False, True, True], 3174, 'East', (10, 10))
Element 7: (3, (10, 10), ['', '%', '.', '.'], [(10, 5), (6, 5), (10, 1)], [False, True, False, False], 86, False, [False, False, True, True], 3213, 'East', (11, 10))
Element 8: (3, (11, 10), ['', '.', '.', '.'], [(10, 6), (7, 5), (11, 1)], [False, False, False, False], 84, False, [False, True, True, True], 3252, 'East', (12, 10))
Element 9: (3, (12, 10), ['', '.', '.', '.'], [(10, 7), (7, 4), (12, 1)], [False, False, False, False], 82, False, [False, True, True, True], 4271, 'East', (13, 10))
Element 10: (3, (13, 10), ['', '.', '.', '.'], [(9, 7), (8, 4), (13, 1)], [False, False, False, False], 80, False, [False, True, True, True], 5290, 'East', (14, 10))
Element 11: (3, (14, 10), ['', '%', '.', '.'], [(9, 8), (9, 4), (14, 1)], [False, True, False, False], 78, False, [False, False, True, True], 5319, 'East', (15, 10))
Element 12: (3, (15, 10), ['', '.', '.', '.'], [(10, 8), (9, 5), (14, 2)], [False, False, False, False], 76, False, [False, True, True, True], 5358, 'East', (16, 10))
Element 13: (3, (16, 10), ['', '.', '.', '.'], [(11, 8), (9, 6), (15, 2)], [False, False, False, False], 74, False, [False, True, True, True], 5397, 'East', (17, 10))
