Element 1: (2, (15, 8), ['.', '.', '.', ''], [(17, 8), (7, 4), (17, 3)], [False, False, False, False], 98, False, [True, True, True, False], 19, 'North', (15, 9))
Element 2: (2, (15, 9), ['%', '', '.', '.'], [(18, 8), (8, 4), (17, 4)], [True, False, False, False], 96, False, [False, False, True, True], 58, 'East', (16, 9))
Element 3: (2, (16, 9), ['', '', '.', '.'], [(18, 9), (9, 4), (18, 4)], [False, False, False, False], 94, False, [False, False, True, True], 97, 'East', (17, 9))
Element 4: (2, (17, 9), ['', '', '.', ''], [(18, 10), (10, 4), (18, 5)], [False, False, False, False], 92, False, [False, False, True, False], 136, 'North', (17, 10))
Element 5: (2, (17, 10), ['.', '', '.', ''], [(18, 11), (10, 5), (18, 6)], [False, False, False, False], 90, False, [True, False, True, False], 175, 'North', (17, 11))
Element 6: (2, (17, 11), ['.', '', '%', ''], [(18, 10), (10, 6), (17, 6)], [False, False, True, False], 88, False, [True, False, False, False], 204, 'West', (16, 11))
Element 7: (2, (16, 11), ['.', '.', '.', ''], [(18, 9), (10, 7), (17, 5)], [False, False, False, False], 86, False, [True, True, True, False], 1223, 'North', (16, 12))
Element 8: (2, (16, 12), ['.', '', '.', '%'], [(18, 8), (9, 7), (17, 6)], [False, False, False, True], 84, False, [True, False, True, False], 2232, 'North', (16, 13))
Element 9: (2, (16, 13), ['%', '', '%', '.'], [(17, 8), (9, 8), (16, 6)], [True, False, True, False], 82, False, [False, False, False, True], 2261, 'East', (17, 13))
Element 10: (2, (17, 13), ['', '%', '%', '.'], [(17, 9), (10, 8), (16, 7)], [False, True, True, False], 80, False, [False, False, False, True], 2290, 'East', (18, 13))
Element 11: (2, (18, 13), ['', '%', '%', '%'], [(17, 10), (11, 8), (15, 7)], [False, True, True, True], 78, False, [False, False, False, False], 2319, 'West', (17, 13))
Element 12: (2, (17, 13), ['', '%', '%', ''], [(16, 10), (11, 9), (15, 6)], [False, True, True, False], 76, False, [False, False, False, False], 2348, 'West', (16, 13))
Element 13: (2, (16, 13), ['%', '', '%', ''], [(15, 10), (12, 9), (15, 5)], [True, False, True, False], 74, False, [False, False, False, False], 2377, 'South', (16, 12))
Element 14: (2, (16, 12), ['.', '', '', '%'], [(15, 11), (13, 9), (15, 4)], [False, False, False, True], 72, False, [True, False, False, False], 2406, 'West', (15, 12))
Element 15: (2, (15, 12), ['.', '', '%', ''], [(14, 11), (13, 10), (16, 4)], [False, False, True, False], 70, False, [True, False, False, False], 2445, 'West', (14, 12))
Element 16: (2, (14, 12), ['.', '', '%', ''], [(14, 10), (13, 11), (16, 3)], [False, False, True, False], 68, False, [True, False, False, False], 2484, 'West', (13, 12))
Element 17: (2, (13, 12), ['.', '', '%', ''], [(13, 10), (12, 11), (16, 2)], [False, False, True, False], 66, False, [True, False, False, False], 2513, 'West', (12, 12))
Element 18: (2, (12, 12), ['%', '', 'F', ''], [(12, 10), (11, 11), (15, 2)], [True, False, False, False], 64, False, [False, False, False, False], 2552, 'North', (12, 13))
Element 19: (2, (12, 13), ['.', '', '%', '%'], [(11, 10), (10, 11), (14, 2)], [False, False, True, True], 62, False, [True, False, False, False], 3581, 'West', (11, 13))
Element 20: (2, (11, 13), ['.', '%', '%', ''], [(10, 10), (10, 12), (14, 3)], [False, True, True, False], 60, False, [True, False, False, False], 3620, 'West', (10, 13))
Element 21: (2, (10, 13), ['%', '', '%', ''], [(9, 10), (9, 12), (13, 3)], [True, False, True, False], 58, False, [False, False, False, False], 3659, 'South', (10, 12))
Element 22: (2, (10, 12), ['G', '', '', '%'], [(9, 11), (9, 12), (12, 3)], [False, False, False, True], 56, False, [False, False, False, False], 3678, 'South', (10, 11))
Element 23: (2, (10, 11), ['G', '', '', ''], [(8, 11), (9, 11), (12, 2)], [False, False, False, False], 54, False, [False, False, False, False], 3697, 'East', (11, 11))
Element 24: (2, (11, 11), ['', '', '%', ''], [(7, 11), (9, 10), (12, 1)], [False, False, True, False], 52, False, [False, False, False, False], 4706, 'East', (12, 11))
Element 25: (2, (12, 11), ['', '', '', ''], [(7, 10), (9, 9), (13, 1)], [False, False, False, False], 50, False, [False, False, False, False], 4735, 'East', (13, 11))
Element 26: (2, (13, 11), ['', '', '', ''], [(7, 9), (8, 9), (14, 1)], [False, False, False, False], 48, False, [False, False, False, False], 5754, 'East', (14, 11))
Element 27: (2, (14, 11), ['', '', '', ''], [(6, 9), (8, 10), (13, 1)], [False, False, False, False], 46, False, [False, False, False, False], 6763, 'East', (15, 11))
Element 28: (2, (15, 11), ['', '', '', ''], [(6, 10), (8, 11), (12, 1)], [False, False, False, False], 44, False, [False, False, False, False], 6772, 'South', (15, 10))
Element 29: (2, (15, 10), ['', '', '', ''], [(6, 11), (7, 11), (11, 1)], [False, False, False, False], 42, False, [False, False, False, False], 6791, 'East', (16, 10))
Element 30: (2, (16, 10), ['', '', '', ''], [(5, 11), (7, 10), (11, 2)], [False, False, False, False], 40, False, [False, False, False, False], 6810, 'West', (15, 10))
Element 31: (2, (15, 10), ['', '', '', ''], [(5, 10), (7, 9), (11, 3)], [False, False, False, False], 38, False, [False, False, False, False], 6829, 'West', (14, 10))
Element 32: (2, (14, 10), ['', '%', '', ''], [(5, 9), (6, 9), (10, 3)], [False, True, False, False], 36, False, [False, False, False, False], 6848, 'West', (13, 10))
Element 33: (2, (13, 10), ['', '', '', ''], [(4, 9), (6, 10), (10, 2)], [False, False, False, False], 34, False, [False, False, False, False], 6867, 'South', (13, 9))
Element 34: (2, (13, 9), ['', '.', '', '%'], [(4, 10), (6, 11), (10, 1)], [False, False, False, True], 32, False, [False, True, False, False], 6886, 'South', (13, 8))
Element 35: (2, (13, 8), ['%', '.', '', '.'], [(3, 10), (5, 11), (9, 1)], [True, False, False, False], 30, False, [False, True, False, True], 7905, 'East', (14, 8))
Element 36: (2, (14, 8), ['', '.', '%', ''], [(3, 11), (5, 10), (9, 2)], [False, False, True, False], 28, False, [False, True, False, False], 7934, 'South', (14, 7))
Element 37: (2, (14, 7), ['.', '.', '', ''], [(3, 12), (5, 9), (8, 2)], [False, False, False, False], 26, False, [True, True, False, False], 7963, 'South', (14, 6))
Element 38: (2, (14, 6), ['.', '.', '', ''], [(3, 13), (4, 9), (7, 2)], [False, False, False, False], 24, False, [True, True, False, False], 7992, 'South', (14, 5))
Element 39: (2, (14, 5), ['.', '%', '', ''], [(4, 13), (4, 10), (6, 2)], [False, True, False, False], 22, False, [True, False, False, False], 9011, 'West', (13, 5))
Element 40: (2, (13, 5), ['.', '%', '.', ''], [(5, 13), (3, 10), (6, 3)], [False, True, False, False], 20, False, [True, False, True, False], 10030, 'North', (13, 6))
Element 41: (2, (13, 6), ['.', '', '.', ''], [(6, 13), (2, 10), (6, 4)], [False, False, False, False], 18, False, [True, False, True, False], 10069, 'North', (13, 7))
Element 42: (2, (13, 7), ['.', '', '', ''], [(7, 13), (2, 11), (6, 5)], [False, False, False, False], 16, False, [True, False, False, False], 10108, 'West', (12, 7))
