Element 39: (1, (18, 8), ['', '%', '', '%'], [(17, 11), (3, 11), (13, 10)], [False, True, False, True], 22, False, [False, False, False, False], 8971, 'North', (18, 9))
Element 40: (1, (18, 9), ['', '', '', '%'], [(16, 11), (3, 12), (14, 10)], [False, False, False, True], 20, False, [False, False, False, False], 8980, 'North', (18, 10))
Element 41: (1, (18, 10), ['', '', '', '%'], [(16, 12), (3, 13), (14, 11)], [False, False, False, True], 18, False, [False, False, False, False], 8989, 'North', (18, 11))
Element 42: (1, (18, 11), ['', '', '%', '%'], [(16, 13), (4, 13), (15, 11)], [False, False, True, True], 16, False, [False, False, False, False], 9988, 'West', (17, 11))
Element 43: (1, (17, 11), ['', '', '%', ''], [(17, 13), (5, 13), (14, 11)], [False, False, True, False], 14, False, [False, False, False, False], 10987, 'South', (17, 10))
Element 44: (1, (17, 10), ['', '', '', ''], [(18, 13), (6, 13), (14, 10)], [False, False, False, False], 12, False, [False, False, False, False], 10996, 'South', (17, 9))
Element 45: (1, (17, 9), ['', '', '', ''], [(17, 13), (7, 13), (13, 10)], [False, False, False, False], 10, False, [False, False, False, False], 11005, 'West', (16, 9))
Element 46: (1, (16, 9), ['', '', '', ''], [(16, 13), (6, 13), (12, 10)], [False, False, False, False], 8, False, [False, False, False, False], 11004, 'North', (16, 10))
Element 47: (1, (16, 10), ['', '', '', ''], [(16, 12), (5, 13), (13, 10)], [False, False, False, False], 6, False, [False, False, False, False], 11003, 'North', (16, 11))
Element 48: (1, (16, 11), ['', '', '', ''], [(15, 12), (4, 13), (13, 9)], [False, False, False, False], 4, False, [False, False, False, False], 11002, 'North', (16, 12))
Element 49: (1, (16, 12), ['', '', '', '%'], [(15, 11), (3, 13), (13, 8)], [False, False, False, True], 2, False, [False, False, False, False], 11001, 'North', (16, 13))
Element 50: (1, (16, 13), ['%', '', '%', ''], [(15, 11), (2, 13), (14, 8)], [True, False, True, False], 0, False, [False, False, False, False], 11010, 'Stop', (16, 13))
Element 51: #0#
