Element 38: (2, (9, 10), ['.', '.', '', ''], [(9, 12), (17, 11), (16, 13)], [False, False, False, False], 24, False, [True, True, False, False], 4922, 'South', (9, 9))
Element 39: (2, (9, 9), ['.', '', '', '%'], [(10, 12), (17, 10), (16, 12)], [False, False, False, True], 22, False, [True, False, False, False], 4931, 'West', (8, 9))
Element 40: (2, (8, 9), ['F', '.', '.', ''], [(10, 13), (17, 9), (15, 12)], [False, False, False, False], 20, False, [False, True, True, False], 4940, 'West', (7, 9))
Element 41: (2, (7, 9), ['F', '%', '.', ''], [(11, 13), (16, 9), (15, 11)], [False, True, False, False], 18, False, [False, False, True, False], 5939, 'West', (6, 9))
Element 42: (2, (6, 9), ['.', '%', '.', ''], [(12, 13), (16, 10), (15, 10)], [False, True, False, False], 16, False, [True, False, True, False], 6938, 'North', (6, 10))
Element 43: (2, (6, 10), ['.', '', '.', '.'], [(12, 12), (16, 11), (14, 10)], [False, False, False, False], 14, False, [True, False, True, True], 6947, 'East', (7, 10))
Element 44: (2, (7, 10), ['', '', 'F', '.'], [(13, 12), (16, 12), (14, 11)], [False, False, False, False], 12, False, [False, False, False, True], 6956, 'North', (7, 11))
Element 45: (2, (7, 11), ['.', '', '%', '.'], [(13, 11), (16, 13), (14, 12)], [False, False, True, False], 10, False, [True, False, False, True], 7955, 'East', (8, 11))
Element 46: (2, (8, 11), ['', '.', '%', ''], [(14, 11), (17, 13), (13, 12)], [False, False, True, False], 8, False, [False, True, False, False], 7964, 'South', (8, 10))
Element 47: (2, (8, 10), ['', '', '', ''], [(14, 12), (18, 13), (13, 11)], [False, False, False, False], 6, False, [False, False, False, False], 7973, 'North', (8, 11))
Element 48: (2, (8, 11), ['', '', '%', ''], [(14, 11), (17, 13), (13, 10)], [False, False, True, False], 4, False, [False, False, False, False], 7972, 'East', (9, 11))
Element 49: (2, (9, 11), ['', '', '', ''], [(14, 10), (16, 13), (13, 9)], [False, False, False, False], 2, False, [False, False, False, False], 7971, 'North', (9, 12))
Element 50: (2, (9, 12), ['%', '', '%', ''], [(14, 10), (16, 13), (13, 8)], [True, False, True, False], 0, False, [False, False, False, False], 7970, 'Stop', (9, 12))
Element 51: #0#
