Element 1: (2, (9, 2), ['.', 'F', '%', '.'], [(16, 4), (2, 6), (9, 6)], [False, False, True, False], 98, False, [True, False, False, True], 19, 'South', (9, 1))
Element 2: (2, (9, 1), ['%', '%', '', '.'], [(17, 4), (3, 6), (9, 7)], [True, True, False, False], 96, False, [False, False, False, True], 2038, 'East', (10, 1))
Element 3: (2, (10, 1), ['', '%', '.', '.'], [(18, 4), (4, 6), (10, 7)], [False, True, False, False], 94, False, [False, False, True, True], 3067, 'East', (11, 1))
Element 4: (2, (11, 1), ['', '%', '.', '.'], [(18, 5), (5, 6), (10, 8)], [False, True, False, False], 92, False, [False, False, True, True], 3106, 'East', (12, 1))
Element 5: (2, (12, 1), ['', '%', '.', '.'], [(18, 6), (6, 6), (11, 8)], [False, True, False, False], 90, False, [False, False, True, True], 3145, 'East', (13, 1))
Element 6: (2, (13, 1), ['', '%', '%', '.'], [(17, 6), (6, 7), (11, 9)], [False, True, True, False], 88, False, [False, False, False, True], 3184, 'East', (14, 1))
Element 7: (2, (14, 1), ['', '%', '.', '%'], [(17, 5), (5, 7), (12, 9)], [False, True, False, True], 86, False, [False, False, True, False], 3223, 'North', (14, 2))
Element 8: (2, (14, 2), ['%', '', '.', '.'], [(17, 6), (6, 7), (13, 9)], [True, False, False, False], 84, False, [False, False, True, True], 3242, 'East', (15, 2))
Element 9: (2, (15, 2), ['', '%', '%', '.'], [(16, 6), (6, 6), (13, 10)], [False, True, True, False], 82, False, [False, False, False, True], 3271, 'East', (16, 2))
Element 10: (2, (16, 2), ['', '%', '.', '%'], [(16, 7), (6, 5), (14, 10)], [False, True, False, True], 80, False, [False, False, True, False], 3310, 'North', (16, 3))
Element 11: (2, (16, 3), ['%', '', '', '.'], [(16, 8), (7, 5), (15, 10)], [True, False, False, False], 78, False, [False, False, False, True], 3349, 'East', (17, 3))
Element 12: (2, (17, 3), ['', '%', '', '%'], [(17, 8), (7, 4), (16, 10)], [False, True, False, True], 76, False, [False, False, False, False], 3388, 'North', (17, 4))
