Element 1: (0, (3, 13), ['.', '.', '%', 'F'], [(3, 2), (6, 5), (14, 12)], [False, False, True, False], 98, False, [True, True, False, False], 0, 'East', (4, 13))
Element 2: (0, (4, 13), ['', '%', '%', 'F'], [(4, 2), (7, 5), (15, 12)], [False, True, True, False], 96, False, [False, False, False, False], 1029, 'East', (5, 13))
Element 3: (0, (5, 13), ['', '%', '%', '.'], [(5, 2), (7, 4), (16, 12)], [False, True, True, False], 94, False, [False, False, False, True], 2058, 'East', (6, 13))
Element 4: (0, (6, 13), ['', '%', '%', '.'], [(6, 2), (8, 4), (16, 13)], [False, True, True, False], 92, False, [False, False, False, True], 2097, 'East', (7, 13))
Element 5: (0, (7, 13), ['', '%', '%', '%'], [(7, 2), (9, 4), (17, 13)], [False, True, True, True], 90, False, [False, False, False, False], 2136, 'West', (6, 13))
Element 6: (0, (6, 13), ['', '%', '%', ''], [(8, 2), (10, 4), (18, 13)], [False, True, True, False], 88, False, [False, False, False, False], 2165, 'West', (5, 13))
Element 7: (0, (5, 13), ['', '%', '%', ''], [(9, 2), (10, 5), (17, 13)], [False, True, True, False], 86, False, [False, False, False, False], 2184, 'West', (4, 13))
Element 8: (0, (4, 13), ['', '%', '%', ''], [(9, 1), (10, 6), (16, 13)], [False, True, True, False], 84, False, [False, False, False, False], 3193, 'West', (3, 13))
Element 9: (0, (3, 13), ['.', '.', '%', ''], [(10, 1), (10, 7), (16, 12)], [False, False, True, False], 82, False, [True, True, False, False], 4202, 'South', (3, 12))
Element 10: (0, (3, 12), ['.', '.', '', '%'], [(11, 1), (9, 7), (16, 11)], [False, False, False, True], 80, False, [True, True, False, False], 5231, 'South', (3, 11))
Element 11: (0, (3, 11), ['.', '.', '', '%'], [(12, 1), (9, 8), (17, 11)], [False, False, False, True], 78, False, [True, True, False, False], 5270, 'South', (3, 10))
Element 12: (0, (3, 10), ['.', '%', '', '.'], [(13, 1), (10, 8), (18, 11)], [False, True, False, False], 76, False, [True, False, False, True], 5309, 'East', (4, 10))
Element 13: (0, (4, 10), ['', '.', '%', '.'], [(14, 1), (11, 8), (18, 10)], [False, False, True, False], 74, False, [False, True, False, True], 5348, 'East', (5, 10))
Element 14: (0, (5, 10), ['', '.', '.', '.'], [(14, 2), (11, 9), (18, 9)], [False, False, False, False], 72, False, [False, True, True, True], 5387, 'East', (6, 10))
Element 15: (0, (6, 10), ['', 'F', '.', '.'], [(15, 2), (12, 9), (18, 8)], [False, False, False, False], 70, False, [False, False, True, True], 5426, 'South', (6, 9))
Element 16: (0, (6, 9), ['.', '%', '', 'F'], [(16, 2), (13, 9), (17, 8)], [False, True, False, False], 68, False, [True, False, False, False], 6455, 'East', (7, 9))
Element 17: (0, (7, 9), ['', '%', '.', '.'], [(16, 3), (13, 10), (17, 9)], [False, True, False, False], 66, False, [False, False, True, True], 7484, 'East', (8, 9))
Element 18: (0, (8, 9), ['', '.', '.', '.'], [(17, 3), (14, 10), (17, 10)], [False, False, False, False], 64, False, [False, True, True, True], 7523, 'East', (9, 9))
Element 19: (0, (9, 9), ['', '', '.', '%'], [(17, 4), (15, 10), (16, 10)], [False, False, False, True], 62, False, [False, False, True, False], 7562, 'North', (9, 10))
Element 20: (0, (9, 10), ['.', '', '.', '.'], [(18, 4), (15, 11), (16, 9)], [False, False, False, False], 60, False, [True, False, True, True], 7601, 'East', (10, 10))
Element 21: (0, (10, 10), ['', '%', '.', '.'], [(18, 5), (14, 11), (16, 8)], [False, True, False, False], 58, False, [False, False, True, True], 7640, 'East', (11, 10))
Element 22: (0, (11, 10), ['', '', '.', '.'], [(18, 6), (13, 11), (16, 7)], [False, False, False, False], 56, False, [False, False, True, True], 7679, 'East', (12, 10))
Element 23: (0, (12, 10), ['', '', '.', ''], [(17, 6), (13, 12), (16, 6)], [False, False, False, False], 54, False, [False, False, True, False], 7718, 'North', (12, 11))
Element 24: (0, (12, 11), ['.', '', 'G', ''], [(17, 5), (12, 12), (15, 6)], [False, False, False, False], 52, False, [True, False, False, False], 7757, 'West', (11, 11))
Element 25: (0, (11, 11), ['.', '', '%', ''], [(17, 6), (12, 13), (15, 7)], [False, False, True, False], 50, False, [True, False, False, False], 8776, 'West', (10, 11))
Element 26: (0, (10, 11), ['.', '', '.', ''], [(18, 6), (11, 13), (15, 8)], [False, False, False, False], 48, False, [True, False, True, False], 8805, 'North', (10, 12))
Element 27: (0, (10, 12), ['.', '', 'G', '%'], [(18, 5), (10, 13), (15, 9)], [False, False, False, True], 46, False, [True, False, False, False], 8834, 'West', (9, 12))
Element 28: (0, (9, 12), ['%', '.', '%', 'G'], [(17, 5), (10, 12), (15, 10)], [True, False, True, False], 44, False, [False, True, False, False], 8843, 'South', (9, 11))
Element 29: (0, (9, 11), ['.', '', '', 'G'], [(18, 5), (10, 11), (15, 11)], [False, False, False, False], 42, False, [True, False, False, False], 8852, 'West', (8, 11))
Element 30: (0, (8, 11), ['F', '.', '%', ''], [(18, 4), (11, 11), (14, 11)], [False, False, True, False], 40, False, [False, True, False, False], 8861, 'West', (7, 11))
Element 31: (0, (7, 11), ['.', '.', '%', ''], [(17, 4), (12, 11), (14, 10)], [False, False, True, False], 38, False, [True, True, False, False], 9860, 'South', (7, 10))
Element 32: (0, (7, 10), ['', '', '', '.'], [(17, 5), (12, 10), (13, 10)], [False, False, False, False], 36, False, [False, False, False, True], 9869, 'East', (8, 10))
Element 33: (0, (8, 10), ['', '', '', ''], [(17, 4), (11, 10), (13, 11)], [False, False, False, False], 34, False, [False, False, False, False], 9878, 'West', (7, 10))
Element 34: (0, (7, 10), ['', '', '', ''], [(16, 4), (10, 10), (13, 12)], [False, False, False, False], 32, False, [False, False, False, False], 9887, 'North', (7, 11))
Element 35: (0, (7, 11), ['.', '', '%', ''], [(15, 4), (9, 10), (12, 12)], [False, False, True, False], 30, False, [True, False, False, False], 9896, 'West', (6, 11))
Element 36: (0, (6, 11), ['.', '', '%', ''], [(15, 5), (9, 11), (12, 13)], [False, False, True, False], 28, False, [True, False, False, False], 9915, 'West', (5, 11))
Element 37: (0, (5, 11), ['%', '', '%', ''], [(14, 5), (9, 12), (11, 13)], [True, False, True, False], 26, False, [False, False, False, False], 9934, 'East', (6, 11))
Element 38: (0, (6, 11), ['', '', '%', ''], [(14, 6), (9, 11), (10, 13)], [False, False, True, False], 24, False, [False, False, False, False], 9943, 'East', (7, 11))
Element 39: (0, (7, 11), ['', '', '%', 'G'], [(14, 7), (8, 11), (10, 12)], [False, False, True, False], 22, False, [False, False, False, False], 9952, 'West', (6, 11))
Element 40: (0, (6, 11), ['', '', '%', ''], [(14, 8), (8, 10), (10, 11)], [False, False, True, False], 20, False, [False, False, False, False], 9961, 'West', (5, 11))
Element 41: (0, (5, 11), ['%', '', '%', ''], [(13, 8), (8, 9), (11, 11)], [True, False, True, False], 18, False, [False, False, False, False], 9970, 'East', (6, 11))
Element 42: (0, (6, 11), ['', '', '%', ''], [(13, 7), (8, 8), (12, 11)], [False, False, True, False], 16, False, [False, False, False, False], 9989, 'East', (7, 11))
Element 43: (0, (7, 11), ['', '', '%', ''], [(13, 6), (8, 9), (12, 10)], [False, False, True, False], 14, False, [False, False, False, False], 9998, 'Stop', (7, 11))
Element 44: (0, (7, 11), ['', '', '%', ''], [(13, 5), (9, 9), (12, 9)], [False, False, True, False], 12, False, [False, False, False, False], 10007, 'Stop', (7, 11))
Element 45: (0, (7, 11), ['', '', '%', ''], [(12, 5), (8, 9), (13, 9)], [False, False, True, False], 10, False, [False, False, False, False], 10016, 'East', (8, 11))
Element 46: (0, (8, 11), ['', '', '%', ''], [(12, 6), (7, 9), (13, 8)], [False, False, True, False], 8, False, [False, False, False, False], 10025, 'East', (9, 11))
