Element 1: (2, (16, 6), ['.', '%', 'G', '.'], [(5, 4), (4, 10), (16, 7)], [False, True, False, False], 98, False, [True, False, False, True], 19, 'East', (17, 6))
Element 2: (2, (17, 6), ['', '.', '%', '.'], [(6, 4), (5, 10), (16, 8)], [False, False, True, False], 96, False, [False, True, False, True], 58, 'East', (18, 6))
Element 3: (2, (18, 6), ['', '.', '%', '%'], [(7, 4), (6, 10), (17, 8)], [False, False, True, True], 94, False, [False, True, False, False], 97, 'South', (18, 5))
Element 4: (2, (18, 5), ['.', '.', '', '%'], [(8, 4), (6, 9), (18, 8)], [False, False, False, True], 92, False, [True, True, False, False], 1126, 'South', (18, 4))
Element 5: (2, (18, 4), ['.', '%', '', '%'], [(9, 4), (7, 9), (18, 9)], [False, True, False, True], 90, False, [True, False, False, False], 2155, 'West', (17, 4))
Element 6: (2, (17, 4), ['.', '.', '.', ''], [(10, 4), (8, 9), (18, 10)], [False, False, False, False], 88, False, [True, True, True, False], 2194, 'North', (17, 5))
Element 7: (2, (17, 5), ['%', '', '', ''], [(10, 5), (9, 9), (18, 11)], [True, False, False, False], 86, False, [False, False, False, False], 2233, 'South', (17, 4))
Element 8: (2, (17, 4), ['.', '.', '', ''], [(10, 6), (9, 10), (17, 11)], [False, False, False, False], 84, False, [True, True, False, False], 2262, 'South', (17, 3))
Element 9: (2, (17, 3), ['.', '%', '', '%'], [(10, 7), (10, 10), (17, 10)], [False, True, False, True], 82, False, [True, False, False, False], 3291, 'West', (16, 3))
Element 10: (2, (16, 3), ['%', '.', '.', ''], [(9, 7), (11, 10), (17, 9)], [True, False, False, False], 80, False, [False, True, True, False], 4320, 'North', (16, 4))
Element 11: (2, (16, 4), ['.', '', '%', ''], [(9, 8), (12, 10), (16, 9)], [False, False, True, False], 78, False, [True, False, False, False], 4359, 'West', (15, 4))
Element 12: (2, (15, 4), ['%', '%', '.', ''], [(10, 8), (13, 10), (16, 10)], [True, True, False, False], 76, False, [False, False, True, False], 4398, 'North', (15, 5))
Element 13: (2, (15, 5), ['.', '', '.', '%'], [(11, 8), (14, 10), (16, 11)], [False, False, False, True], 74, False, [True, False, True, False], 4437, 'North', (15, 6))
Element 14: (2, (15, 6), ['.', '', '.', ''], [(11, 9), (15, 10), (16, 12)], [False, False, False, False], 72, False, [True, False, True, False], 4476, 'North', (15, 7))
Element 15: (2, (15, 7), ['.', '', '.', ''], [(12, 9), (15, 11), (16, 13)], [False, False, False, False], 70, False, [True, False, True, False], 4515, 'North', (15, 8))
Element 16: (2, (15, 8), ['.', '', '.', ''], [(13, 9), (15, 12), (17, 13)], [False, False, False, False], 68, False, [True, False, True, False], 4554, 'North', (15, 9))
Element 17: (2, (15, 9), ['%', '', '', ''], [(13, 8), (14, 12), (18, 13)], [True, False, False, False], 66, False, [False, False, False, False], 4593, 'East', (16, 9))
