Element 1: (0, (2, 2), ['.', 'F', '%', '.'], [(3, 11), (4, 9), (8, 8)], [False, False, True, False], 98, False, [True, False, False, True], 0, 'South', (2, 1))
Element 2: (0, (2, 1), ['.', '%', '', '.'], [(3, 12), (5, 9), (9, 8)], [False, True, False, False], 96, False, [True, False, False, True], 1029, 'East', (3, 1))
Element 3: (0, (3, 1), ['', '%', '.', '.'], [(3, 13), (6, 9), (9, 7)], [False, True, False, False], 94, False, [False, False, True, True], 3048, 'East', (4, 1))
Element 4: (0, (4, 1), ['', '%', '.', '%'], [(4, 13), (7, 9), (10, 7)], [False, True, False, True], 92, False, [False, False, True, False], 6057, 'North', (4, 2))
Element 5: (0, (4, 2), ['.', '', '%', '.'], [(5, 13), (8, 9), (10, 8)], [False, False, True, False], 90, False, [True, False, False, True], 7086, 'East', (5, 2))
Element 6: (0, (5, 2), ['', '%', '.', '.'], [(6, 13), (9, 9), (11, 8)], [False, True, False, False], 88, False, [False, False, True, True], 7125, 'East', (6, 2))
Element 7: (0, (6, 2), ['', '%', '.', '.'], [(7, 13), (9, 10), (11, 9)], [False, True, False, False], 86, False, [False, False, True, True], 7164, 'East', (7, 2))
Element 8: (0, (7, 2), ['', '%', '.', '.'], [(6, 13), (10, 10), (12, 9)], [False, True, False, False], 84, False, [False, False, True, True], 7193, 'East', (8, 2))
Element 9: (0, (8, 2), ['', '%', '%', '.'], [(5, 13), (11, 10), (13, 9)], [False, True, True, False], 82, False, [False, False, False, True], 7222, 'East', (9, 2))
Element 10: (0, (9, 2), ['', 'F', '%', '.'], [(4, 13), (12, 10), (13, 10)], [False, False, True, False], 80, False, [False, False, False, True], 7251, 'South', (9, 1))
Element 11: (0, (9, 1), ['%', '%', '', '.'], [(3, 13), (12, 11), (14, 10)], [True, True, False, False], 78, False, [False, False, False, True], 8270, 'East', (10, 1))
Element 12: (0, (10, 1), ['', '%', '.', '.'], [(2, 13), (13, 11), (15, 10)], [False, True, False, False], 76, False, [False, False, True, True], 8309, 'East', (11, 1))
Element 13: (0, (11, 1), ['', '%', '.', '.'], [(2, 12), (14, 11), (16, 10)], [False, True, False, False], 74, False, [False, False, True, True], 8348, 'East', (12, 1))
Element 14: (0, (12, 1), ['', '%', '.', '.'], [(2, 11), (15, 11), (17, 10)], [False, True, False, False], 72, False, [False, False, True, True], 8387, 'East', (13, 1))
Element 15: (0, (13, 1), ['', '%', '%', '.'], [(2, 10), (16, 11), (18, 10)], [False, True, True, False], 70, False, [False, False, False, True], 8426, 'East', (14, 1))
Element 16: (0, (14, 1), ['', '%', '.', '%'], [(3, 10), (17, 11), (18, 11)], [False, True, False, True], 68, False, [False, False, True, False], 8465, 'North', (14, 2))
Element 17: (0, (14, 2), ['%', '', '.', '.'], [(4, 10), (17, 10), (17, 11)], [True, False, False, False], 66, False, [False, False, True, True], 8484, 'East', (15, 2))
Element 18: (0, (15, 2), ['', '%', '%', '.'], [(5, 10), (17, 9), (16, 11)], [False, True, True, False], 64, False, [False, False, False, True], 8513, 'East', (16, 2))
Element 19: (0, (16, 2), ['', '%', '.', '%'], [(6, 10), (18, 9), (16, 12)], [False, True, False, True], 62, False, [False, False, True, False], 8552, 'North', (16, 3))
Element 20: (0, (16, 3), ['%', '', '.', '.'], [(7, 10), (18, 8), (16, 13)], [True, False, False, False], 60, False, [False, False, True, True], 8591, 'East', (17, 3))
Element 21: (0, (17, 3), ['', '%', '.', '%'], [(7, 11), (17, 8), (17, 13)], [False, True, False, True], 58, False, [False, False, True, False], 9620, 'North', (17, 4))
Element 22: (0, (17, 4), ['.', '', '.', '.'], [(8, 11), (16, 8), (18, 13)], [False, False, False, False], 56, False, [True, False, True, True], 9659, 'East', (18, 4))
