Element 1: (0, (9, 11), ['.', 'G', '.', '.'], [(9, 10), (13, 10), (16, 3)], [False, False, False, False], 98, False, [True, False, True, True], 0, 'East', (10, 11))
Element 2: (0, (10, 11), ['', 'G', '.', '.'], [(10, 10), (14, 10), (17, 3)], [False, False, False, False], 96, False, [False, False, True, True], 39, 'East', (11, 11))
Element 3: (0, (11, 11), ['', 'G', '%', '.'], [(11, 10), (15, 10), (17, 4)], [False, False, True, False], 94, False, [False, False, False, True], 78, 'East', (12, 11))
Element 4: (0, (12, 11), ['', 'G', '.', '.'], [(12, 10), (16, 10), (18, 4)], [False, False, False, False], 92, False, [False, False, True, True], 117, 'East', (13, 11))
Element 5: (0, (13, 11), ['', '', '.', '.'], [(12, 9), (17, 10), (18, 5)], [False, False, False, False], 90, False, [False, False, True, True], 156, 'East', (14, 11))
Element 6: (0, (14, 11), ['', '', '.', '.'], [(13, 9), (18, 10), (18, 6)], [False, False, False, False], 88, False, [False, False, True, True], 195, 'East', (15, 11))
Element 7: (0, (15, 11), ['', '', '.', '.'], [(13, 8), (18, 11), (17, 6)], [False, False, False, False], 86, False, [False, False, True, True], 234, 'East', (16, 11))
Element 8: (0, (16, 11), ['', '', '.', 'G'], [(14, 8), (17, 11), (17, 5)], [False, False, False, False], 84, False, [False, False, True, False], 273, 'North', (16, 12))
Element 9: (0, (16, 12), ['.', 'G', '.', '%'], [(15, 8), (16, 11), (17, 6)], [False, False, False, True], 82, False, [True, False, True, False], 292, 'North', (16, 13))
Element 10: (0, (16, 13), ['%', 'G', '%', '.'], [(16, 8), (16, 12), (16, 6)], [True, False, True, False], 80, False, [False, False, False, True], 321, 'East', (17, 13))
Element 11: (0, (17, 13), ['', '%', '%', '.'], [(17, 8), (15, 12), (16, 7)], [False, True, True, False], 78, False, [False, False, False, True], 360, 'East', (18, 13))
Element 12: (0, (18, 13), ['', '%', '%', '%'], [(18, 8), (14, 12), (15, 7)], [False, True, True, True], 76, False, [False, False, False, False], 399, 'West', (17, 13))
Element 13: (0, (17, 13), ['', '%', '%', ''], [(18, 9), (13, 12), (15, 6)], [False, True, True, False], 74, False, [False, False, False, False], 428, 'West', (16, 13))
Element 14: (0, (16, 13), ['%', '', '%', ''], [(17, 9), (12, 12), (15, 5)], [True, False, True, False], 72, False, [False, False, False, False], 457, 'South', (16, 12))
Element 15: (0, (16, 12), ['', '', '', '%'], [(16, 9), (12, 13), (15, 4)], [False, False, False, True], 70, False, [False, False, False, False], 1476, 'West', (15, 12))
Element 16: (0, (15, 12), ['', '', '%', ''], [(15, 9), (11, 13), (16, 4)], [False, False, True, False], 68, False, [False, False, False, False], 1505, 'West', (14, 12))
Element 17: (0, (14, 12), ['', '', '%', ''], [(15, 10), (10, 13), (15, 4)], [False, False, True, False], 66, False, [False, False, False, False], 1514, 'West', (13, 12))
Element 18: (0, (13, 12), ['', '', '%', ''], [(16, 10), (10, 12), (15, 5)], [False, False, True, False], 64, False, [False, False, False, False], 1523, 'West', (12, 12))
Element 19: (0, (12, 12), ['%', '', '', ''], [(17, 10), (9, 12), (14, 5)], [True, False, False, False], 62, False, [False, False, False, False], 1542, 'North', (12, 13))
Element 20: (0, (12, 13), ['', '', '%', '%'], [(18, 10), (9, 11), (14, 6)], [False, False, True, True], 60, False, [False, False, False, False], 1551, 'West', (11, 13))
Element 21: (0, (11, 13), ['', '%', '%', ''], [(18, 11), (8, 11), (14, 7)], [False, True, True, False], 58, False, [False, False, False, False], 1570, 'West', (10, 13))
Element 22: (0, (10, 13), ['%', '', '%', ''], [(17, 11), (7, 11), (13, 7)], [True, False, True, False], 56, False, [False, False, False, False], 2579, 'South', (10, 12))
Element 23: (0, (10, 12), ['', '', '', '%'], [(16, 11), (7, 10), (13, 6)], [False, False, False, True], 54, False, [False, False, False, False], 2598, 'West', (9, 12))
Element 24: (0, (9, 12), ['%', '', '%', ''], [(16, 12), (7, 9), (13, 5)], [True, False, True, False], 52, False, [False, False, False, False], 3607, 'East', (10, 12))
Element 25: (0, (10, 12), ['', '', '', '%'], [(16, 13), (6, 9), (12, 5)], [False, False, False, True], 50, False, [False, False, False, False], 4616, 'North', (10, 13))
Element 26: (0, (10, 13), ['%', '', '%', ''], [(17, 13), (6, 10), (12, 6)], [True, False, True, False], 48, False, [False, False, False, False], 4635, 'East', (11, 13))
Element 27: (0, (11, 13), ['', '%', '%', ''], [(18, 13), (6, 11), (12, 7)], [False, True, True, False], 46, False, [False, False, False, False], 4654, 'East', (12, 13))
Element 28: (0, (12, 13), ['', '', '%', '%'], [(17, 13), (5, 11), (12, 6)], [False, False, True, True], 44, False, [False, False, False, False], 4663, 'South', (12, 12))
Element 29: (0, (12, 12), ['%', '', '', ''], [(16, 13), (5, 10), (12, 5)], [True, False, False, False], 42, False, [False, False, False, False], 4672, 'East', (13, 12))
Element 30: (0, (13, 12), ['', '', '%', ''], [(16, 12), (5, 9), (13, 5)], [False, False, True, False], 40, False, [False, False, False, False], 4681, 'East', (14, 12))
Element 31: (0, (14, 12), ['', '', '%', 'G'], [(15, 12), (4, 9), (13, 6)], [False, False, True, False], 38, False, [False, False, False, False], 4690, 'West', (13, 12))
Element 32: (0, (13, 12), ['', '', '%', ''], [(15, 11), (4, 10), (12, 6)], [False, False, True, False], 36, False, [False, False, False, False], 4699, 'East', (14, 12))
Element 33: (0, (14, 12), ['', 'G', '%', ''], [(14, 11), (3, 10), (13, 6)], [False, False, True, False], 34, False, [False, False, False, False], 4708, 'South', (14, 11))
Element 34: (0, (14, 11), ['', '', 'G', ''], [(14, 12), (3, 11), (13, 7)], [False, False, False, False], 32, False, [False, False, False, False], 4717, 'South', (14, 10))
Element 35: (0, (14, 10), ['', '%', '', ''], [(13, 12), (3, 12), (12, 7)], [False, True, False, False], 30, False, [False, False, False, False], 4726, 'East', (15, 10))
Element 36: (0, (15, 10), ['', '', '', ''], [(13, 11), (3, 13), (13, 7)], [False, False, False, False], 28, False, [False, False, False, False], 4735, 'East', (16, 10))
Element 37: (0, (16, 10), ['', '', '', ''], [(13, 10), (4, 13), (13, 8)], [False, False, False, False], 26, False, [False, False, False, False], 5734, 'East', (17, 10))
Element 38: (0, (17, 10), ['', '', '', ''], [(14, 10), (5, 13), (14, 8)], [False, False, False, False], 24, False, [False, False, False, False], 6733, 'East', (18, 10))
Element 39: (0, (18, 10), ['', '', '', '%'], [(13, 10), (6, 13), (15, 8)], [False, False, False, True], 22, False, [False, False, False, False], 6742, 'North', (18, 11))
Element 40: (0, (18, 11), ['', '', '%', '%'], [(13, 11), (7, 13), (16, 8)], [False, False, True, True], 20, False, [False, False, False, False], 6751, 'West', (17, 11))
Element 41: (0, (17, 11), ['', '', '%', ''], [(12, 11), (6, 13), (17, 8)], [False, False, True, False], 18, False, [False, False, False, False], 6750, 'East', (18, 11))
Element 42: (0, (18, 11), ['', '', '%', '%'], [(12, 12), (5, 13), (18, 8)], [False, False, True, True], 16, False, [False, False, False, False], 6749, 'South', (18, 10))
Element 43: (0, (18, 10), ['', 'G', '', '%'], [(12, 13), (4, 13), (18, 9)], [False, False, False, True], 14, False, [False, False, False, False], 6748, 'West', (17, 10))
Element 44: (0, (17, 10), ['', '', '', 'G'], [(11, 13), (3, 13), (18, 10)], [False, False, False, False], 12, False, [False, False, False, False], 6747, 'West', (16, 10))
Element 45: (0, (16, 10), ['', '', '', ''], [(10, 13), (2, 13), (18, 11)], [False, False, False, False], 10, False, [False, False, False, False], 6756, 'East', (17, 10))
Element 46: (0, (17, 10), ['', '', 'G', ''], [(10, 12), (2, 12), (17, 11)], [False, False, False, False], 8, False, [False, False, False, False], 6765, 'West', (16, 10))
Element 47: (0, (16, 10), ['', '', '', 'G'], [(10, 11), (2, 11), (17, 10)], [False, False, False, False], 6, False, [False, False, False, False], 6774, 'West', (15, 10))
Element 48: (0, (15, 10), ['', '', '', ''], [(11, 11), (2, 10), (17, 9)], [False, False, False, False], 4, False, [False, False, False, False], 6783, 'West', (14, 10))
Element 49: (0, (14, 10), ['', '%', '', ''], [(10, 11), (1, 10), (16, 9)], [False, True, False, False], 2, False, [False, False, False, False], 6792, 'East', (15, 10))
Element 50: (0, (15, 10), ['', '', '', 'G'], [(9, 11), (1, 11), (16, 10)], [False, False, False, False], 0, False, [False, False, False, False], 6801, 'Stop', (15, 10))
Element 51: #0#
