Element 1: (0, (3, 7), ['.', '.', 'F', '%'], [(2, 11), (11, 9), (18, 6)], [False, False, False, True], 98, False, [True, True, False, False], 0, 'North', (3, 8))
Element 2: (0, (3, 8), ['%', '', '%', '%'], [(3, 11), (12, 9), (18, 5)], [True, False, True, True], 96, False, [False, False, False, False], 1029, 'South', (3, 7))
Element 3: (0, (3, 7), ['.', '.', '', '%'], [(3, 12), (13, 9), (18, 4)], [False, False, False, True], 94, False, [True, True, False, False], 1058, 'South', (3, 6))
Element 4: (0, (3, 6), ['.', '%', '', '.'], [(3, 13), (13, 10), (17, 4)], [False, True, False, False], 92, False, [True, False, False, True], 1097, 'East', (4, 6))
Element 5: (0, (4, 6), ['', '.', '%', '.'], [(4, 13), (14, 10), (17, 5)], [False, False, True, False], 90, False, [False, True, False, True], 2126, 'East', (5, 6))
Element 6: (0, (5, 6), ['', '.', '.', '.'], [(5, 13), (15, 10), (17, 6)], [False, False, False, False], 88, False, [False, True, True, True], 3155, 'East', (6, 6))
Element 7: (0, (6, 6), ['', '.', '.', '%'], [(6, 13), (16, 10), (16, 6)], [False, False, False, True], 86, False, [False, True, True, False], 3194, 'North', (6, 7))
Element 8: (0, (6, 7), ['.', '', '%', '%'], [(7, 13), (17, 10), (16, 7)], [False, False, True, True], 84, False, [True, False, False, False], 3233, 'West', (5, 7))
Element 9: (0, (5, 7), ['%', '', '%', ''], [(6, 13), (18, 10), (16, 8)], [True, False, True, False], 82, False, [False, False, False, False], 3262, 'East', (6, 7))
Element 10: (0, (6, 7), ['', '', '%', '%'], [(5, 13), (18, 11), (17, 8)], [False, False, True, True], 80, False, [False, False, False, False], 3281, 'South', (6, 6))
Element 11: (0, (6, 6), ['', '.', '', '%'], [(4, 13), (17, 11), (18, 8)], [False, False, False, True], 78, False, [False, True, False, False], 3300, 'South', (6, 5))
Element 12: (0, (6, 5), ['.', '.', '', '.'], [(3, 13), (16, 11), (18, 9)], [False, False, False, False], 76, False, [True, True, False, True], 3329, 'East', (7, 5))
Element 13: (0, (7, 5), ['', '.', '%', '%'], [(2, 13), (16, 12), (17, 9)], [False, False, True, True], 74, False, [False, True, False, False], 3368, 'South', (7, 4))
Element 14: (0, (7, 4), ['.', '.', '', '.'], [(2, 12), (16, 13), (16, 9)], [False, False, False, False], 72, False, [True, True, False, True], 3407, 'East', (8, 4))
Element 15: (0, (8, 4), ['', '%', '%', '.'], [(1, 12), (17, 13), (15, 9)], [False, True, True, False], 70, False, [False, False, False, True], 3446, 'East', (9, 4))
Element 16: (0, (9, 4), ['', '%', '.', '.'], [(1, 11), (18, 13), (15, 8)], [False, True, False, False], 68, False, [False, False, True, True], 3485, 'East', (10, 4))
Element 17: (0, (10, 4), ['', '.', '.', '%'], [(1, 10), (17, 13), (15, 7)], [False, False, False, True], 66, False, [False, True, True, False], 3514, 'North', (10, 5))
Element 18: (0, (10, 5), ['.', '', '.', '%'], [(2, 10), (16, 13), (15, 6)], [False, False, False, True], 64, False, [True, False, True, False], 3543, 'North', (10, 6))
Element 19: (0, (10, 6), ['.', '', 'F', '%'], [(3, 10), (16, 12), (15, 5)], [False, False, False, True], 62, False, [True, False, False, False], 3572, 'North', (10, 7))
