Element 1: (2, (4, 5), ['%', '', '.', '.'], [(18, 5), (5, 4), (16, 10)], [True, False, False, False], 98, False, [False, False, True, True], 19, 'East', (5, 5))
Element 2: (2, (5, 5), ['', '', '.', '.'], [(18, 4), (6, 4), (17, 10)], [False, False, False, False], 96, False, [False, False, True, True], 58, 'East', (6, 5))
Element 3: (2, (6, 5), ['', '', '.', '.'], [(17, 4), (7, 4), (18, 10)], [False, False, False, False], 94, False, [False, False, True, True], 97, 'East', (7, 5))
Element 4: (2, (7, 5), ['', '', '%', '%'], [(17, 5), (8, 4), (18, 11)], [False, False, True, True], 92, False, [False, False, False, False], 136, 'South', (7, 4))
Element 5: (2, (7, 4), ['', '.', '', ''], [(17, 6), (9, 4), (17, 11)], [False, False, False, False], 90, False, [False, True, False, False], 165, 'South', (7, 3))
Element 6: (2, (7, 3), ['.', '.', '', '%'], [(16, 6), (10, 4), (16, 11)], [False, False, False, True], 88, False, [True, True, False, False], 204, 'South', (7, 2))
Element 7: (2, (7, 2), ['.', '%', '', '.'], [(16, 7), (10, 5), (16, 12)], [False, True, False, False], 86, False, [True, False, False, True], 243, 'East', (8, 2))
Element 8: (2, (8, 2), ['', '%', '%', '.'], [(16, 8), (10, 6), (16, 13)], [False, True, True, False], 84, False, [False, False, False, True], 282, 'East', (9, 2))
Element 9: (2, (9, 2), ['', 'F', '%', '.'], [(17, 8), (10, 7), (17, 13)], [False, False, True, False], 82, False, [False, False, False, True], 1311, 'South', (9, 1))
Element 10: (2, (9, 1), ['%', '%', '', '.'], [(18, 8), (9, 7), (18, 13)], [True, True, False, False], 80, False, [False, False, False, True], 3330, 'East', (10, 1))
Element 11: (2, (10, 1), ['', '%', '.', '.'], [(18, 9), (9, 8), (17, 13)], [False, True, False, False], 78, False, [False, False, True, True], 3359, 'East', (11, 1))
Element 12: (2, (11, 1), ['', '%', '.', '.'], [(17, 9), (10, 8), (16, 13)], [False, True, False, False], 76, False, [False, False, True, True], 3388, 'East', (12, 1))
Element 13: (2, (12, 1), ['', '%', '.', '.'], [(16, 9), (11, 8), (16, 12)], [False, True, False, False], 74, False, [False, False, True, True], 3417, 'East', (13, 1))
Element 14: (2, (13, 1), ['', '%', '%', '.'], [(15, 9), (11, 9), (15, 12)], [False, True, True, False], 72, False, [False, False, False, True], 3456, 'East', (14, 1))
Element 15: (2, (14, 1), ['', '%', '.', '%'], [(15, 10), (12, 9), (15, 11)], [False, True, False, True], 70, False, [False, False, True, False], 3495, 'North', (14, 2))
Element 16: (2, (14, 2), ['%', '', '.', '.'], [(14, 10), (13, 9), (14, 11)], [True, False, False, False], 68, False, [False, False, True, True], 3534, 'East', (15, 2))
Element 17: (2, (15, 2), ['', '%', '%', '.'], [(13, 10), (13, 8), (14, 12)], [False, True, True, False], 66, False, [False, False, False, True], 3573, 'East', (16, 2))
Element 18: (2, (16, 2), ['', '%', '.', '%'], [(13, 11), (14, 8), (13, 12)], [False, True, False, True], 64, False, [False, False, True, False], 3612, 'North', (16, 3))
Element 19: (2, (16, 3), ['%', '', '.', '.'], [(12, 11), (15, 8), (12, 12)], [True, False, False, False], 62, False, [False, False, True, True], 3651, 'East', (17, 3))
Element 20: (2, (17, 3), ['', '%', '', '%'], [(12, 10), (15, 7), (12, 13)], [False, True, False, True], 60, False, [False, False, False, False], 4680, 'North', (17, 4))
Element 21: (2, (17, 4), ['.', '', '', ''], [(11, 10), (15, 6), (11, 13)], [False, False, False, False], 58, False, [True, False, False, False], 4709, 'West', (16, 4))
Element 22: (2, (16, 4), ['.', '', '%', ''], [(11, 11), (15, 5), (10, 13)], [False, False, True, False], 56, False, [True, False, False, False], 4748, 'West', (15, 4))
Element 23: (2, (15, 4), ['%', '%', '', ''], [(10, 11), (14, 5), (10, 12)], [True, True, False, False], 54, False, [False, False, False, False], 4787, 'North', (15, 5))
Element 24: (2, (15, 5), ['', '', '', '%'], [(10, 10), (14, 6), (9, 12)], [False, False, False, True], 52, False, [False, False, False, False], 4816, 'North', (15, 6))
Element 25: (2, (15, 6), ['', '', '', ''], [(9, 10), (14, 7), (9, 11)], [False, False, False, False], 50, False, [False, False, False, False], 4845, 'East', (16, 6))
Element 26: (2, (16, 6), ['', '%', '', ''], [(9, 9), (13, 7), (8, 11)], [False, True, False, False], 48, False, [False, False, False, False], 4874, 'East', (17, 6))
Element 27: (2, (17, 6), ['', '', '%', ''], [(8, 9), (13, 6), (7, 11)], [False, False, True, False], 46, False, [False, False, False, False], 5893, 'East', (18, 6))
Element 28: (2, (18, 6), ['', '', '%', '%'], [(7, 9), (13, 5), (7, 10)], [False, False, True, True], 44, False, [False, False, False, False], 6912, 'South', (18, 5))
