Element 1: (0, (8, 9), ['F', '.', '.', '.'], [(7, 13), (16, 11), (18, 13)], [False, False, False, False], 98, False, [False, True, True, True], 0, 'West', (7, 9))
Element 2: (0, (7, 9), ['F', '%', '.', ''], [(6, 13), (17, 11), (17, 13)], [False, True, False, False], 96, False, [False, False, True, False], 1029, 'West', (6, 9))
Element 3: (0, (6, 9), ['.', '%', '.', ''], [(5, 13), (18, 11), (16, 13)], [False, True, False, False], 94, False, [True, False, True, False], 3048, 'North', (6, 10))
Element 4: (0, (6, 10), ['.', '', '.', '.'], [(4, 13), (18, 10), (16, 12)], [False, False, False, False], 92, False, [True, False, True, True], 4077, 'East', (7, 10))
Element 5: (0, (7, 10), ['', '', 'F', '.'], [(3, 13), (18, 9), (15, 12)], [False, False, False, False], 90, False, [False, False, False, True], 4116, 'North', (7, 11))
Element 6: (0, (7, 11), ['.', '', '%', '.'], [(3, 12), (18, 8), (15, 11)], [False, False, True, False], 88, False, [True, False, False, True], 5145, 'East', (8, 11))
Element 7: (0, (8, 11), ['', '.', '%', '.'], [(3, 11), (17, 8), (15, 10)], [False, False, True, False], 86, False, [False, True, False, True], 5184, 'East', (9, 11))
Element 8: (0, (9, 11), ['', '.', '.', '.'], [(3, 10), (17, 9), (16, 10)], [False, False, False, False], 84, False, [False, True, True, True], 5223, 'East', (10, 11))
Element 9: (0, (10, 11), ['', '.', '.', '.'], [(4, 10), (17, 10), (16, 9)], [False, False, False, False], 82, False, [False, True, True, True], 5262, 'East', (11, 11))
Element 10: (0, (11, 11), ['', '.', '%', '.'], [(5, 10), (16, 10), (16, 8)], [False, False, True, False], 80, False, [False, True, False, True], 5291, 'East', (12, 11))
Element 11: (0, (12, 11), ['', '.', '.', '.'], [(5, 11), (16, 9), (16, 7)], [False, False, False, False], 78, False, [False, True, True, True], 5320, 'East', (13, 11))
Element 12: (0, (13, 11), ['', '.', '.', '.'], [(6, 11), (15, 9), (16, 6)], [False, False, False, False], 76, False, [False, True, True, True], 5359, 'East', (14, 11))
Element 13: (0, (14, 11), ['', '.', '.', ''], [(7, 11), (15, 8), (17, 6)], [False, False, False, False], 74, False, [False, True, True, False], 5388, 'North', (14, 12))
Element 14: (0, (14, 12), ['.', '', '%', ''], [(8, 11), (15, 7), (18, 6)], [False, False, True, False], 72, False, [True, False, False, False], 5417, 'West', (13, 12))
Element 15: (0, (13, 12), ['.', '', '%', ''], [(8, 10), (15, 6), (18, 5)], [False, False, True, False], 70, False, [True, False, False, False], 5456, 'West', (12, 12))
Element 16: (0, (12, 12), ['%', '', 'F', ''], [(9, 10), (15, 5), (18, 4)], [True, False, False, False], 68, False, [False, False, False, False], 5495, 'North', (12, 13))
Element 17: (0, (12, 13), ['.', '', '%', '%'], [(10, 10), (15, 4), (17, 4)], [False, False, True, True], 66, False, [True, False, False, False], 6524, 'West', (11, 13))
Element 18: (0, (11, 13), ['.', '%', '%', ''], [(11, 10), (16, 4), (17, 5)], [False, True, True, False], 64, False, [True, False, False, False], 6563, 'West', (10, 13))
Element 19: (0, (10, 13), ['%', '.', '%', ''], [(12, 10), (16, 3), (17, 4)], [True, False, True, False], 62, False, [False, True, False, False], 6592, 'South', (10, 12))
Element 20: (0, (10, 12), ['.', '', '', '%'], [(13, 10), (17, 3), (16, 4)], [False, False, False, True], 60, False, [True, False, False, False], 6621, 'West', (9, 12))
Element 21: (0, (9, 12), ['%', '', '%', ''], [(14, 10), (17, 4), (16, 3)], [True, False, True, False], 58, False, [False, False, False, False], 6640, 'East', (10, 12))
Element 22: (0, (10, 12), ['', '', '', '%'], [(15, 10), (18, 4), (16, 2)], [False, False, False, True], 56, False, [False, False, False, False], 6649, 'North', (10, 13))
Element 23: (0, (10, 13), ['%', '', '%', ''], [(16, 10), (18, 5), (15, 2)], [True, False, True, False], 54, False, [False, False, False, False], 6658, 'East', (11, 13))
Element 24: (0, (11, 13), ['', '%', '%', ''], [(17, 10), (18, 6), (14, 2)], [False, True, True, False], 52, False, [False, False, False, False], 6667, 'East', (12, 13))
Element 25: (0, (12, 13), ['', '', '%', '%'], [(18, 10), (17, 6), (14, 3)], [False, False, True, True], 50, False, [False, False, False, False], 6676, 'South', (12, 12))
Element 26: (0, (12, 12), ['%', '', '', ''], [(18, 11), (17, 5), (13, 3)], [True, False, False, False], 48, False, [False, False, False, False], 6685, 'East', (13, 12))
Element 27: (0, (13, 12), ['', '', '%', ''], [(17, 11), (17, 6), (12, 3)], [False, False, True, False], 46, False, [False, False, False, False], 6694, 'East', (14, 12))
Element 28: (0, (14, 12), ['', '', '%', ''], [(16, 11), (16, 6), (12, 2)], [False, False, True, False], 44, False, [False, False, False, False], 6703, 'East', (15, 12))
Element 29: (0, (15, 12), ['', '', '%', 'G'], [(16, 12), (16, 7), (12, 1)], [False, False, True, False], 42, False, [False, False, False, False], 6712, 'South', (15, 11))
Element 30: (0, (15, 11), ['', '', '', ''], [(16, 13), (16, 8), (13, 1)], [False, False, False, False], 40, False, [False, False, False, False], 6721, 'East', (16, 11))
Element 31: (0, (16, 11), ['', '', '', ''], [(17, 13), (16, 7), (14, 1)], [False, False, False, False], 38, False, [False, False, False, False], 6730, 'East', (17, 11))
Element 32: (0, (17, 11), ['', '', '%', ''], [(18, 13), (16, 6), (13, 1)], [False, False, True, False], 36, False, [False, False, False, False], 6729, 'East', (18, 11))
Element 33: (0, (18, 11), ['', '', '%', '%'], [(17, 13), (17, 6), (12, 1)], [False, False, True, True], 34, False, [False, False, False, False], 6728, 'South', (18, 10))
Element 34: (0, (18, 10), ['', '', '', '%'], [(16, 13), (18, 6), (11, 1)], [False, False, False, True], 32, False, [False, False, False, False], 6737, 'South', (18, 9))
