Element 18: (3, (15, 11), ['', '', 'G', ''], [(15, 12), (11, 9), (15, 9)], [False, False, False, False], 64, False, [False, False, False, False], 3412, 'West', (14, 11))
Element 19: (3, (14, 11), ['', '', '', ''], [(16, 12), (11, 8), (15, 10)], [False, False, False, False], 62, False, [False, False, False, False], 3421, 'North', (14, 12))
Element 20: (3, (14, 12), ['', '', '%', ''], [(16, 13), (10, 8), (14, 10)], [False, False, True, False], 60, False, [False, False, False, False], 3430, 'West', (13, 12))
Element 21: (3, (13, 12), ['', '', '%', ''], [(17, 13), (10, 7), (14, 11)], [False, False, True, False], 58, False, [False, False, False, False], 4429, 'South', (13, 11))
Element 22: (3, (13, 11), ['', '', '', ''], [(18, 13), (9, 7), (14, 12)], [False, False, False, False], 56, False, [False, False, False, False], 5428, 'West', (12, 11))
Element 23: (3, (12, 11), ['', '', '', ''], [(17, 13), (9, 8), (15, 12)], [False, False, False, False], 54, False, [False, False, False, False], 5437, 'North', (12, 12))
Element 24: (3, (12, 12), ['%', '', '', ''], [(16, 13), (8, 8), (16, 12)], [True, False, False, False], 52, False, [False, False, False, False], 5446, 'North', (12, 13))
Element 25: (3, (12, 13), ['', '', '%', '%'], [(17, 13), (8, 9), (16, 13)], [False, False, True, True], 50, False, [False, False, False, False], 5445, 'West', (11, 13))
Element 26: (3, (11, 13), ['', '%', '%', ''], [(17, 13), (8, 10), (16, 12)], [False, True, True, False], 48, False, [False, False, False, False], 5454, 'West', (10, 13))
Element 27: (3, (10, 13), ['%', '', '%', ''], [(16, 13), (8, 11), (15, 12)], [True, False, True, False], 46, False, [False, False, False, False], 5463, 'South', (10, 12))
Element 28: (3, (10, 12), ['.', '', '', '%'], [(16, 12), (7, 11), (14, 12)], [False, False, False, True], 44, False, [True, False, False, False], 6462, 'West', (9, 12))
Element 29: (3, (9, 12), ['%', '.', '%', ''], [(16, 11), (7, 10), (13, 12)], [True, False, True, False], 42, False, [False, True, False, False], 6481, 'South', (9, 11))
Element 30: (3, (9, 11), ['', '', '', ''], [(17, 11), (7, 9), (13, 11)], [False, False, False, False], 40, False, [False, False, False, False], 6490, 'East', (10, 11))
Element 31: (3, (10, 11), ['', '', '', ''], [(18, 11), (6, 9), (13, 10)], [False, False, False, False], 38, False, [False, False, False, False], 6489, 'East', (11, 11))
Element 32: (3, (11, 11), ['', '', '%', ''], [(18, 10), (5, 9), (12, 10)], [False, False, True, False], 36, False, [False, False, False, False], 6498, 'South', (11, 10))
Element 33: (3, (11, 10), ['', '', '', ''], [(18, 9), (4, 9), (12, 11)], [False, False, False, False], 34, False, [False, False, False, False], 6507, 'East', (12, 10))
Element 34: (3, (12, 10), ['', '', '', ''], [(18, 8), (4, 10), (12, 12)], [False, False, False, False], 32, False, [False, False, False, False], 6516, 'South', (12, 9))
Element 35: (3, (12, 9), ['', '%', '', ''], [(17, 8), (3, 10), (12, 13)], [False, True, False, False], 30, False, [False, False, False, False], 6525, 'East', (13, 9))
Element 36: (3, (13, 9), ['', '', '', '%'], [(17, 9), (3, 11), (11, 13)], [False, False, False, True], 28, False, [False, False, False, False], 6534, 'South', (13, 8))
Element 37: (3, (13, 8), ['%', '.', '', ''], [(17, 10), (3, 12), (10, 13)], [True, False, False, False], 26, False, [False, True, False, False], 6543, 'South', (13, 7))
Element 38: (3, (13, 7), ['.', '.', '', '.'], [(16, 10), (3, 13), (10, 12)], [False, False, False, False], 24, False, [True, True, False, True], 6562, 'East', (14, 7))
Element 39: (3, (14, 7), ['', '.', '', '.'], [(16, 9), (4, 13), (10, 11)], [False, False, False, False], 22, False, [False, True, False, True], 7571, 'East', (15, 7))
Element 40: (3, (15, 7), ['', '.', '', '.'], [(16, 8), (5, 13), (11, 11)], [False, False, False, False], 20, False, [False, True, False, True], 8580, 'East', (16, 7))
Element 41: (3, (16, 7), ['', '.', '', '%'], [(15, 8), (6, 13), (11, 10)], [False, False, False, True], 18, False, [False, True, False, False], 8599, 'South', (16, 6))
Element 42: (3, (16, 6), ['.', '%', '', '.'], [(15, 9), (7, 13), (11, 9)], [False, True, False, False], 16, False, [True, False, False, True], 8618, 'East', (17, 6))
Element 43: (3, (17, 6), ['', '.', '%', '.'], [(15, 10), (6, 13), (12, 9)], [False, False, True, False], 14, False, [False, True, False, True], 8627, 'East', (18, 6))
Element 44: (3, (18, 6), ['', '.', '%', '%'], [(15, 11), (5, 13), (11, 9)], [False, False, True, True], 12, False, [False, True, False, False], 8636, 'South', (18, 5))
Element 45: (3, (18, 5), ['.', '.', '', '%'], [(14, 11), (4, 13), (11, 8)], [False, False, False, True], 10, False, [True, True, False, False], 8645, 'South', (18, 4))
Element 46: (3, (18, 4), ['.', '%', '', '%'], [(14, 10), (3, 13), (10, 8)], [False, True, False, True], 8, False, [True, False, False, False], 8654, 'West', (17, 4))
Element 47: (3, (17, 4), ['.', '.', '.', ''], [(13, 10), (2, 13), (10, 7)], [False, False, False, False], 6, False, [True, True, True, False], 8673, 'North', (17, 5))
Element 48: (3, (17, 5), ['%', '', '', ''], [(13, 11), (2, 12), (10, 6)], [True, False, False, False], 4, False, [False, False, False, False], 8702, 'South', (17, 4))
Element 49: (3, (17, 4), ['.', '.', '', ''], [(12, 11), (2, 11), (10, 5)], [False, False, False, False], 2, False, [True, True, False, False], 8721, 'South', (17, 3))
Element 50: (3, (17, 3), ['.', '%', '', '%'], [(12, 11), (2, 11), (10, 5)], [False, True, False, True], 0, False, [True, False, False, False], 8730, 'Stop', (17, 3))
Element 51: #0#
