Element 1: (2, (14, 6), ['.', '.', '.', ''], [(16, 6), (10, 13), (18, 10)], [False, False, False, False], 98, False, [True, True, True, False], 19, 'North', (14, 7))
Element 2: (2, (14, 7), ['.', '', '.', '.'], [(17, 6), (11, 13), (18, 11)], [False, False, False, False], 96, False, [True, False, True, True], 58, 'East', (15, 7))
Element 3: (2, (15, 7), ['', '', '.', '.'], [(18, 6), (12, 13), (17, 11)], [False, False, False, False], 94, False, [False, False, True, True], 1087, 'East', (16, 7))
Element 4: (2, (16, 7), ['', '', '.', '%'], [(18, 5), (12, 12), (17, 10)], [False, False, False, True], 92, False, [False, False, True, False], 1126, 'North', (16, 8))
Element 5: (2, (16, 8), ['.', '', '.', '.'], [(18, 4), (13, 12), (17, 9)], [False, False, False, False], 90, False, [True, False, True, True], 1165, 'East', (17, 8))
Element 6: (2, (17, 8), ['', '%', '', '.'], [(17, 4), (14, 12), (18, 9)], [False, True, False, False], 88, False, [False, False, False, True], 1204, 'East', (18, 8))
Element 7: (2, (18, 8), ['', '%', '', '%'], [(17, 5), (15, 12), (17, 9)], [False, True, False, True], 86, False, [False, False, False, False], 1233, 'North', (18, 9))
Element 8: (2, (18, 9), ['', '', '', '%'], [(17, 4), (16, 12), (16, 9)], [False, False, False, True], 84, False, [False, False, False, False], 1252, 'North', (18, 10))
Element 9: (2, (18, 10), ['', '', '', '%'], [(17, 3), (16, 13), (16, 10)], [False, False, False, True], 82, False, [False, False, False, False], 1281, 'North', (18, 11))
Element 10: (2, (18, 11), ['', '', '%', '%'], [(16, 3), (17, 13), (16, 11)], [False, False, True, True], 80, False, [False, False, False, False], 1310, 'West', (17, 11))
Element 11: (2, (17, 11), ['', '', '%', ''], [(16, 4), (18, 13), (15, 11)], [False, False, True, False], 78, False, [False, False, False, False], 1339, 'South', (17, 10))
Element 12: (2, (17, 10), ['', '', '', ''], [(15, 4), (17, 13), (15, 10)], [False, False, False, False], 76, False, [False, False, False, False], 1358, 'South', (17, 9))
Element 13: (2, (17, 9), ['', '', '', ''], [(15, 5), (16, 13), (15, 9)], [False, False, False, False], 74, False, [False, False, False, False], 1377, 'West', (16, 9))
Element 14: (2, (16, 9), ['', '', '', ''], [(14, 5), (16, 12), (15, 8)], [False, False, False, False], 72, False, [False, False, False, False], 1396, 'North', (16, 10))
Element 15: (2, (16, 10), ['', '', 'G', ''], [(13, 5), (16, 11), (14, 8)], [False, False, False, False], 70, False, [False, False, False, False], 1415, 'West', (15, 10))
Element 16: (2, (15, 10), ['.', '', '', ''], [(13, 6), (17, 11), (13, 8)], [False, False, False, False], 68, False, [True, False, False, False], 1434, 'West', (14, 10))
Element 17: (2, (14, 10), ['.', '%', '.', ''], [(13, 7), (18, 11), (13, 9)], [False, True, False, False], 66, False, [True, False, True, False], 1463, 'North', (14, 11))
Element 18: (2, (14, 11), ['.', '', '', ''], [(12, 7), (18, 10), (13, 10)], [False, False, False, False], 64, False, [True, False, False, False], 1492, 'West', (13, 11))
Element 19: (2, (13, 11), ['.', '', '', ''], [(12, 6), (18, 9), (12, 10)], [False, False, False, False], 62, False, [True, False, False, False], 1521, 'West', (12, 11))
Element 20: (2, (12, 11), ['.', '', '', ''], [(12, 5), (18, 8), (12, 9)], [False, False, False, False], 60, False, [True, False, False, False], 1550, 'West', (11, 11))
Element 21: (2, (11, 11), ['.', '.', '%', ''], [(12, 6), (17, 8), (11, 9)], [False, False, True, False], 58, False, [True, True, False, False], 1569, 'South', (11, 10))
Element 22: (2, (11, 10), ['.', '', '', ''], [(12, 7), (17, 9), (11, 8)], [False, False, False, False], 56, False, [True, False, False, False], 1588, 'West', (10, 10))
Element 23: (2, (10, 10), ['.', '%', '.', ''], [(13, 7), (17, 10), (10, 8)], [False, True, False, False], 54, False, [True, False, True, False], 1607, 'North', (10, 11))
Element 24: (2, (10, 11), ['.', '', '', ''], [(14, 7), (16, 10), (10, 7)], [False, False, False, False], 52, False, [True, False, False, False], 2616, 'West', (9, 11))
Element 25: (2, (9, 11), ['.', '.', '.', ''], [(15, 7), (16, 9), (9, 7)], [False, False, False, False], 50, False, [True, True, True, False], 3625, 'North', (9, 12))
Element 26: (2, (9, 12), ['%', '', '%', ''], [(16, 7), (16, 8), (9, 8)], [True, False, True, False], 48, False, [False, False, False, False], 3644, 'East', (10, 12))
Element 27: (2, (10, 12), ['', '', '', '%'], [(15, 7), (16, 7), (9, 9)], [False, False, False, True], 46, False, [False, False, False, False], 3653, 'North', (10, 13))
Element 28: (2, (10, 13), ['%', '', '%', ''], [(15, 8), (16, 6), (9, 10)], [True, False, True, False], 44, False, [False, False, False, False], 3662, 'East', (11, 13))
Element 29: (2, (11, 13), ['', '%', '%', ''], [(16, 8), (17, 6), (8, 10)], [False, True, True, False], 42, False, [False, False, False, False], 3671, 'East', (12, 13))
Element 30: (2, (12, 13), ['', '', '%', '%'], [(17, 8), (18, 6), (8, 11)], [False, False, True, True], 40, False, [False, False, False, False], 3680, 'South', (12, 12))
Element 31: (2, (12, 12), ['%', '', '', ''], [(18, 8), (18, 5), (7, 11)], [True, False, False, False], 38, False, [False, False, False, False], 4679, 'East', (13, 12))
Element 32: (2, (13, 12), ['', '', '%', ''], [(18, 9), (18, 4), (7, 10)], [False, False, True, False], 36, False, [False, False, False, False], 4688, 'East', (14, 12))
Element 33: (2, (14, 12), ['', '', '%', ''], [(18, 10), (17, 4), (7, 9)], [False, False, True, False], 34, False, [False, False, False, False], 5687, 'East', (15, 12))
Element 34: (2, (15, 12), ['', '', '%', ''], [(18, 11), (17, 5), (6, 9)], [False, False, True, False], 32, False, [False, False, False, False], 6686, 'East', (16, 12))
Element 35: (2, (16, 12), ['', '', '', '%'], [(17, 11), (17, 4), (6, 10)], [False, False, False, True], 30, False, [False, False, False, False], 6695, 'North', (16, 13))
Element 36: (2, (16, 13), ['%', '', '%', ''], [(17, 10), (17, 3), (6, 11)], [True, False, True, False], 28, False, [False, False, False, False], 6704, 'East', (17, 13))
Element 37: (2, (17, 13), ['', '%', '%', ''], [(17, 9), (16, 3), (5, 11)], [False, True, True, False], 26, False, [False, False, False, False], 6713, 'East', (18, 13))
Element 38: (2, (18, 13), ['', '%', '%', '%'], [(16, 9), (16, 2), (5, 10)], [False, True, True, True], 24, False, [False, False, False, False], 6732, 'West', (17, 13))
Element 39: (2, (17, 13), ['', '%', '%', ''], [(16, 10), (15, 2), (5, 9)], [False, True, True, False], 22, False, [False, False, False, False], 6751, 'West', (16, 13))
Element 40: (2, (16, 13), ['%', '', '%', ''], [(16, 11), (14, 2), (4, 9)], [True, False, True, False], 20, False, [False, False, False, False], 6770, 'South', (16, 12))
Element 41: (2, (16, 12), ['', '', '', '%'], [(15, 11), (14, 3), (4, 10)], [False, False, False, True], 18, False, [False, False, False, False], 6789, 'South', (16, 11))
Element 42: (2, (16, 11), ['', '', '', ''], [(15, 12), (13, 3), (3, 10)], [False, False, False, False], 16, False, [False, False, False, False], 6808, 'West', (15, 11))
Element 43: (2, (15, 11), ['', '', '', ''], [(16, 12), (12, 3), (3, 11)], [False, False, False, False], 14, False, [False, False, False, False], 6827, 'East', (16, 11))
Element 44: (2, (16, 11), ['', '', '', ''], [(16, 13), (12, 2), (3, 12)], [False, False, False, False], 12, False, [False, False, False, False], 6846, 'North', (16, 12))
Element 45: (2, (16, 12), ['', '', '', '%'], [(17, 13), (12, 1), (3, 13)], [False, False, False, True], 10, False, [False, False, False, False], 6865, 'West', (15, 12))
Element 46: (2, (15, 12), ['', '', '%', ''], [(18, 13), (13, 1), (4, 13)], [False, False, True, False], 8, False, [False, False, False, False], 7874, 'South', (15, 11))
Element 47: (2, (15, 11), ['', '', '', ''], [(17, 13), (14, 1), (5, 13)], [False, False, False, False], 6, False, [False, False, False, False], 8883, 'North', (15, 12))
Element 48: (2, (15, 12), ['', '', '%', ''], [(16, 13), (13, 1), (6, 13)], [False, False, True, False], 4, False, [False, False, False, False], 8892, 'West', (14, 12))
Element 49: (2, (14, 12), ['', '', '%', ''], [(16, 12), (12, 1), (7, 13)], [False, False, True, False], 2, False, [False, False, False, False], 8901, 'West', (13, 12))
Element 50: (2, (13, 12), ['', '', '%', ''], [(16, 12), (12, 1), (6, 13)], [False, False, True, False], 0, False, [False, False, False, False], 8900, 'Stop', (13, 12))
Element 51: #0#
