Element 1: (0, (8, 9), ['F', '.', '.', '.'], [(10, 11), (11, 10), (14, 11)], [False, False, False, False], 98, False, [False, True, True, True], 0, 'West', (7, 9))
Element 2: (0, (7, 9), ['F', '%', '.', ''], [(11, 11), (12, 10), (15, 11)], [False, True, False, False], 96, False, [False, False, True, False], 1029, 'West', (6, 9))
Element 3: (0, (6, 9), ['.', '%', '.', ''], [(12, 11), (13, 10), (16, 11)], [False, True, False, False], 94, False, [True, False, True, False], 2058, 'North', (6, 10))
Element 4: (0, (6, 10), ['.', '', '.', '.'], [(13, 11), (14, 10), (17, 11)], [False, False, False, False], 92, False, [True, False, True, True], 2097, 'East', (7, 10))
Element 5: (0, (7, 10), ['', '', 'F', '.'], [(13, 12), (15, 10), (18, 11)], [False, False, False, False], 90, False, [False, False, False, True], 2136, 'North', (7, 11))
Element 6: (0, (7, 11), ['.', '', '%', '.'], [(14, 12), (16, 10), (18, 10)], [False, False, True, False], 88, False, [True, False, False, True], 3165, 'East', (8, 11))
Element 7: (0, (8, 11), ['', '.', '%', '.'], [(15, 12), (17, 10), (18, 9)], [False, False, True, False], 86, False, [False, True, False, True], 3204, 'East', (9, 11))
Element 8: (0, (9, 11), ['', '.', '.', ''], [(16, 12), (17, 9), (18, 8)], [False, False, False, False], 84, False, [False, True, True, False], 3243, 'North', (9, 12))
Element 9: (0, (9, 12), ['%', '', '%', '.'], [(16, 13), (17, 8), (18, 9)], [True, False, True, False], 82, False, [False, False, False, True], 3272, 'East', (10, 12))
Element 10: (0, (10, 12), ['', '', '.', '%'], [(17, 13), (16, 8), (18, 10)], [False, False, False, True], 80, False, [False, False, True, False], 3301, 'North', (10, 13))
Element 11: (0, (10, 13), ['%', '', '%', '.'], [(18, 13), (16, 9), (18, 11)], [True, False, True, False], 78, False, [False, False, False, True], 3330, 'East', (11, 13))
Element 12: (0, (11, 13), ['', '%', '%', 'F'], [(17, 13), (15, 9), (17, 11)], [False, True, True, False], 76, False, [False, False, False, False], 3349, 'East', (12, 13))
Element 13: (0, (12, 13), ['', '.', '%', '%'], [(16, 13), (15, 8), (17, 10)], [False, False, True, True], 74, False, [False, True, False, False], 4358, 'South', (12, 12))
