Element 39: (1, (17, 9), ['', '', '', ''], [(12, 3), (16, 8), (10, 8)], [False, False, False, False], 22, False, [False, False, False, False], 6791, 'West', (16, 9))
Element 40: (1, (16, 9), ['', '', '', ''], [(12, 2), (17, 8), (10, 7)], [False, False, False, False], 20, False, [False, False, False, False], 6800, 'North', (16, 10))
Element 41: (1, (16, 10), ['', '', '', ''], [(11, 2), (18, 8), (10, 6)], [False, False, False, False], 18, False, [False, False, False, False], 6819, 'North', (16, 11))
Element 42: (1, (16, 11), ['', '', '', ''], [(11, 3), (18, 9), (10, 5)], [False, False, False, False], 16, False, [False, False, False, False], 6838, 'North', (16, 12))
Element 43: (1, (16, 12), ['', '', '', '%'], [(10, 3), (18, 10), (10, 4)], [False, False, False, True], 14, False, [False, False, False, False], 6857, 'North', (16, 13))
Element 44: (1, (16, 13), ['%', '', '%', ''], [(10, 2), (18, 11), (9, 4)], [True, False, True, False], 12, False, [False, False, False, False], 6876, 'East', (17, 13))
Element 45: (1, (17, 13), ['', '%', '%', ''], [(10, 1), (17, 11), (9, 5)], [False, True, True, False], 10, False, [False, False, False, False], 6885, 'East', (18, 13))
Element 46: (1, (18, 13), ['', '%', '%', '%'], [(11, 1), (17, 10), (9, 6)], [False, True, True, True], 8, False, [False, False, False, False], 6894, 'West', (17, 13))
Element 47: (1, (17, 13), ['', '%', '%', ''], [(12, 1), (17, 9), (9, 5)], [False, True, True, False], 6, False, [False, False, False, False], 6893, 'West', (16, 13))
Element 48: (1, (16, 13), ['%', '', '%', ''], [(13, 1), (17, 10), (9, 4)], [True, False, True, False], 4, False, [False, False, False, False], 6892, 'South', (16, 12))
Element 49: (1, (16, 12), ['', '', '', '%'], [(14, 1), (17, 11), (8, 4)], [False, False, False, True], 2, False, [False, False, False, False], 6901, 'West', (15, 12))
Element 50: (1, (15, 12), ['', '', '%', ''], [(14, 1), (18, 11), (7, 4)], [False, False, True, False], 0, False, [False, False, False, False], 6910, 'Stop', (15, 12))
Element 51: #0#
