Element 33: (2, (18, 5), ['G', '', '', '%'], [(17, 5), (13, 7), (17, 5)], [False, False, False, True], 34, False, [False, False, False, False], 1527, 'South', (18, 4))
Element 34: (2, (18, 4), ['G', '%', '', '%'], [(17, 6), (13, 8), (17, 4)], [False, True, False, True], 32, False, [False, False, False, False], 1526, 'North', (18, 5))
Element 35: (2, (18, 5), ['G', '', '', '%'], [(17, 5), (14, 8), (17, 3)], [False, False, False, True], 30, False, [False, False, False, False], 1525, 'North', (18, 6))
Element 36: (2, (18, 6), ['', '', '%', '%'], [(17, 4), (15, 8), (16, 3)], [False, False, True, True], 28, False, [False, False, False, False], 1524, 'West', (17, 6))
Element 37: (2, (17, 6), ['', '', '%', ''], [(18, 4), (15, 9), (16, 2)], [False, False, True, False], 26, False, [False, False, False, False], 1533, 'West', (16, 6))
Element 38: (2, (16, 6), ['', '%', '', ''], [(18, 5), (15, 10), (15, 2)], [False, True, False, False], 24, False, [False, False, False, False], 1542, 'North', (16, 7))
Element 39: (2, (16, 7), ['', '', '', '%'], [(17, 5), (16, 10), (14, 2)], [False, False, False, True], 22, False, [False, False, False, False], 1551, 'North', (16, 8))
Element 40: (2, (16, 8), ['', '', '', ''], [(18, 5), (17, 10), (14, 3)], [False, False, False, False], 20, False, [False, False, False, False], 1560, 'East', (17, 8))
Element 41: (2, (17, 8), ['', '%', '', ''], [(18, 6), (18, 10), (13, 3)], [False, True, False, False], 18, False, [False, False, False, False], 1569, 'East', (18, 8))
Element 42: (2, (18, 8), ['', '%', '', '%'], [(17, 6), (18, 11), (12, 3)], [False, True, False, True], 16, False, [False, False, False, False], 1578, 'North', (18, 9))
Element 43: (2, (18, 9), ['', '', '', '%'], [(17, 5), (17, 11), (12, 2)], [False, False, False, True], 14, False, [False, False, False, False], 1587, 'North', (18, 10))
Element 44: (2, (18, 10), ['', '', '', '%'], [(17, 6), (16, 11), (12, 1)], [False, False, False, True], 12, False, [False, False, False, False], 1596, 'North', (18, 11))
Element 45: (2, (18, 11), ['', '', '%', '%'], [(16, 6), (16, 12), (13, 1)], [False, False, True, True], 10, False, [False, False, False, False], 1605, 'South', (18, 10))
Element 46: (2, (18, 10), ['', '', '', '%'], [(15, 6), (16, 13), (14, 1)], [False, False, False, True], 8, False, [False, False, False, False], 1614, 'South', (18, 9))
Element 47: (2, (18, 9), ['', '', '', '%'], [(15, 7), (17, 13), (13, 1)], [False, False, False, True], 6, False, [False, False, False, False], 1613, 'West', (17, 9))
Element 48: (2, (17, 9), ['', '', '', ''], [(15, 8), (18, 13), (12, 1)], [False, False, False, False], 4, False, [False, False, False, False], 1612, 'West', (16, 9))
Element 49: (2, (16, 9), ['G', '', '', ''], [(15, 9), (17, 13), (11, 1)], [False, False, False, False], 2, False, [False, False, False, False], 1621, 'North', (16, 10))
Element 50: (2, (16, 10), ['', '', '', ''], [(15, 9), (17, 13), (11, 2)], [False, False, False, False], 0, False, [False, False, False, False], 1630, 'Stop', (16, 10))
Element 51: #0#
