Element 38: (0, (6, 9), ['.', '%', '.', ''], [(18, 10), (18, 13), (10, 11)], [False, True, False, False], 24, False, [True, False, True, False], 7873, 'North', (6, 10))
Element 39: (0, (6, 10), ['.', '', '.', ''], [(18, 11), (17, 13), (11, 11)], [False, False, False, False], 22, False, [True, False, True, False], 7882, 'North', (6, 11))
Element 40: (0, (6, 11), ['.', '', '%', ''], [(17, 11), (16, 13), (12, 11)], [False, False, True, False], 20, False, [True, False, False, False], 7891, 'West', (5, 11))
Element 41: (0, (5, 11), ['%', '.', '%', ''], [(16, 11), (16, 12), (12, 10)], [True, False, True, False], 18, False, [False, True, False, False], 7900, 'South', (5, 10))
Element 42: (0, (5, 10), ['.', '.', '', ''], [(15, 11), (15, 12), (12, 9)], [False, False, False, False], 16, False, [True, True, False, False], 7909, 'South', (5, 9))
Element 43: (0, (5, 9), ['.', '%', '', ''], [(14, 11), (15, 11), (13, 9)], [False, True, False, False], 14, False, [True, False, False, False], 7918, 'West', (4, 9))
Element 44: (0, (4, 9), ['%', '%', '.', ''], [(14, 12), (15, 10), (13, 8)], [True, True, False, False], 12, False, [False, False, True, False], 7927, 'North', (4, 10))
Element 45: (0, (4, 10), ['.', '', '%', ''], [(15, 12), (15, 9), (14, 8)], [False, False, True, False], 10, False, [True, False, False, False], 7936, 'West', (3, 10))
Element 46: (0, (3, 10), ['.', '%', '.', ''], [(16, 12), (15, 8), (14, 7)], [False, True, False, False], 8, False, [True, False, True, False], 7945, 'North', (3, 11))
Element 47: (0, (3, 11), ['.', '', '.', '%'], [(16, 13), (15, 7), (14, 6)], [False, False, False, True], 6, False, [True, False, True, False], 7954, 'North', (3, 12))
Element 48: (0, (3, 12), ['.', '', '.', '%'], [(17, 13), (15, 6), (14, 5)], [False, False, False, True], 4, False, [True, False, True, False], 7963, 'North', (3, 13))
Element 49: (0, (3, 13), ['.', '', '%', 'F'], [(18, 13), (15, 5), (13, 5)], [False, False, True, False], 2, False, [True, False, False, False], 7972, 'East', (4, 13))
Element 50: (0, (4, 13), ['', '%', '%', 'F'], [(17, 13), (15, 4), (12, 5)], [False, True, True, False], 0, False, [False, False, False, False], 8981, 'Stop', (4, 13))
Element 51: #0#
