Element 1: (3, (13, 8), ['%', '', '.', '.'], [(14, 7), (12, 3), (12, 6)], [True, False, False, False], 98, False, [False, False, True, True], 29, 'East', (14, 8))
Element 2: (3, (14, 8), ['', '', '%', '.'], [(15, 7), (13, 3), (13, 6)], [False, False, True, False], 96, False, [False, False, False, True], 68, 'East', (15, 8))
Element 3: (3, (15, 8), ['', '', '.', '.'], [(16, 7), (14, 3), (14, 6)], [False, False, False, False], 94, False, [False, False, True, True], 107, 'East', (16, 8))
Element 4: (3, (16, 8), ['', '', '.', '.'], [(16, 6), (14, 2), (15, 6)], [False, False, False, False], 92, False, [False, False, True, True], 146, 'East', (17, 8))
Element 5: (3, (17, 8), ['', '%', '.', '.'], [(17, 6), (15, 2), (15, 5)], [False, True, False, False], 90, False, [False, False, True, True], 185, 'East', (18, 8))
Element 6: (3, (18, 8), ['', '%', '.', '%'], [(18, 6), (16, 2), (15, 4)], [False, True, False, True], 88, False, [False, False, True, False], 224, 'North', (18, 9))
Element 7: (3, (18, 9), ['.', '', '.', '%'], [(18, 5), (16, 3), (16, 4)], [False, False, False, True], 86, False, [True, False, True, False], 263, 'North', (18, 10))
Element 8: (3, (18, 10), ['.', '', '.', '%'], [(18, 4), (17, 3), (17, 4)], [False, False, False, True], 84, False, [True, False, True, False], 302, 'North', (18, 11))
Element 9: (3, (18, 11), ['.', '', '%', '%'], [(18, 5), (16, 3), (17, 5)], [False, False, True, True], 82, False, [True, False, False, False], 321, 'West', (17, 11))
Element 10: (3, (17, 11), ['.', '.', '%', ''], [(18, 4), (16, 2), (18, 5)], [False, False, True, False], 80, False, [True, True, False, False], 330, 'South', (17, 10))
Element 11: (3, (17, 10), ['.', '.', '', ''], [(17, 4), (15, 2), (18, 6)], [False, False, False, False], 78, False, [True, True, False, False], 339, 'South', (17, 9))
Element 12: (3, (17, 9), ['.', '', '', ''], [(17, 5), (14, 2), (17, 6)], [False, False, False, False], 76, False, [True, False, False, False], 348, 'West', (16, 9))
Element 13: (3, (16, 9), ['.', '', '.', ''], [(17, 4), (14, 1), (16, 6)], [False, False, False, False], 74, False, [True, False, True, False], 367, 'North', (16, 10))
Element 14: (3, (16, 10), ['.', '', '.', ''], [(17, 3), (13, 1), (16, 7)], [False, False, False, False], 72, False, [True, False, True, False], 386, 'North', (16, 11))
Element 15: (3, (16, 11), ['.', '', '.', ''], [(16, 3), (12, 1), (16, 8)], [False, False, False, False], 70, False, [True, False, True, False], 405, 'North', (16, 12))
Element 16: (3, (16, 12), ['.', '', '.', '%'], [(16, 4), (12, 2), (17, 8)], [False, False, False, True], 68, False, [True, False, True, False], 424, 'North', (16, 13))
Element 17: (3, (16, 13), ['%', '', '%', '.'], [(15, 4), (11, 2), (18, 8)], [True, False, True, False], 66, False, [False, False, False, True], 443, 'East', (17, 13))
Element 18: (3, (17, 13), ['', '%', '%', '.'], [(15, 5), (11, 1), (18, 9)], [False, True, True, False], 64, False, [False, False, False, True], 462, 'East', (18, 13))
Element 19: (3, (18, 13), ['', '%', '%', '%'], [(14, 5), (10, 1), (18, 10)], [False, True, True, True], 62, False, [False, False, False, False], 491, 'West', (17, 13))
Element 20: (3, (17, 13), ['', '%', '%', ''], [(13, 5), (9, 1), (18, 11)], [False, True, True, False], 60, False, [False, False, False, False], 1500, 'West', (16, 13))
Element 21: (3, (16, 13), ['%', '', '%', ''], [(12, 5), (9, 2), (17, 11)], [True, False, True, False], 58, False, [False, False, False, False], 1519, 'South', (16, 12))
Element 22: (3, (16, 12), ['.', '', '', '%'], [(12, 6), (10, 2), (17, 10)], [False, False, False, True], 56, False, [True, False, False, False], 1528, 'West', (15, 12))
Element 23: (3, (15, 12), ['.', '.', '%', ''], [(13, 6), (10, 3), (17, 9)], [False, False, True, False], 54, False, [True, True, False, False], 1547, 'South', (15, 11))
Element 24: (3, (15, 11), ['.', '.', '', ''], [(14, 6), (10, 4), (16, 9)], [False, False, False, False], 52, False, [True, True, False, False], 1566, 'South', (15, 10))
Element 25: (3, (15, 10), ['.', 'G', '', ''], [(15, 6), (10, 5), (15, 9)], [False, False, False, False], 50, False, [True, False, False, False], 1595, 'West', (14, 10))
Element 26: (3, (14, 10), ['.', '%', '.', 'G'], [(14, 6), (10, 6), (15, 10)], [False, True, False, False], 48, False, [True, False, True, False], 1614, 'North', (14, 11))
Element 27: (3, (14, 11), ['.', '', '.', ''], [(13, 6), (10, 7), (16, 10)], [False, False, False, False], 46, False, [True, False, True, False], 2623, 'North', (14, 12))
Element 28: (3, (14, 12), ['.', '', '%', ''], [(12, 6), (9, 7), (16, 11)], [False, False, True, False], 44, False, [True, False, False, False], 3632, 'West', (13, 12))
