Element 1: (2, (9, 8), ['.', 'G', '.', '.'], [(2, 1), (9, 7), (12, 7)], [False, False, False, False], 98, False, [True, False, True, True], 1999, 'East', (10, 8))
Element 2: (2, (10, 8), ['', 'G', '%', '.'], [(3, 1), (10, 7), (13, 7)], [False, False, True, False], 96, False, [False, False, False, True], 3028, 'East', (11, 8))
Element 3: (2, (11, 8), ['', '%', '.', '%'], [(4, 1), (10, 6), (14, 7)], [False, True, False, True], 94, False, [False, False, True, False], 3067, 'North', (11, 9))
Element 4: (2, (11, 9), ['%', '', '.', '.'], [(4, 2), (10, 5), (15, 7)], [True, False, False, False], 92, False, [False, False, True, True], 3106, 'East', (12, 9))
Element 5: (2, (12, 9), ['', '%', '.', '.'], [(5, 2), (10, 4), (16, 7)], [False, True, False, False], 90, False, [False, False, True, True], 3145, 'East', (13, 9))
Element 6: (2, (13, 9), ['', '.', '.', '%'], [(6, 2), (10, 3), (16, 8)], [False, False, False, True], 88, False, [False, True, True, False], 3184, 'North', (13, 10))
Element 7: (2, (13, 10), ['.', '', '.', '.'], [(7, 2), (11, 3), (17, 8)], [False, False, False, False], 86, False, [True, False, True, True], 3223, 'East', (14, 10))
Element 8: (2, (14, 10), ['', '%', '.', '.'], [(8, 2), (12, 3), (18, 8)], [False, True, False, False], 84, False, [False, False, True, True], 3262, 'East', (15, 10))
Element 9: (2, (15, 10), ['', '.', '.', '.'], [(9, 2), (13, 3), (18, 9)], [False, False, False, False], 82, False, [False, True, True, True], 3301, 'East', (16, 10))
Element 10: (2, (16, 10), ['', '.', '.', '.'], [(9, 1), (14, 3), (18, 10)], [False, False, False, False], 80, False, [False, True, True, True], 4330, 'East', (17, 10))
Element 11: (2, (17, 10), ['', '.', '.', ''], [(10, 1), (14, 2), (18, 11)], [False, False, False, False], 78, False, [False, True, True, False], 4369, 'North', (17, 11))
Element 12: (2, (17, 11), ['.', '', '%', ''], [(11, 1), (15, 2), (18, 10)], [False, False, True, False], 76, False, [True, False, False, False], 4398, 'West', (16, 11))
Element 13: (2, (16, 11), ['.', '', '.', ''], [(12, 1), (16, 2), (18, 9)], [False, False, False, False], 74, False, [True, False, True, False], 4427, 'North', (16, 12))
Element 14: (2, (16, 12), ['.', '', '.', '%'], [(13, 1), (16, 3), (17, 9)], [False, False, False, True], 72, False, [True, False, True, False], 4466, 'North', (16, 13))
Element 15: (2, (16, 13), ['%', '', '%', '.'], [(14, 1), (17, 3), (16, 9)], [True, False, True, False], 70, False, [False, False, False, True], 4505, 'East', (17, 13))
Element 16: (2, (17, 13), ['', '%', '%', '.'], [(14, 2), (17, 4), (15, 9)], [False, True, True, False], 68, False, [False, False, False, True], 4534, 'East', (18, 13))
Element 17: (2, (18, 13), ['', '%', '%', '%'], [(15, 2), (18, 4), (15, 8)], [False, True, True, True], 66, False, [False, False, False, False], 4563, 'West', (17, 13))
Element 18: (2, (17, 13), ['', '%', '%', ''], [(16, 2), (18, 5), (14, 8)], [False, True, True, False], 64, False, [False, False, False, False], 4582, 'West', (16, 13))
Element 19: (2, (16, 13), ['%', '', '%', ''], [(16, 3), (18, 6), (13, 8)], [True, False, True, False], 62, False, [False, False, False, False], 4601, 'South', (16, 12))
Element 20: (2, (16, 12), ['.', '', '', '%'], [(16, 4), (17, 6), (13, 9)], [False, False, False, True], 60, False, [True, False, False, False], 4620, 'West', (15, 12))
Element 21: (2, (15, 12), ['.', '.', '%', ''], [(15, 4), (17, 5), (13, 10)], [False, False, True, False], 58, False, [True, True, False, False], 4649, 'South', (15, 11))
Element 22: (2, (15, 11), ['.', '', '', ''], [(15, 5), (17, 6), (13, 11)], [False, False, False, False], 56, False, [True, False, False, False], 4678, 'West', (14, 11))
Element 23: (2, (14, 11), ['', '', '.', ''], [(15, 6), (16, 6), (13, 12)], [False, False, False, False], 54, False, [False, False, True, False], 4717, 'North', (14, 12))
Element 24: (2, (14, 12), ['', '', '%', ''], [(14, 6), (16, 7), (12, 12)], [False, False, True, False], 52, False, [False, False, False, False], 4746, 'West', (13, 12))
Element 25: (2, (13, 12), ['', '', '%', ''], [(14, 5), (16, 8), (12, 13)], [False, False, True, False], 50, False, [False, False, False, False], 5755, 'South', (13, 11))
Element 26: (2, (13, 11), ['.', '', '', ''], [(13, 5), (17, 8), (11, 13)], [False, False, False, False], 48, False, [True, False, False, False], 5774, 'West', (12, 11))
Element 27: (2, (12, 11), ['.', '.', '', ''], [(13, 6), (18, 8), (10, 13)], [False, False, False, False], 46, False, [True, True, False, False], 5803, 'South', (12, 10))
Element 28: (2, (12, 10), ['.', '', '', ''], [(12, 6), (18, 9), (10, 12)], [False, False, False, False], 44, False, [True, False, False, False], 5832, 'West', (11, 10))
Element 29: (2, (11, 10), ['.', '', '.', ''], [(12, 5), (18, 10), (10, 11)], [False, False, False, False], 42, False, [True, False, True, False], 5861, 'North', (11, 11))
Element 30: (2, (11, 11), ['', '', '%', ''], [(12, 6), (18, 11), (10, 10)], [False, False, True, False], 40, False, [False, False, False, False], 5880, 'West', (10, 11))
Element 31: (2, (10, 11), ['.', '', '', ''], [(12, 7), (17, 11), (9, 10)], [False, False, False, False], 38, False, [True, False, False, False], 5889, 'West', (9, 11))
Element 32: (2, (9, 11), ['.', '', '.', ''], [(13, 7), (17, 10), (9, 9)], [False, False, False, False], 36, False, [True, False, True, False], 5908, 'North', (9, 12))
Element 33: (2, (9, 12), ['%', '', '%', ''], [(14, 7), (17, 9), (8, 9)], [True, False, True, False], 34, False, [False, False, False, False], 5927, 'East', (10, 12))
Element 34: (2, (10, 12), ['', '', '', '%'], [(15, 7), (16, 9), (7, 9)], [False, False, False, True], 32, False, [False, False, False, False], 6926, 'North', (10, 13))
Element 35: (2, (10, 13), ['%', '', '%', ''], [(16, 7), (16, 10), (6, 9)], [True, False, True, False], 30, False, [False, False, False, False], 7925, 'East', (11, 13))
Element 36: (2, (11, 13), ['', '%', '%', ''], [(16, 8), (16, 11), (6, 10)], [False, True, True, False], 28, False, [False, False, False, False], 7934, 'East', (12, 13))
Element 37: (2, (12, 13), ['', '', '%', '%'], [(17, 8), (16, 12), (7, 10)], [False, False, True, True], 26, False, [False, False, False, False], 7943, 'South', (12, 12))
Element 38: (2, (12, 12), ['%', '', '', ''], [(18, 8), (16, 13), (7, 11)], [True, False, False, False], 24, False, [False, False, False, False], 8942, 'North', (12, 13))
Element 39: (2, (12, 13), ['', '', '%', '%'], [(18, 9), (17, 13), (8, 11)], [False, False, True, True], 22, False, [False, False, False, False], 8951, 'West', (11, 13))
Element 40: (2, (11, 13), ['', '%', '%', ''], [(18, 10), (18, 13), (8, 10)], [False, True, True, False], 20, False, [False, False, False, False], 8960, 'West', (10, 13))
Element 41: (2, (10, 13), ['%', '', '%', ''], [(18, 11), (17, 13), (8, 11)], [True, False, True, False], 18, False, [False, False, False, False], 8959, 'South', (10, 12))
Element 42: (2, (10, 12), ['', '', '', '%'], [(17, 11), (16, 13), (9, 11)], [False, False, False, True], 16, False, [False, False, False, False], 8958, 'West', (9, 12))
Element 43: (2, (9, 12), ['%', '', '%', ''], [(17, 10), (16, 12), (8, 11)], [True, False, True, False], 14, False, [False, False, False, False], 8957, 'South', (9, 11))
Element 44: (2, (9, 11), ['', '', '', ''], [(17, 9), (15, 12), (7, 11)], [False, False, False, False], 12, False, [False, False, False, False], 8956, 'West', (8, 11))
Element 45: (2, (8, 11), ['', '', '%', ''], [(16, 9), (15, 11), (6, 11)], [False, False, True, False], 10, False, [False, False, False, False], 8965, 'South', (8, 10))
Element 46: (2, (8, 10), ['', '', '', ''], [(16, 10), (15, 10), (5, 11)], [False, False, False, False], 8, False, [False, False, False, False], 8974, 'East', (9, 10))
Element 47: (2, (9, 10), ['', '', '', ''], [(16, 11), (15, 9), (5, 10)], [False, False, False, False], 6, False, [False, False, False, False], 8983, 'East', (10, 10))
Element 48: (2, (10, 10), ['', '%', '', ''], [(16, 12), (15, 8), (5, 9)], [False, True, False, False], 4, False, [False, False, False, False], 8992, 'West', (9, 10))
Element 49: (2, (9, 10), ['', '', '', ''], [(16, 13), (15, 7), (4, 9)], [False, False, False, False], 2, False, [False, False, False, False], 9001, 'South', (9, 9))
Element 50: (2, (9, 9), ['', '', '', '%'], [(16, 13), (15, 7), (4, 10)], [False, False, False, True], 0, False, [False, False, False, False], 9010, 'Stop', (9, 9))
Element 51: #0#
