Element 39: (2, (16, 10), ['', '', '', ''], [(6, 9), (6, 5), (14, 11)], [False, False, False, False], 22, False, [False, False, False, False], 8981, 'South', (16, 9))
Element 40: (2, (16, 9), ['', '', '', ''], [(5, 9), (6, 6), (14, 12)], [False, False, False, False], 20, False, [False, False, False, False], 9000, 'West', (15, 9))
Element 41: (2, (15, 9), ['%', '', '', ''], [(4, 9), (6, 7), (13, 12)], [True, False, False, False], 18, False, [False, False, False, False], 9019, 'South', (15, 8))
Element 42: (2, (15, 8), ['', '', '', ''], [(4, 10), (5, 7), (13, 11)], [False, False, False, False], 16, False, [False, False, False, False], 9028, 'West', (14, 8))
Element 43: (2, (14, 8), ['', '', '%', ''], [(5, 10), (5, 6), (12, 11)], [False, False, True, False], 14, False, [False, False, False, False], 9037, 'West', (13, 8))
Element 44: (2, (13, 8), ['%', '', '', ''], [(5, 11), (5, 5), (12, 12)], [True, False, False, False], 12, False, [False, False, False, False], 9056, 'North', (13, 9))
Element 45: (2, (13, 9), ['', '', '', '%'], [(6, 11), (5, 4), (12, 13)], [False, False, False, True], 10, False, [False, False, False, False], 9075, 'West', (12, 9))
Element 46: (2, (12, 9), ['', '%', '', ''], [(6, 10), (6, 4), (11, 13)], [False, True, False, False], 8, False, [False, False, False, False], 9084, 'West', (11, 9))
Element 47: (2, (11, 9), ['%', '', '', ''], [(6, 11), (6, 3), (10, 13)], [True, False, False, False], 6, False, [False, False, False, False], 9093, 'North', (11, 10))
Element 48: (2, (11, 10), ['', '', '', ''], [(5, 11), (7, 3), (10, 12)], [False, False, False, False], 4, False, [False, False, False, False], 9102, 'West', (10, 10))
Element 49: (2, (10, 10), ['', '%', '', ''], [(5, 10), (7, 2), (9, 12)], [False, True, False, False], 2, False, [False, False, False, False], 9121, 'West', (9, 10))
Element 50: (2, (9, 10), ['', '', 'G', ''], [(5, 10), (7, 2), (9, 11)], [False, False, False, False], 0, False, [False, False, False, False], 9130, 'Stop', (9, 10))
Element 51: #0#
