Element 25: (1, (13, 11), ['.', '', '.', ''], [(12, 2), (16, 4), (16, 8)], [False, False, False, False], 50, False, [True, False, True, False], 4715, 'North', (13, 12))
Element 26: (1, (13, 12), ['.', '', '%', ''], [(11, 2), (15, 4), (17, 8)], [False, False, True, False], 48, False, [True, False, False, False], 4734, 'West', (12, 12))
Element 27: (1, (12, 12), ['%', '.', 'F', ''], [(11, 3), (15, 5), (18, 8)], [True, False, False, False], 46, False, [False, True, False, False], 4753, 'North', (12, 13))
Element 28: (1, (12, 13), ['.', '', '%', '%'], [(10, 3), (14, 5), (18, 9)], [False, False, True, True], 44, False, [True, False, False, False], 5772, 'West', (11, 13))
Element 29: (1, (11, 13), ['.', '%', '%', ''], [(10, 2), (14, 6), (18, 10)], [False, True, True, False], 42, False, [True, False, False, False], 5801, 'West', (10, 13))
Element 30: (1, (10, 13), ['%', '.', '%', ''], [(10, 3), (14, 7), (18, 11)], [True, False, True, False], 40, False, [False, True, False, False], 5820, 'South', (10, 12))
Element 31: (1, (10, 12), ['.', '.', '', '%'], [(10, 4), (14, 8), (17, 11)], [False, False, False, True], 38, False, [True, True, False, False], 5839, 'South', (10, 11))
Element 32: (1, (10, 11), ['.', '.', '', '.'], [(10, 5), (13, 8), (17, 10)], [False, False, False, False], 36, False, [True, True, False, True], 5858, 'East', (11, 11))
Element 33: (1, (11, 11), ['', '.', '%', '.'], [(9, 5), (13, 7), (17, 9)], [False, False, True, False], 34, False, [False, True, False, True], 5887, 'East', (12, 11))
Element 34: (1, (12, 11), ['', '.', '', ''], [(9, 6), (13, 6), (16, 9)], [False, False, False, False], 32, False, [False, True, False, False], 5916, 'South', (12, 10))
Element 35: (1, (12, 10), ['.', '', '', ''], [(10, 6), (13, 5), (16, 10)], [False, False, False, False], 30, False, [True, False, False, False], 5935, 'West', (11, 10))
Element 36: (1, (11, 10), ['.', '', '', ''], [(10, 7), (12, 5), (16, 11)], [False, False, False, False], 28, False, [True, False, False, False], 5954, 'West', (10, 10))
Element 37: (1, (10, 10), ['.', '%', '', ''], [(10, 8), (12, 6), (15, 11)], [False, True, False, False], 26, False, [True, False, False, False], 5973, 'West', (9, 10))
Element 38: (1, (9, 10), ['.', '.', '.', ''], [(11, 8), (12, 7), (16, 11)], [False, False, False, False], 24, False, [True, True, True, False], 5992, 'North', (9, 11))
Element 39: (1, (9, 11), ['.', '', '.', ''], [(11, 9), (12, 6), (16, 10)], [False, False, False, False], 22, False, [True, False, True, False], 6001, 'North', (9, 12))
Element 40: (1, (9, 12), ['%', '', '%', ''], [(12, 9), (12, 5), (16, 9)], [True, False, True, False], 20, False, [False, False, False, False], 6010, 'South', (9, 11))
Element 41: (1, (9, 11), ['.', '', '', ''], [(13, 9), (13, 5), (17, 9)], [False, False, False, False], 18, False, [True, False, False, False], 6009, 'West', (8, 11))
Element 42: (1, (8, 11), ['F', '.', '%', ''], [(13, 10), (13, 6), (17, 10)], [False, False, True, False], 16, False, [False, True, False, False], 6018, 'West', (7, 11))
Element 43: (1, (7, 11), ['.', '.', '%', ''], [(14, 10), (12, 6), (16, 10)], [False, False, True, False], 14, False, [True, True, False, False], 7017, 'South', (7, 10))
Element 44: (1, (7, 10), ['.', 'F', '', '.'], [(15, 10), (13, 6), (17, 10)], [False, False, False, False], 12, False, [True, False, False, True], 7026, 'South', (7, 9))
Element 45: (1, (7, 9), ['F', '%', '', '.'], [(16, 10), (13, 7), (17, 11)], [False, True, False, False], 10, False, [False, False, False, True], 8025, 'West', (6, 9))
Element 46: (1, (6, 9), ['.', '%', '.', ''], [(17, 10), (12, 7), (16, 11)], [False, True, False, False], 8, False, [True, False, True, False], 9024, 'North', (6, 10))
Element 47: (1, (6, 10), ['.', '', '.', ''], [(18, 10), (13, 7), (17, 11)], [False, False, False, False], 6, False, [True, False, True, False], 9033, 'North', (6, 11))
Element 48: (1, (6, 11), ['.', '', '%', ''], [(18, 9), (13, 8), (18, 11)], [False, False, True, False], 4, False, [True, False, False, False], 9042, 'West', (5, 11))
Element 49: (1, (5, 11), ['%', '.', '%', ''], [(18, 8), (13, 9), (18, 10)], [True, False, True, False], 2, False, [False, True, False, False], 9051, 'South', (5, 10))
Element 50: (1, (5, 10), ['.', '.', '', ''], [(18, 8), (13, 10), (17, 10)], [False, False, False, False], 0, False, [True, True, False, False], 9060, 'Stop', (5, 10))
Element 51: #0#
