Element 1: (3, (8, 9), ['F', '.', '.', '.'], [(17, 4), (2, 12), (9, 4)], [False, False, False, False], 98, False, [False, True, True, True], 29, 'West', (7, 9))
Element 2: (3, (7, 9), ['F', '%', '.', ''], [(18, 4), (3, 12), (10, 4)], [False, True, False, False], 96, False, [False, False, True, False], 1058, 'West', (6, 9))
Element 3: (3, (6, 9), ['.', '%', '.', ''], [(18, 5), (3, 13), (10, 5)], [False, True, False, False], 94, False, [True, False, True, False], 2087, 'North', (6, 10))
Element 4: (3, (6, 10), ['.', '', '.', '.'], [(18, 6), (4, 13), (10, 6)], [False, False, False, False], 92, False, [True, False, True, True], 3116, 'East', (7, 10))
Element 5: (3, (7, 10), ['', '', 'F', '.'], [(17, 6), (5, 13), (10, 7)], [False, False, False, False], 90, False, [False, False, False, True], 5135, 'North', (7, 11))
Element 6: (3, (7, 11), ['.', '', '%', '.'], [(17, 5), (6, 13), (9, 7)], [False, False, True, False], 88, False, [True, False, False, True], 7154, 'East', (8, 11))
Element 7: (3, (8, 11), ['', '.', '%', '.'], [(17, 6), (7, 13), (9, 8)], [False, False, True, False], 86, False, [False, True, False, True], 7183, 'East', (9, 11))
Element 8: (3, (9, 11), ['', '.', '.', '.'], [(16, 6), (6, 13), (10, 8)], [False, False, False, False], 84, False, [False, True, True, True], 7212, 'East', (10, 11))
Element 9: (3, (10, 11), ['', '.', '.', '.'], [(16, 7), (5, 13), (11, 8)], [False, False, False, False], 82, False, [False, True, True, True], 7241, 'East', (11, 11))
Element 10: (3, (11, 11), ['', '.', '%', '.'], [(16, 8), (4, 13), (11, 9)], [False, False, True, False], 80, False, [False, True, False, True], 7270, 'East', (12, 11))
Element 11: (3, (12, 11), ['', '.', '.', '.'], [(17, 8), (3, 13), (12, 9)], [False, False, False, False], 78, False, [False, True, True, True], 7299, 'East', (13, 11))
Element 12: (3, (13, 11), ['', '.', '.', '.'], [(18, 8), (2, 13), (13, 9)], [False, False, False, False], 76, False, [False, True, True, True], 7338, 'East', (14, 11))
Element 13: (3, (14, 11), ['', '.', '.', '.'], [(18, 9), (3, 13), (13, 10)], [False, False, False, False], 74, False, [False, True, True, True], 7367, 'East', (15, 11))
Element 14: (3, (15, 11), ['', '.', '.', '.'], [(18, 10), (3, 12), (14, 10)], [False, False, False, False], 72, False, [False, True, True, True], 7396, 'East', (16, 11))
Element 15: (3, (16, 11), ['', '.', '.', '.'], [(18, 11), (3, 11), (15, 10)], [False, False, False, False], 70, False, [False, True, True, True], 7435, 'East', (17, 11))
Element 16: (3, (17, 11), ['', '.', '%', ''], [(18, 10), (3, 10), (16, 10)], [False, False, True, False], 68, False, [False, True, False, False], 7464, 'South', (17, 10))
Element 17: (3, (17, 10), ['', '.', '', ''], [(18, 9), (4, 10), (16, 9)], [False, False, False, False], 66, False, [False, True, False, False], 7493, 'South', (17, 9))
