Element 1: (1, (5, 9), ['.', '%', '.', 'F'], [(18, 10), (13, 8), (18, 5)], [False, True, False, False], 98, False, [True, False, True, False], 9, 'East', (6, 9))
Element 2: (1, (6, 9), ['', '%', '.', 'F'], [(18, 9), (14, 8), (18, 6)], [False, True, False, False], 96, False, [False, False, True, False], 1038, 'East', (7, 9))
Element 3: (1, (7, 9), ['', '%', '.', '.'], [(18, 8), (15, 8), (17, 6)], [False, True, False, False], 94, False, [False, False, True, True], 2067, 'East', (8, 9))
Element 4: (1, (8, 9), ['', '.', '.', '.'], [(17, 8), (16, 8), (17, 5)], [False, False, False, False], 92, False, [False, True, True, True], 2106, 'East', (9, 9))
Element 5: (1, (9, 9), ['', '.', '.', '%'], [(17, 9), (16, 9), (17, 4)], [False, False, False, True], 90, False, [False, True, True, False], 2145, 'North', (9, 10))
Element 6: (1, (9, 10), ['.', '', '.', '.'], [(17, 10), (16, 10), (18, 4)], [False, False, False, False], 88, False, [True, False, True, True], 2184, 'East', (10, 10))
Element 7: (1, (10, 10), ['', '%', '.', '.'], [(17, 11), (16, 11), (17, 4)], [False, True, False, False], 86, False, [False, False, True, True], 2213, 'East', (11, 10))
Element 8: (1, (11, 10), ['', '.', '.', '.'], [(16, 11), (16, 12), (17, 3)], [False, False, False, False], 84, False, [False, True, True, True], 2242, 'East', (12, 10))
Element 9: (1, (12, 10), ['', '.', '.', '.'], [(15, 11), (16, 13), (16, 3)], [False, False, False, False], 82, False, [False, True, True, True], 2281, 'East', (13, 10))
Element 10: (1, (13, 10), ['', '.', '.', '.'], [(15, 12), (17, 13), (16, 4)], [False, False, False, False], 80, False, [False, True, True, True], 2320, 'East', (14, 10))
Element 11: (1, (14, 10), ['', '%', '.', '.'], [(14, 12), (18, 13), (15, 4)], [False, True, False, False], 78, False, [False, False, True, True], 2359, 'East', (15, 10))
Element 12: (1, (15, 10), ['', '.', '', ''], [(14, 11), (17, 13), (15, 5)], [False, False, False, False], 76, False, [False, True, False, False], 2388, 'South', (15, 9))
Element 13: (1, (15, 9), ['%', '', '', ''], [(13, 11), (16, 13), (15, 6)], [True, False, False, False], 74, False, [False, False, False, False], 2417, 'East', (16, 9))
Element 14: (1, (16, 9), ['', '', '', ''], [(13, 12), (16, 12), (16, 6)], [False, False, False, False], 72, False, [False, False, False, False], 2436, 'East', (17, 9))
Element 15: (1, (17, 9), ['', '', '', ''], [(12, 12), (15, 12), (16, 7)], [False, False, False, False], 70, False, [False, False, False, False], 2455, 'East', (18, 9))
Element 16: (1, (18, 9), ['', '', '', '%'], [(12, 13), (15, 11), (15, 7)], [False, False, False, True], 68, False, [False, False, False, False], 3464, 'North', (18, 10))
Element 17: (1, (18, 10), ['', '', '', '%'], [(11, 13), (15, 10), (14, 7)], [False, False, False, True], 66, False, [False, False, False, False], 3483, 'North', (18, 11))
Element 18: (1, (18, 11), ['', '', '%', '%'], [(10, 13), (15, 9), (14, 6)], [False, False, True, True], 64, False, [False, False, False, False], 3502, 'West', (17, 11))
Element 19: (1, (17, 11), ['', '', '%', ''], [(10, 12), (15, 10), (14, 5)], [False, False, True, False], 62, False, [False, False, False, False], 3521, 'South', (17, 10))
Element 20: (1, (17, 10), ['', '', '', ''], [(10, 11), (14, 10), (13, 5)], [False, False, False, False], 60, False, [False, False, False, False], 3540, 'West', (16, 10))
Element 21: (1, (16, 10), ['', '', '', ''], [(11, 11), (14, 11), (13, 6)], [False, False, False, False], 58, False, [False, False, False, False], 3559, 'North', (16, 11))
Element 22: (1, (16, 11), ['', '', '', ''], [(12, 11), (14, 12), (13, 7)], [False, False, False, False], 56, False, [False, False, False, False], 3578, 'North', (16, 12))
Element 23: (1, (16, 12), ['', '', '', '%'], [(12, 10), (13, 12), (12, 7)], [False, False, False, True], 54, False, [False, False, False, False], 3587, 'North', (16, 13))
Element 24: (1, (16, 13), ['%', '', '%', ''], [(12, 9), (13, 11), (12, 6)], [True, False, True, False], 52, False, [False, False, False, False], 3606, 'East', (17, 13))
Element 25: (1, (17, 13), ['', '%', '%', ''], [(13, 9), (13, 10), (12, 5)], [False, True, True, False], 50, False, [False, False, False, False], 3625, 'East', (18, 13))
