Element 1: (1, (3, 7), ['.', '.', 'F', '%'], [(7, 11), (6, 13), (18, 11)], [False, False, False, True], 98, False, [True, True, False, False], 999, 'North', (3, 8))
Element 2: (1, (3, 8), ['%', '', '%', '%'], [(8, 11), (5, 13), (18, 10)], [True, False, True, True], 96, False, [False, False, False, False], 3018, 'South', (3, 7))
Element 3: (1, (3, 7), ['.', '.', '', '%'], [(9, 11), (4, 13), (18, 9)], [False, False, False, True], 94, False, [True, True, False, False], 4037, 'South', (3, 6))
Element 4: (1, (3, 6), ['.', '%', '', '.'], [(10, 11), (3, 13), (18, 8)], [False, True, False, False], 92, False, [True, False, False, True], 4076, 'East', (4, 6))
Element 5: (1, (4, 6), ['', '.', '%', '.'], [(11, 11), (3, 12), (17, 8)], [False, False, True, False], 90, False, [False, True, False, True], 4115, 'East', (5, 6))
Element 6: (1, (5, 6), ['', '.', '.', '.'], [(12, 11), (3, 11), (17, 9)], [False, False, False, False], 88, False, [False, True, True, True], 4154, 'East', (6, 6))
Element 7: (1, (6, 6), ['', '.', '.', '%'], [(13, 11), (3, 10), (17, 10)], [False, False, False, True], 86, False, [False, True, True, False], 4193, 'North', (6, 7))
Element 8: (1, (6, 7), ['.', '', '%', '%'], [(14, 11), (4, 10), (17, 11)], [False, False, True, True], 84, False, [True, False, False, False], 4232, 'West', (5, 7))
Element 9: (1, (5, 7), ['%', '', '%', ''], [(15, 11), (5, 10), (16, 11)], [True, False, True, False], 82, False, [False, False, False, False], 4271, 'East', (6, 7))
Element 10: (1, (6, 7), ['', '', '%', '%'], [(15, 12), (6, 10), (16, 12)], [False, False, True, True], 80, False, [False, False, False, False], 4300, 'South', (6, 6))
Element 11: (1, (6, 6), ['', '.', '', '%'], [(14, 12), (6, 9), (16, 13)], [False, False, False, True], 78, False, [False, True, False, False], 5319, 'South', (6, 5))
Element 12: (1, (6, 5), ['.', '.', '', '.'], [(13, 12), (7, 9), (17, 13)], [False, False, False, False], 76, False, [True, True, False, True], 6348, 'East', (7, 5))
Element 13: (1, (7, 5), ['', '.', '%', '%'], [(12, 12), (8, 9), (18, 13)], [False, False, True, True], 74, False, [False, True, False, False], 6387, 'South', (7, 4))
Element 14: (1, (7, 4), ['.', '.', '', '.'], [(12, 13), (9, 9), (17, 13)], [False, False, False, False], 72, False, [True, True, False, True], 7406, 'East', (8, 4))
Element 15: (1, (8, 4), ['', '%', '%', '.'], [(11, 13), (9, 10), (16, 13)], [False, True, True, False], 70, False, [False, False, False, True], 7435, 'East', (9, 4))
Element 16: (1, (9, 4), ['', '%', '.', '.'], [(10, 13), (10, 10), (16, 12)], [False, True, False, False], 68, False, [False, False, True, True], 7464, 'East', (10, 4))
Element 17: (1, (10, 4), ['', '.', '.', '%'], [(10, 12), (11, 10), (16, 11)], [False, False, False, True], 66, False, [False, True, True, False], 7493, 'North', (10, 5))
Element 18: (1, (10, 5), ['.', '', '.', '%'], [(9, 12), (12, 10), (16, 10)], [False, False, False, True], 64, False, [True, False, True, False], 7532, 'North', (10, 6))
Element 19: (1, (10, 6), ['.', '', 'F', '%'], [(10, 12), (13, 10), (16, 9)], [False, False, False, True], 62, False, [True, False, False, False], 7561, 'North', (10, 7))
Element 20: (1, (10, 7), ['F', '', '.', '%'], [(10, 13), (14, 10), (16, 8)], [False, False, False, True], 60, False, [False, False, True, False], 8580, 'West', (9, 7))
Element 21: (1, (9, 7), ['%', '.', '.', ''], [(11, 13), (15, 10), (16, 7)], [True, False, False, False], 58, False, [False, True, True, False], 9599, 'North', (9, 8))
Element 22: (1, (9, 8), ['.', '', '', '.'], [(12, 13), (15, 9), (16, 6)], [False, False, False, False], 56, False, [True, False, False, True], 9628, 'East', (10, 8))
Element 23: (1, (10, 8), ['', '', '%', '.'], [(12, 12), (15, 8), (17, 6)], [False, False, True, False], 54, False, [False, False, False, True], 9657, 'East', (11, 8))
Element 24: (1, (11, 8), ['', '%', '.', '%'], [(13, 12), (15, 7), (18, 6)], [False, True, False, True], 52, False, [False, False, True, False], 9686, 'North', (11, 9))
Element 25: (1, (11, 9), ['%', '', '', '.'], [(14, 12), (15, 6), (18, 5)], [True, False, False, False], 50, False, [False, False, False, True], 9715, 'East', (12, 9))
Element 26: (1, (12, 9), ['', '%', '', '.'], [(15, 12), (15, 5), (18, 4)], [False, True, False, False], 48, False, [False, False, False, True], 9744, 'East', (13, 9))
Element 27: (1, (13, 9), ['', '.', '', '%'], [(16, 12), (15, 4), (17, 4)], [False, False, False, True], 46, False, [False, True, False, False], 9773, 'South', (13, 8))
Element 28: (1, (13, 8), ['%', '.', '', '.'], [(16, 13), (16, 4), (17, 5)], [True, False, False, False], 44, False, [False, True, False, True], 9802, 'East', (14, 8))
Element 29: (1, (14, 8), ['', '.', '%', ''], [(17, 13), (16, 3), (17, 4)], [False, False, True, False], 42, False, [False, True, False, False], 9821, 'South', (14, 7))
Element 30: (1, (14, 7), ['.', '.', '', ''], [(18, 13), (17, 3), (16, 4)], [False, False, False, False], 40, False, [True, True, False, False], 9840, 'South', (14, 6))
Element 31: (1, (14, 6), ['.', '.', '', ''], [(17, 13), (17, 4), (16, 3)], [False, False, False, False], 38, False, [True, True, False, False], 9849, 'South', (14, 5))
Element 32: (1, (14, 5), ['.', '%', '', ''], [(16, 13), (18, 4), (16, 2)], [False, True, False, False], 36, False, [True, False, False, False], 9868, 'West', (13, 5))
Element 33: (1, (13, 5), ['.', '%', '.', ''], [(16, 12), (18, 5), (15, 2)], [False, True, False, False], 34, False, [True, False, True, False], 9887, 'North', (13, 6))
Element 34: (1, (13, 6), ['.', '', '.', ''], [(16, 11), (18, 6), (14, 2)], [False, False, False, False], 32, False, [True, False, True, False], 9906, 'North', (13, 7))
Element 35: (1, (13, 7), ['.', '', '', ''], [(17, 11), (17, 6), (14, 3)], [False, False, False, False], 30, False, [True, False, False, False], 9925, 'West', (12, 7))
Element 36: (1, (12, 7), ['%', '.', '%', ''], [(18, 11), (17, 5), (13, 3)], [True, False, True, False], 28, False, [False, True, False, False], 9944, 'South', (12, 6))
Element 37: (1, (12, 6), ['%', '.', '', ''], [(18, 10), (17, 6), (12, 3)], [True, False, False, False], 26, False, [False, True, False, False], 9963, 'South', (12, 5))
