Element 39: (2, (12, 5), ['%', '%', '.', ''], [(1, 6), (9, 10), (16, 13)], [True, True, False, False], 22, False, [False, False, True, False], 6041, 'North', (12, 6))
Element 40: (2, (12, 6), ['%', '', '.', ''], [(1, 7), (9, 11), (17, 13)], [True, False, False, False], 20, False, [False, False, True, False], 6070, 'North', (12, 7))
Element 41: (2, (12, 7), ['%', '', '%', ''], [(1, 6), (9, 12), (18, 13)], [True, False, True, False], 18, False, [False, False, False, False], 6089, 'South', (12, 6))
Element 42: (2, (12, 6), ['%', '', '', ''], [(2, 6), (9, 11), (17, 13)], [True, False, False, False], 16, False, [False, False, False, False], 6088, 'South', (12, 5))
Element 43: (2, (12, 5), ['%', '%', '', ''], [(2, 7), (8, 11), (16, 13)], [True, True, False, False], 14, False, [False, False, False, False], 6097, 'East', (13, 5))
Element 44: (2, (13, 5), ['', '%', '', ''], [(1, 7), (7, 11), (16, 12)], [False, True, False, False], 12, False, [False, False, False, False], 7096, 'East', (14, 5))
Element 45: (2, (14, 5), ['', '%', '', ''], [(2, 7), (7, 10), (15, 12)], [False, True, False, False], 10, False, [False, False, False, False], 7105, 'North', (14, 6))
Element 46: (2, (14, 6), ['', '', '', ''], [(3, 7), (7, 9), (15, 11)], [False, False, False, False], 8, False, [False, False, False, False], 8104, 'North', (14, 7))
Element 47: (2, (14, 7), ['', '', '', ''], [(3, 6), (6, 9), (15, 10)], [False, False, False, False], 6, False, [False, False, False, False], 9103, 'East', (15, 7))
Element 48: (2, (15, 7), ['', '', '', ''], [(2, 6), (6, 10), (14, 10)], [False, False, False, False], 4, False, [False, False, False, False], 9112, 'West', (14, 7))
Element 49: (2, (14, 7), ['', '', '', ''], [(3, 6), (6, 11), (14, 11)], [False, False, False, False], 2, False, [False, False, False, False], 9121, 'South', (14, 6))
Element 50: (2, (14, 6), ['', '', '', ''], [(3, 6), (6, 11), (14, 12)], [False, False, False, False], 0, False, [False, False, False, False], 9120, 'Stop', (14, 6))
Element 51: #0#
