Element 1: (2, (14, 6), ['.', '', '.', '.'], [(15, 5), (4, 10), (18, 6)], [False, False, False, False], 98, False, [True, False, True, True], 19, 'East', (15, 6))
Element 2: (2, (15, 6), ['', '', '.', '.'], [(15, 4), (5, 10), (18, 5)], [False, False, False, False], 96, False, [False, False, True, True], 58, 'East', (16, 6))
Element 3: (2, (16, 6), ['', '%', '.', '.'], [(16, 4), (6, 10), (18, 4)], [False, True, False, False], 94, False, [False, False, True, True], 97, 'East', (17, 6))
Element 4: (2, (17, 6), ['', '.', '%', ''], [(16, 3), (6, 9), (17, 4)], [False, False, True, False], 92, False, [False, True, False, False], 1126, 'South', (17, 5))
Element 5: (2, (17, 5), ['%', '', '', ''], [(16, 2), (7, 9), (17, 3)], [True, False, False, False], 90, False, [False, False, False, False], 2155, 'East', (18, 5))
Element 6: (2, (18, 5), ['', '', '', '%'], [(15, 2), (8, 9), (16, 3)], [False, False, False, True], 88, False, [False, False, False, False], 2174, 'North', (18, 6))
Element 7: (2, (18, 6), ['', '', '%', '%'], [(14, 2), (9, 9), (16, 4)], [False, False, True, True], 86, False, [False, False, False, False], 2193, 'South', (18, 5))
Element 8: (2, (18, 5), ['', '', '', '%'], [(14, 3), (9, 10), (15, 4)], [False, False, False, True], 84, False, [False, False, False, False], 2212, 'South', (18, 4))
Element 9: (2, (18, 4), ['', '%', '', '%'], [(13, 3), (10, 10), (15, 5)], [False, True, False, True], 82, False, [False, False, False, False], 2231, 'West', (17, 4))
Element 10: (2, (17, 4), ['', '', '', ''], [(12, 3), (11, 10), (15, 6)], [False, False, False, False], 80, False, [False, False, False, False], 2250, 'South', (17, 3))
Element 11: (2, (17, 3), ['', '%', '', '%'], [(12, 2), (12, 10), (15, 7)], [False, True, False, True], 78, False, [False, False, False, False], 2279, 'West', (16, 3))
Element 12: (2, (16, 3), ['%', '', '', ''], [(12, 1), (13, 10), (16, 7)], [True, False, False, False], 76, False, [False, False, False, False], 2308, 'North', (16, 4))
Element 13: (2, (16, 4), ['', '', '%', ''], [(13, 1), (14, 10), (16, 8)], [False, False, True, False], 74, False, [False, False, False, False], 2337, 'West', (15, 4))
Element 14: (2, (15, 4), ['%', '%', '', ''], [(14, 1), (15, 10), (17, 8)], [True, True, False, False], 72, False, [False, False, False, False], 2366, 'North', (15, 5))
Element 15: (2, (15, 5), ['', '', '', '%'], [(13, 1), (16, 10), (18, 8)], [False, False, False, True], 70, False, [False, False, False, False], 2385, 'West', (14, 5))
Element 16: (2, (14, 5), ['.', '%', '', ''], [(12, 1), (17, 10), (18, 9)], [False, True, False, False], 68, False, [True, False, False, False], 2404, 'West', (13, 5))
Element 17: (2, (13, 5), ['.', '%', '.', ''], [(11, 1), (17, 11), (18, 10)], [False, True, False, False], 66, False, [True, False, True, False], 2443, 'North', (13, 6))
Element 18: (2, (13, 6), ['.', '', '.', ''], [(11, 2), (16, 11), (18, 11)], [False, False, False, False], 64, False, [True, False, True, False], 2482, 'North', (13, 7))
Element 19: (2, (13, 7), ['.', '', '.', '.'], [(11, 3), (16, 12), (17, 11)], [False, False, False, False], 62, False, [True, False, True, True], 2511, 'East', (14, 7))
