Element 1: (2, (16, 4), ['.', '', '%', '.'], [(17, 3), (10, 5), (17, 5)], [False, False, True, False], 98, False, [True, False, False, True], 19, 'East', (17, 4))
Element 2: (2, (17, 4), ['', '', '', '.'], [(16, 3), (10, 6), (18, 5)], [False, False, False, False], 96, False, [False, False, False, True], 48, 'East', (18, 4))
Element 3: (2, (18, 4), ['', '%', '', '%'], [(16, 2), (10, 7), (18, 6)], [False, True, False, True], 94, False, [False, False, False, False], 1077, 'North', (18, 5))
Element 4: (2, (18, 5), ['', '', '', '%'], [(15, 2), (9, 7), (17, 6)], [False, False, False, True], 92, False, [False, False, False, False], 2096, 'North', (18, 6))
Element 5: (2, (18, 6), ['', '', '%', '%'], [(14, 2), (9, 8), (16, 6)], [False, False, True, True], 90, False, [False, False, False, False], 2125, 'West', (17, 6))
Element 6: (2, (17, 6), ['', '', '%', ''], [(14, 3), (10, 8), (16, 7)], [False, False, True, False], 88, False, [False, False, False, False], 2154, 'South', (17, 5))
Element 7: (2, (17, 5), ['%', '', '', ''], [(13, 3), (11, 8), (16, 8)], [True, False, False, False], 86, False, [False, False, False, False], 2183, 'North', (17, 6))
Element 8: (2, (17, 6), ['', '', '%', ''], [(12, 3), (11, 9), (17, 8)], [False, False, True, False], 84, False, [False, False, False, False], 2212, 'West', (16, 6))
Element 9: (2, (16, 6), ['.', '%', '', ''], [(12, 2), (12, 9), (18, 8)], [False, True, False, False], 82, False, [True, False, False, False], 2241, 'West', (15, 6))
Element 10: (2, (15, 6), ['.', '.', '.', ''], [(12, 1), (13, 9), (18, 9)], [False, False, False, False], 80, False, [True, True, True, False], 2280, 'North', (15, 7))
Element 11: (2, (15, 7), ['.', '', '.', ''], [(13, 1), (13, 10), (18, 10)], [False, False, False, False], 78, False, [True, False, True, False], 2319, 'North', (15, 8))
Element 12: (2, (15, 8), ['.', '', '.', ''], [(14, 1), (14, 10), (18, 11)], [False, False, False, False], 76, False, [True, False, True, False], 2358, 'North', (15, 9))
Element 13: (2, (15, 9), ['%', '', 'G', '.'], [(13, 1), (15, 10), (17, 11)], [True, False, False, False], 74, False, [False, False, False, True], 2387, 'East', (16, 9))
Element 14: (2, (16, 9), ['', '', 'G', '.'], [(12, 1), (16, 10), (17, 10)], [False, False, False, False], 72, False, [False, False, False, True], 2416, 'East', (17, 9))
Element 15: (2, (17, 9), ['', '', '', ''], [(11, 1), (16, 11), (17, 11)], [False, False, False, False], 70, False, [False, False, False, False], 2445, 'East', (18, 9))
Element 16: (2, (18, 9), ['', '', '', '%'], [(11, 2), (16, 12), (17, 10)], [False, False, False, True], 68, False, [False, False, False, False], 2464, 'North', (18, 10))
Element 17: (2, (18, 10), ['', '', '', '%'], [(11, 3), (16, 13), (17, 11)], [False, False, False, True], 66, False, [False, False, False, False], 2483, 'North', (18, 11))
Element 18: (2, (18, 11), ['', '', '%', '%'], [(10, 3), (17, 13), (16, 11)], [False, False, True, True], 64, False, [False, False, False, False], 2502, 'West', (17, 11))
Element 19: (2, (17, 11), ['', '', '%', ''], [(10, 2), (18, 13), (15, 11)], [False, False, True, False], 62, False, [False, False, False, False], 2531, 'South', (17, 10))
Element 20: (2, (17, 10), ['', '', '', ''], [(10, 1), (17, 13), (15, 12)], [False, False, False, False], 60, False, [False, False, False, False], 2550, 'West', (16, 10))
Element 21: (2, (16, 10), ['', '', '', ''], [(9, 1), (16, 13), (14, 12)], [False, False, False, False], 58, False, [False, False, False, False], 3559, 'North', (16, 11))
Element 22: (2, (16, 11), ['', '', 'G', ''], [(9, 2), (16, 12), (14, 11)], [False, False, False, False], 56, False, [False, False, False, False], 3578, 'West', (15, 11))
Element 23: (2, (15, 11), ['', '', 'G', ''], [(8, 2), (15, 12), (13, 11)], [False, False, False, False], 54, False, [False, False, False, False], 3597, 'South', (15, 10))
Element 24: (2, (15, 10), ['', '', 'G', ''], [(7, 2), (15, 11), (13, 12)], [False, False, False, False], 52, False, [False, False, False, False], 3616, 'West', (14, 10))
Element 25: (2, (14, 10), ['', '%', 'G', ''], [(7, 3), (14, 11), (12, 12)], [False, True, False, False], 50, False, [False, False, False, False], 3635, 'West', (13, 10))
Element 26: (2, (13, 10), ['.', '', '', ''], [(7, 4), (14, 12), (12, 13)], [False, False, False, False], 48, False, [True, False, False, False], 4644, 'West', (12, 10))
Element 27: (2, (12, 10), ['.', '', '.', ''], [(8, 4), (13, 12), (11, 13)], [False, False, False, False], 46, False, [True, False, True, False], 4673, 'North', (12, 11))
Element 28: (2, (12, 11), ['.', '', '', 'G'], [(9, 4), (13, 11), (10, 13)], [False, False, False, False], 44, False, [True, False, False, False], 4702, 'West', (11, 11))
Element 29: (2, (11, 11), ['.', '.', '%', 'G'], [(9, 5), (12, 11), (10, 12)], [False, False, True, False], 42, False, [True, True, False, False], 4731, 'South', (11, 10))
Element 30: (2, (11, 10), ['.', '', '', ''], [(9, 6), (12, 12), (10, 11)], [False, False, False, False], 40, False, [True, False, False, False], 4760, 'West', (10, 10))
Element 31: (2, (10, 10), ['.', '%', '', ''], [(10, 6), (12, 13), (9, 11)], [False, True, False, False], 38, False, [True, False, False, False], 4779, 'West', (9, 10))
Element 32: (2, (9, 10), ['.', '.', '', ''], [(10, 7), (11, 13), (9, 12)], [False, False, False, False], 36, False, [True, True, False, False], 4798, 'South', (9, 9))
Element 33: (2, (9, 9), ['.', '', '', '%'], [(10, 8), (10, 13), (9, 11)], [False, False, False, True], 34, False, [True, False, False, False], 4807, 'West', (8, 9))
Element 34: (2, (8, 9), ['F', '.', '.', ''], [(11, 8), (10, 12), (8, 11)], [False, False, False, False], 32, False, [False, True, True, False], 4826, 'West', (7, 9))
Element 35: (2, (7, 9), ['F', '%', '.', ''], [(11, 9), (10, 11), (7, 11)], [False, True, False, False], 30, False, [False, False, True, False], 6825, 'West', (6, 9))
Element 36: (2, (6, 9), ['.', '%', '.', ''], [(12, 9), (11, 11), (7, 10)], [False, True, False, False], 28, False, [True, False, True, False], 7834, 'North', (6, 10))
Element 37: (2, (6, 10), ['.', '', '.', ''], [(13, 9), (11, 10), (8, 10)], [False, False, False, False], 26, False, [True, False, True, False], 7853, 'North', (6, 11))
Element 38: (2, (6, 11), ['.', '', '%', ''], [(13, 8), (12, 10), (9, 10)], [False, False, True, False], 24, False, [True, False, False, False], 7872, 'West', (5, 11))
Element 39: (2, (5, 11), ['%', '.', '%', ''], [(14, 8), (11, 10), (10, 10)], [True, False, True, False], 22, False, [False, True, False, False], 7891, 'South', (5, 10))
Element 40: (2, (5, 10), ['.', '.', '', ''], [(14, 7), (10, 10), (9, 10)], [False, False, False, False], 20, False, [True, True, False, False], 7910, 'South', (5, 9))
Element 41: (2, (5, 9), ['.', '%', '', ''], [(14, 6), (9, 10), (9, 9)], [False, True, False, False], 18, False, [True, False, False, False], 7929, 'West', (4, 9))
Element 42: (2, (4, 9), ['%', '%', '.', ''], [(14, 5), (9, 11), (9, 8)], [True, True, False, False], 16, False, [False, False, True, False], 7948, 'North', (4, 10))
Element 43: (2, (4, 10), ['.', '', '%', ''], [(15, 5), (9, 12), (8, 8)], [False, False, True, False], 14, False, [True, False, False, False], 7977, 'West', (3, 10))
Element 44: (2, (3, 10), ['.', '%', '.', ''], [(15, 4), (9, 11), (8, 9)], [False, True, False, False], 12, False, [True, False, True, False], 7996, 'North', (3, 11))
Element 45: (2, (3, 11), ['.', '', '.', '%'], [(16, 4), (8, 11), (7, 9)], [False, False, False, True], 10, False, [True, False, True, False], 8005, 'North', (3, 12))
Element 46: (2, (3, 12), ['.', '', '.', '%'], [(17, 4), (8, 10), (6, 9)], [False, False, False, True], 8, False, [True, False, True, False], 8014, 'North', (3, 13))
Element 47: (2, (3, 13), ['.', '', '%', 'F'], [(18, 4), (8, 9), (6, 10)], [False, False, True, False], 6, False, [True, False, False, False], 8023, 'East', (4, 13))
Element 48: (2, (4, 13), ['', '%', '%', 'F'], [(18, 5), (9, 9), (6, 11)], [False, True, True, False], 4, False, [False, False, False, False], 9022, 'East', (5, 13))
Element 49: (2, (5, 13), ['', '%', '%', '.'], [(18, 6), (8, 9), (5, 11)], [False, True, True, False], 2, False, [False, False, False, True], 10021, 'East', (6, 13))
Element 50: (2, (6, 13), ['', '%', '%', '.'], [(18, 6), (8, 9), (5, 10)], [False, True, True, False], 0, False, [False, False, False, True], 10030, 'Stop', (6, 13))
Element 51: #0#
