Element 1: (2, (2, 11), ['.', 'G', '.', '.'], [(10, 5), (2, 10), (14, 10)], [False, False, False, False], 98, False, [True, False, True, True], 19, 'East', (3, 11))
Element 2: (2, (3, 11), ['', 'G', '.', '%'], [(10, 6), (3, 10), (15, 10)], [False, False, False, True], 96, False, [False, False, True, False], 58, 'North', (3, 12))
Element 3: (2, (3, 12), ['.', '', '.', '%'], [(10, 7), (4, 10), (16, 10)], [False, False, False, True], 94, False, [True, False, True, False], 1087, 'North', (3, 13))
Element 4: (2, (3, 13), ['.', '', '%', 'F'], [(9, 7), (5, 10), (17, 10)], [False, False, True, False], 92, False, [True, False, False, False], 2116, 'East', (4, 13))
Element 5: (2, (4, 13), ['', '%', '%', 'F'], [(9, 8), (6, 10), (18, 10)], [False, True, True, False], 90, False, [False, False, False, False], 3145, 'East', (5, 13))
Element 6: (2, (5, 13), ['', '%', '%', '.'], [(10, 8), (6, 9), (18, 11)], [False, True, True, False], 88, False, [False, False, False, True], 5164, 'East', (6, 13))
Element 7: (2, (6, 13), ['', '%', '%', '.'], [(11, 8), (7, 9), (17, 11)], [False, True, True, False], 86, False, [False, False, False, True], 6193, 'East', (7, 13))
Element 8: (2, (7, 13), ['', '%', '%', '%'], [(11, 9), (8, 9), (16, 11)], [False, True, True, True], 84, False, [False, False, False, False], 6232, 'West', (6, 13))
Element 9: (2, (6, 13), ['', '%', '%', ''], [(12, 9), (9, 9), (16, 12)], [False, True, True, False], 82, False, [False, False, False, False], 6261, 'West', (5, 13))
Element 10: (2, (5, 13), ['', '%', '%', ''], [(13, 9), (9, 10), (16, 13)], [False, True, True, False], 80, False, [False, False, False, False], 6290, 'West', (4, 13))
Element 11: (2, (4, 13), ['', '%', '%', ''], [(13, 10), (10, 10), (17, 13)], [False, True, True, False], 78, False, [False, False, False, False], 6319, 'West', (3, 13))
Element 12: (2, (3, 13), ['.', '', '%', ''], [(13, 11), (11, 10), (18, 13)], [False, False, True, False], 76, False, [True, False, False, False], 6348, 'West', (2, 13))
Element 13: (2, (2, 13), ['%', '.', '%', ''], [(14, 11), (12, 10), (17, 13)], [True, False, True, False], 74, False, [False, True, False, False], 6377, 'South', (2, 12))
Element 14: (2, (2, 12), ['.', '', '', ''], [(15, 11), (12, 11), (16, 13)], [False, False, False, False], 72, False, [True, False, False, False], 6406, 'West', (1, 12))
