Element 1: (1, (2, 2), ['.', 'F', '%', '.'], [(10, 12), (4, 6), (11, 13)], [False, False, True, False], 98, False, [True, False, False, True], 9, 'South', (2, 1))
Element 2: (1, (2, 1), ['.', '%', '', '.'], [(10, 13), (5, 6), (12, 13)], [False, True, False, False], 96, False, [True, False, False, True], 2028, 'East', (3, 1))
Element 3: (1, (3, 1), ['', '%', '.', '.'], [(11, 13), (6, 6), (12, 12)], [False, True, False, False], 94, False, [False, False, True, True], 2057, 'East', (4, 1))
Element 4: (1, (4, 1), ['', '%', '.', '%'], [(12, 13), (6, 7), (13, 12)], [False, True, False, True], 92, False, [False, False, True, False], 2086, 'North', (4, 2))
Element 5: (1, (4, 2), ['.', '', '%', '.'], [(12, 12), (5, 7), (14, 12)], [False, False, True, False], 90, False, [True, False, False, True], 2115, 'East', (5, 2))
Element 6: (1, (5, 2), ['', '%', '.', '.'], [(12, 11), (6, 7), (15, 12)], [False, True, False, False], 88, False, [False, False, True, True], 2144, 'East', (6, 2))
Element 7: (1, (6, 2), ['', '%', '.', '.'], [(13, 11), (6, 6), (16, 12)], [False, True, False, False], 86, False, [False, False, True, True], 2173, 'East', (7, 2))
Element 8: (1, (7, 2), ['', '%', '.', '.'], [(14, 11), (6, 5), (16, 13)], [False, True, False, False], 84, False, [False, False, True, True], 2212, 'East', (8, 2))
Element 9: (1, (8, 2), ['', '%', '%', '.'], [(15, 11), (7, 5), (17, 13)], [False, True, True, False], 82, False, [False, False, False, True], 2251, 'East', (9, 2))
Element 10: (1, (9, 2), ['', 'F', '%', '.'], [(16, 11), (7, 4), (18, 13)], [False, False, True, False], 80, False, [False, False, False, True], 2290, 'South', (9, 1))
Element 11: (1, (9, 1), ['%', '%', '', '.'], [(17, 11), (8, 4), (17, 13)], [True, True, False, False], 78, False, [False, False, False, True], 3309, 'East', (10, 1))
Element 12: (1, (10, 1), ['', '%', '.', '.'], [(18, 11), (9, 4), (16, 13)], [False, True, False, False], 76, False, [False, False, True, True], 3338, 'East', (11, 1))
Element 13: (1, (11, 1), ['', '%', '.', '.'], [(18, 10), (10, 4), (16, 12)], [False, True, False, False], 74, False, [False, False, True, True], 3367, 'East', (12, 1))
Element 14: (1, (12, 1), ['', '%', '.', '.'], [(18, 9), (10, 5), (16, 11)], [False, True, False, False], 72, False, [False, False, True, True], 3396, 'East', (13, 1))
Element 15: (1, (13, 1), ['', '%', '%', '.'], [(18, 8), (10, 6), (16, 10)], [False, True, True, False], 70, False, [False, False, False, True], 3435, 'East', (14, 1))
Element 16: (1, (14, 1), ['', '%', '.', '%'], [(17, 8), (10, 7), (17, 10)], [False, True, False, True], 68, False, [False, False, True, False], 4464, 'North', (14, 2))
