Element 1: (0, (10, 7), ['.', '.', 'F', '.'], [(7, 7), (12, 6), (14, 4)], [False, False, False, False], 98, False, [True, True, False, True], 0, 'North', (10, 8))
Element 2: (0, (10, 8), ['.', '', 'F', 'F'], [(8, 7), (13, 6), (15, 4)], [False, False, False, False], 96, False, [True, False, False, False], 1029, 'East', (11, 8))
Element 3: (0, (11, 8), ['', '.', 'F', '.'], [(9, 7), (14, 6), (15, 5)], [False, False, False, False], 94, False, [False, True, False, True], 2058, 'North', (11, 9))
Element 4: (0, (11, 9), ['F', '', '%', '.'], [(9, 8), (15, 6), (14, 5)], [False, False, True, False], 92, False, [False, False, False, True], 3087, 'West', (10, 9))
Element 5: (0, (10, 9), ['G', '', '%', ''], [(9, 9), (15, 7), (13, 5)], [False, False, True, False], 90, False, [False, False, False, False], 4116, 'East', (11, 9))
Element 6: (0, (11, 9), ['', '', '%', '.'], [(8, 9), (15, 8), (13, 4)], [False, False, True, False], 88, False, [False, False, False, True], 4145, 'East', (12, 9))
Element 7: (0, (12, 9), ['', '.', '%', '.'], [(8, 8), (15, 9), (13, 3)], [False, False, True, False], 86, False, [False, True, False, True], 4184, 'East', (13, 9))
Element 8: (0, (13, 9), ['', '.', '%', 'G'], [(7, 8), (14, 9), (14, 3)], [False, False, True, False], 84, False, [False, True, False, False], 4223, 'South', (13, 8))
Element 9: (0, (13, 8), ['.', '.', '', 'G'], [(7, 9), (14, 8), (15, 3)], [False, False, False, False], 82, False, [True, True, False, False], 4262, 'South', (13, 7))
Element 10: (0, (13, 7), ['.', '', '', 'G'], [(6, 9), (14, 7), (15, 2)], [False, False, False, False], 80, False, [True, False, False, False], 4301, 'West', (12, 7))
Element 11: (0, (12, 7), ['.', '', '.', 'G'], [(6, 8), (13, 7), (15, 3)], [False, False, False, False], 78, False, [True, False, True, False], 4320, 'North', (12, 8))
Element 12: (0, (12, 8), ['', '', '', 'G'], [(6, 7), (13, 8), (14, 3)], [False, False, False, False], 76, False, [False, False, False, False], 4339, 'South', (12, 7))
Element 13: (0, (12, 7), ['.', '', '', ''], [(6, 6), (13, 9), (13, 3)], [False, False, False, False], 74, False, [True, False, False, False], 4348, 'West', (11, 7))
Element 14: (0, (11, 7), ['', '.', '', ''], [(7, 6), (12, 9), (13, 2)], [False, False, False, False], 72, False, [False, True, False, False], 4377, 'South', (11, 6))
Element 15: (0, (11, 6), ['.', '.', '', ''], [(8, 6), (12, 8), (13, 1)], [False, False, False, False], 70, False, [True, True, False, False], 4406, 'South', (11, 5))
Element 16: (0, (11, 5), ['.', 'F', '', '.'], [(9, 6), (12, 7), (14, 1)], [False, False, False, False], 68, False, [True, False, False, True], 4435, 'South', (11, 4))
Element 17: (0, (11, 4), ['F', '.', '', '.'], [(10, 6), (11, 7), (13, 1)], [False, False, False, False], 66, False, [False, True, False, True], 5444, 'West', (10, 4))
Element 18: #1#
