Element 1: (1, (1, 9), ['%', '.', '%', '%'], [(10, 2), (4, 3), (12, 7)], [True, False, True, True], 98, False, [False, True, False, False], 9, 'South', (1, 8))
Element 2: (1, (1, 8), ['%', '.', '', '%'], [(10, 3), (5, 3), (13, 7)], [True, False, False, True], 96, False, [False, True, False, False], 48, 'South', (1, 7))
Element 3: (1, (1, 7), ['%', '.', '', '%'], [(10, 4), (6, 3), (14, 7)], [True, False, False, True], 94, False, [False, True, False, False], 1077, 'South', (1, 6))
Element 4: (1, (1, 6), ['%', '.', '', '%'], [(11, 4), (7, 3), (15, 7)], [True, False, False, True], 92, False, [False, True, False, False], 2106, 'South', (1, 5))
Element 5: (1, (1, 5), ['%', '.', '', '%'], [(12, 4), (8, 3), (15, 8)], [True, False, False, True], 90, False, [False, True, False, False], 2145, 'South', (1, 4))
Element 6: (1, (1, 4), ['%', '.', '', '%'], [(13, 4), (9, 3), (15, 9)], [True, False, False, True], 88, False, [False, True, False, False], 2184, 'South', (1, 3))
Element 7: (1, (1, 3), ['%', '.', '', '%'], [(14, 4), (9, 4), (14, 9)], [True, False, False, True], 86, False, [False, True, False, False], 2223, 'South', (1, 2))
Element 8: (1, (1, 2), ['%', '.', '', '%'], [(15, 4), (9, 5), (14, 8)], [True, False, False, True], 84, False, [False, True, False, False], 2262, 'South', (1, 1))
Element 9: (1, (1, 1), ['%', '%', '', '.'], [(15, 5), (10, 5), (13, 8)], [True, True, False, False], 82, False, [False, False, False, True], 2301, 'East', (2, 1))
Element 10: (1, (2, 1), ['', '%', '%', '.'], [(15, 6), (11, 5), (13, 9)], [False, True, True, False], 80, False, [False, False, False, True], 2340, 'East', (3, 1))
Element 11: (1, (3, 1), ['', '%', '%', '.'], [(14, 6), (12, 5), (12, 9)], [False, True, True, False], 78, False, [False, False, False, True], 2379, 'East', (4, 1))
Element 12: (1, (4, 1), ['', '%', '.', '%'], [(14, 5), (13, 5), (11, 9)], [False, True, False, True], 76, False, [False, False, True, False], 3408, 'North', (4, 2))
Element 13: (1, (4, 2), ['%', '', '', '%'], [(13, 5), (13, 6), (11, 8)], [True, False, False, True], 74, False, [False, False, False, False], 4427, 'North', (4, 3))
Element 14: (1, (4, 3), ['.', '', '.', ''], [(13, 6), (12, 6), (10, 8)], [False, False, False, False], 72, False, [True, False, True, False], 5436, 'North', (4, 4))
Element 15: #1#
