Element 1: (2, (6, 3), ['.', '', '.', '.'], [(15, 5), (7, 2), (8, 5)], [False, False, False, False], 98, False, [True, False, True, True], 19, 'East', (7, 3))
Element 2: (2, (7, 3), ['', '', '.', '.'], [(15, 6), (8, 2), (9, 5)], [False, False, False, False], 96, False, [False, False, True, True], 58, 'East', (8, 3))
Element 3: (2, (8, 3), ['', '', '.', '.'], [(15, 7), (9, 2), (10, 5)], [False, False, False, False], 94, False, [False, False, True, True], 97, 'East', (9, 3))
Element 4: (2, (9, 3), ['', '', '.', '.'], [(15, 8), (10, 2), (10, 4)], [False, False, False, False], 92, False, [False, False, True, True], 1126, 'East', (10, 3))
Element 5: (2, (10, 3), ['', '', '', '.'], [(15, 9), (10, 1), (11, 4)], [False, False, False, False], 90, False, [False, False, False, True], 2155, 'East', (11, 3))
Element 6: (2, (11, 3), ['', '%', '', '.'], [(14, 9), (11, 1), (12, 4)], [False, True, False, False], 88, False, [False, False, False, True], 2194, 'East', (12, 3))
Element 7: (2, (12, 3), ['', '%', '', '.'], [(14, 8), (12, 1), (13, 4)], [False, True, False, False], 86, False, [False, False, False, True], 2233, 'East', (13, 3))
Element 8: (2, (13, 3), ['', '.', '', '.'], [(14, 7), (13, 1), (14, 4)], [False, False, False, False], 84, False, [False, True, False, True], 2272, 'East', (14, 3))
Element 9: (2, (14, 3), ['', '%', '', '.'], [(14, 6), (14, 1), (15, 4)], [False, True, False, False], 82, False, [False, False, False, True], 2311, 'East', (15, 3))
Element 10: (2, (15, 3), ['', '.', '', '%'], [(13, 6), (13, 1), (15, 5)], [False, False, False, True], 80, False, [False, True, False, False], 2330, 'South', (15, 2))
Element 11: (2, (15, 2), ['%', '%', '', '%'], [(13, 7), (13, 2), (15, 6)], [True, True, False, True], 78, False, [False, False, False, False], 2359, 'North', (15, 3))
Element 12: (2, (15, 3), ['', '', '', '%'], [(13, 8), (13, 3), (15, 7)], [False, False, False, True], 76, False, [False, False, False, False], 2368, 'North', (15, 4))
Element 13: (2, (15, 4), ['', '', '', '%'], [(13, 9), (14, 3), (15, 8)], [False, False, False, True], 74, False, [False, False, False, False], 2377, 'North', (15, 5))
Element 14: (2, (15, 5), ['', '', '', '%'], [(12, 9), (15, 3), (15, 9)], [False, False, False, True], 72, False, [False, False, False, False], 2386, 'North', (15, 6))
Element 15: (2, (15, 6), ['', '', '', '%'], [(11, 9), (15, 4), (14, 9)], [False, False, False, True], 70, False, [False, False, False, False], 3385, 'North', (15, 7))
Element 16: (2, (15, 7), ['', '', '', '%'], [(11, 8), (15, 5), (14, 8)], [False, False, False, True], 68, False, [False, False, False, False], 4384, 'North', (15, 8))
Element 17: (2, (15, 8), ['', '', '', '%'], [(10, 8), (15, 6), (14, 7)], [False, False, False, True], 66, False, [False, False, False, False], 5383, 'North', (15, 9))
Element 18: #1#
