Element 1: (0, (8, 9), ['.', '.', '%', '.'], [(3, 6), (15, 3), (17, 1)], [False, False, True, False], 98, False, [True, True, False, True], 0, 'East', (9, 9))
Element 2: (0, (9, 9), ['', '.', '%', 'F'], [(4, 6), (15, 4), (18, 1)], [False, False, True, False], 96, False, [False, True, False, False], 39, 'East', (10, 9))
Element 3: (0, (10, 9), ['', 'F', '%', 'F'], [(5, 6), (15, 5), (17, 1)], [False, False, True, False], 94, False, [False, False, False, False], 1058, 'East', (11, 9))
Element 4: (0, (11, 9), ['', 'F', '%', '.'], [(6, 6), (15, 6), (16, 1)], [False, False, True, False], 92, False, [False, False, False, True], 2087, 'South', (11, 8))
Element 5: (0, (11, 8), ['F', '.', '', '.'], [(7, 6), (15, 7), (17, 1)], [False, False, False, False], 90, False, [False, True, False, True], 3106, 'West', (10, 8))
Element 6: (0, (10, 8), ['.', '.', '', ''], [(8, 6), (15, 8), (17, 1)], [False, False, False, False], 88, False, [True, True, False, False], 4125, 'South', (10, 7))
Element 7: (0, (10, 7), ['.', '.', '', '.'], [(9, 6), (15, 9), (18, 1)], [False, False, False, False], 86, False, [True, True, False, True], 4154, 'East', (11, 7))
Element 8: (0, (11, 7), ['', '.', '', '.'], [(10, 6), (14, 9), (17, 1)], [False, False, False, False], 84, False, [False, True, False, True], 4183, 'East', (12, 7))
Element 9: (0, (12, 7), ['', '.', '.', '.'], [(11, 6), (14, 8), (16, 1)], [False, False, False, False], 82, False, [False, True, True, True], 4212, 'East', (13, 7))
Element 10: (0, (13, 7), ['', '.', '.', 'G'], [(12, 6), (14, 7), (17, 1)], [False, False, False, False], 80, False, [False, True, True, False], 4241, 'North', (13, 8))
Element 11: (0, (13, 8), ['.', '', '.', ''], [(13, 6), (14, 6), (17, 1)], [False, False, False, False], 78, False, [True, False, True, False], 4270, 'North', (13, 9))
Element 12: (0, (13, 9), ['.', '', '%', ''], [(13, 5), (14, 5), (18, 1)], [False, False, True, False], 76, False, [True, False, False, False], 4299, 'West', (12, 9))
Element 13: (0, (12, 9), ['', '.', '%', ''], [(13, 4), (14, 4), (17, 1)], [False, False, True, False], 74, False, [False, True, False, False], 4328, 'South', (12, 8))
Element 14: (0, (12, 8), ['', '', '', ''], [(13, 3), (14, 3), (16, 1)], [False, False, False, False], 72, False, [False, False, False, False], 4357, 'North', (12, 9))
Element 15: (0, (12, 9), ['', '', '%', ''], [(13, 2), (13, 3), (17, 1)], [False, False, True, False], 70, False, [False, False, False, False], 4366, 'East', (13, 9))
Element 16: (0, (13, 9), ['', '', '%', ''], [(13, 1), (12, 3), (17, 1)], [False, False, True, False], 68, False, [False, False, False, False], 4385, 'East', (14, 9))
Element 17: (0, (14, 9), ['', '', '%', ''], [(14, 1), (12, 4), (18, 1)], [False, False, True, False], 66, False, [False, False, False, False], 4404, 'East', (15, 9))
Element 18: (0, (15, 9), ['', '', '%', '%'], [(13, 1), (11, 4), (17, 1)], [False, False, True, True], 64, False, [False, False, False, False], 5403, 'South', (15, 8))
Element 19: #1#
