Element 1: (2, (7, 3), ['.', '.', 'G', '.'], [(14, 1), (4, 1), (7, 4)], [False, False, False, False], 98, False, [True, True, False, True], 19, 'East', (8, 3))
Element 2: (2, (8, 3), ['', '.', 'G', '.'], [(13, 1), (4, 2), (8, 4)], [False, False, False, False], 96, False, [False, True, False, True], 48, 'East', (9, 3))
Element 3: (2, (9, 3), ['', '.', 'G', '.'], [(13, 2), (4, 3), (9, 4)], [False, False, False, False], 94, False, [False, True, False, True], 87, 'East', (10, 3))
Element 4: (2, (10, 3), ['', '.', 'G', '.'], [(13, 3), (5, 3), (10, 4)], [False, False, False, False], 92, False, [False, True, False, True], 1116, 'East', (11, 3))
Element 5: (2, (11, 3), ['', '%', 'G', '.'], [(14, 3), (6, 3), (11, 4)], [False, True, False, False], 90, False, [False, False, False, True], 2145, 'East', (12, 3))
Element 6: (2, (12, 3), ['', '%', 'G', ''], [(15, 3), (6, 4), (12, 4)], [False, True, False, False], 88, False, [False, False, False, False], 2184, 'East', (13, 3))
Element 7: (2, (13, 3), ['', '', 'G', ''], [(15, 4), (6, 5), (13, 4)], [False, False, False, False], 86, False, [False, False, False, False], 2213, 'East', (14, 3))
Element 8: (2, (14, 3), ['', '%', 'G', ''], [(15, 5), (7, 5), (14, 4)], [False, True, False, False], 84, False, [False, False, False, False], 2242, 'East', (15, 3))
Element 9: (2, (15, 3), ['', '.', '', '%'], [(15, 6), (8, 5), (14, 5)], [False, False, False, True], 82, False, [False, True, False, False], 2271, 'South', (15, 2))
Element 10: (2, (15, 2), ['%', '%', '', '%'], [(15, 7), (9, 5), (14, 6)], [True, True, False, True], 80, False, [False, False, False, False], 2310, 'North', (15, 3))
Element 11: (2, (15, 3), ['', '', '', '%'], [(15, 8), (10, 5), (14, 7)], [False, False, False, True], 78, False, [False, False, False, False], 2339, 'North', (15, 4))
Element 12: (2, (15, 4), ['', '', '', '%'], [(15, 9), (11, 5), (14, 8)], [False, False, False, True], 76, False, [False, False, False, False], 2368, 'North', (15, 5))
Element 13: (2, (15, 5), ['', '', '', '%'], [(15, 8), (12, 5), (14, 9)], [False, False, False, True], 74, False, [False, False, False, False], 2387, 'North', (15, 6))
Element 14: (2, (15, 6), ['', '', 'G', '%'], [(15, 7), (13, 5), (13, 9)], [False, False, False, True], 72, False, [False, False, False, False], 2406, 'West', (14, 6))
Element 15: (2, (14, 6), ['G', '', '', 'G'], [(15, 6), (13, 6), (13, 8)], [False, False, False, False], 70, False, [False, False, False, False], 2425, 'North', (14, 7))
Element 16: (2, (14, 7), ['G', '', '', ''], [(15, 5), (12, 6), (13, 7)], [False, False, False, False], 68, False, [False, False, False, False], 2444, 'East', (15, 7))
Element 17: (2, (15, 7), ['', '', '', '%'], [(15, 4), (11, 6), (12, 7)], [False, False, False, True], 66, False, [False, False, False, False], 2463, 'North', (15, 8))
Element 18: (2, (15, 8), ['', '', '', '%'], [(15, 3), (11, 7), (12, 8)], [False, False, False, True], 64, False, [False, False, False, False], 2482, 'North', (15, 9))
Element 19: (2, (15, 9), ['', '', '%', '%'], [(15, 2), (10, 7), (11, 8)], [False, False, True, True], 62, False, [False, False, False, False], 3491, 'West', (14, 9))
Element 20: (2, (14, 9), ['', '', '%', ''], [(15, 3), (10, 8), (11, 9)], [False, False, True, False], 60, False, [False, False, False, False], 5490, 'South', (14, 8))
Element 21: #1#
