Element 1: (1, (1, 8), ['%', '.', '.', '%'], [(10, 4), (13, 2), (15, 9)], [True, False, False, True], 98, False, [False, True, True, False], 999, 'North', (1, 9))
Element 2: (1, (1, 9), ['%', '', '%', '%'], [(11, 4), (13, 3), (15, 8)], [True, False, True, True], 96, False, [False, False, False, False], 2028, 'South', (1, 8))
Element 3: (1, (1, 8), ['%', '.', '', '%'], [(12, 4), (14, 3), (15, 7)], [True, False, False, True], 94, False, [False, True, False, False], 2057, 'South', (1, 7))
Element 4: (1, (1, 7), ['%', '.', '', '%'], [(13, 4), (15, 3), (15, 6)], [True, False, False, True], 92, False, [False, True, False, False], 2096, 'South', (1, 6))
Element 5: (1, (1, 6), ['%', '.', '', '%'], [(14, 4), (15, 4), (15, 5)], [True, False, False, True], 90, False, [False, True, False, False], 2135, 'South', (1, 5))
Element 6: (1, (1, 5), ['%', '.', '', '%'], [(15, 4), (15, 3), (14, 5)], [True, False, False, True], 88, False, [False, True, False, False], 2154, 'South', (1, 4))
Element 7: (1, (1, 4), ['%', '.', '', '%'], [(15, 5), (15, 2), (14, 6)], [True, False, False, True], 86, False, [False, True, False, False], 2183, 'South', (1, 3))
Element 8: (1, (1, 3), ['%', '.', '', '%'], [(15, 6), (15, 3), (14, 7)], [True, False, False, True], 84, False, [False, True, False, False], 2202, 'South', (1, 2))
Element 9: (1, (1, 2), ['%', '.', '', '%'], [(15, 7), (14, 3), (14, 8)], [True, False, False, True], 82, False, [False, True, False, False], 2221, 'South', (1, 1))
Element 10: (1, (1, 1), ['%', '%', '', '.'], [(15, 8), (14, 4), (14, 9)], [True, True, False, False], 80, False, [False, False, False, True], 2240, 'East', (2, 1))
Element 11: (1, (2, 1), ['', '%', '%', '.'], [(15, 9), (14, 5), (13, 9)], [False, True, True, False], 78, False, [False, False, False, True], 2259, 'East', (3, 1))
Element 12: (1, (3, 1), ['', '%', '%', '.'], [(14, 9), (13, 5), (13, 8)], [False, True, True, False], 76, False, [False, False, False, True], 2288, 'East', (4, 1))
Element 13: (1, (4, 1), ['', '%', '.', '%'], [(14, 8), (13, 6), (13, 7)], [False, True, False, True], 74, False, [False, False, True, False], 2317, 'North', (4, 2))
Element 14: (1, (4, 2), ['%', '', '.', '%'], [(14, 7), (12, 6), (12, 7)], [True, False, False, True], 72, False, [False, False, True, False], 2346, 'North', (4, 3))
Element 15: (1, (4, 3), ['.', '', '.', '.'], [(14, 6), (12, 5), (12, 8)], [False, False, False, False], 70, False, [True, False, True, True], 2375, 'East', (5, 3))
Element 16: (1, (5, 3), ['', '%', '.', '.'], [(14, 5), (11, 5), (11, 8)], [False, True, False, False], 68, False, [False, False, True, True], 3394, 'East', (6, 3))
Element 17: (1, (6, 3), ['', '.', '.', '.'], [(13, 5), (11, 6), (11, 9)], [False, False, False, False], 66, False, [False, True, True, True], 4413, 'East', (7, 3))
Element 18: (1, (7, 3), ['', '.', '.', '.'], [(13, 6), (11, 7), (10, 9)], [False, False, False, False], 64, False, [False, True, True, True], 5432, 'East', (8, 3))
Element 19: #1#
