Element 1: (1, (5, 9), ['.', '.', '%', '.'], [(15, 4), (9, 7), (13, 5)], [False, False, True, False], 98, False, [True, True, False, True], 9, 'East', (6, 9))
Element 2: (1, (6, 9), ['', '.', '%', '.'], [(15, 5), (10, 7), (14, 5)], [False, False, True, False], 96, False, [False, True, False, True], 48, 'East', (7, 9))
Element 3: (1, (7, 9), ['', '.', '%', '.'], [(15, 6), (10, 8), (14, 6)], [False, False, True, False], 94, False, [False, True, False, True], 1077, 'East', (8, 9))
Element 4: (1, (8, 9), ['', '.', '%', '.'], [(15, 7), (11, 8), (14, 7)], [False, False, True, False], 92, False, [False, True, False, True], 2106, 'East', (9, 9))
Element 5: (1, (9, 9), ['', '.', '%', 'F'], [(15, 8), (11, 9), (14, 8)], [False, False, True, False], 90, False, [False, True, False, False], 3135, 'East', (10, 9))
Element 6: (1, (10, 9), ['', '', '%', ''], [(15, 9), (12, 9), (14, 9)], [False, False, True, False], 88, False, [False, False, False, False], 4164, 'East', (11, 9))
Element 7: (1, (11, 9), ['', '', '%', ''], [(14, 9), (13, 9), (14, 8)], [False, False, True, False], 86, False, [False, False, False, False], 4173, 'East', (12, 9))
Element 8: (1, (12, 9), ['', '.', '%', ''], [(14, 8), (13, 8), (14, 7)], [False, False, True, False], 84, False, [False, True, False, False], 4182, 'South', (12, 8))
Element 9: (1, (12, 8), ['', '.', '', ''], [(14, 7), (13, 7), (14, 6)], [False, False, False, False], 82, False, [False, True, False, False], 4201, 'South', (12, 7))
Element 10: (1, (12, 7), ['.', '.', '', ''], [(14, 6), (13, 6), (14, 5)], [False, False, False, False], 80, False, [True, True, False, False], 4220, 'South', (12, 6))
Element 11: (1, (12, 6), ['.', '.', '', ''], [(14, 5), (13, 5), (14, 6)], [False, False, False, False], 78, False, [True, True, False, False], 4229, 'South', (12, 5))
Element 12: (1, (12, 5), ['.', '.', '', ''], [(14, 4), (13, 4), (14, 7)], [False, False, False, False], 76, False, [True, True, False, False], 4258, 'South', (12, 4))
Element 13: (1, (12, 4), ['F', '.', '', ''], [(14, 3), (13, 3), (14, 6)], [False, False, False, False], 74, False, [False, True, False, False], 4287, 'West', (11, 4))
Element 14: (1, (11, 4), ['F', '.', '.', ''], [(13, 3), (13, 2), (13, 6)], [False, False, False, False], 72, False, [False, True, True, False], 5296, 'West', (10, 4))
Element 15: #1#
