Element 1: (2, (8, 1), ['.', '%', '.', '.'], [(15, 8), (1, 8), (18, 1)], [False, True, False, False], 98, False, [True, False, True, True], 19, 'East', (9, 1))
Element 2: (2, (9, 1), ['', '%', '.', '.'], [(15, 9), (1, 7), (17, 1)], [False, True, False, False], 96, False, [False, False, True, True], 58, 'East', (10, 1))
Element 3: (2, (10, 1), ['', '%', '.', '.'], [(14, 9), (1, 6), (16, 1)], [False, True, False, False], 94, False, [False, False, True, True], 97, 'East', (11, 1))
Element 4: (2, (11, 1), ['', '%', '%', '.'], [(14, 8), (1, 5), (17, 1)], [False, True, True, False], 92, False, [False, False, False, True], 126, 'East', (12, 1))
Element 5: (2, (12, 1), ['', '%', '%', '.'], [(14, 7), (1, 4), (18, 1)], [False, True, True, False], 90, False, [False, False, False, True], 155, 'East', (13, 1))
Element 6: (2, (13, 1), ['', '%', '.', '.'], [(14, 6), (1, 3), (18, 1)], [False, True, False, False], 88, False, [False, False, True, True], 184, 'East', (14, 1))
Element 7: (2, (14, 1), ['', '%', '%', '%'], [(15, 6), (1, 2), (17, 1)], [False, True, True, True], 86, False, [False, False, False, False], 213, 'West', (13, 1))
Element 8: (2, (13, 1), ['', '%', '.', ''], [(15, 5), (1, 1), (16, 1)], [False, True, False, False], 84, False, [False, False, True, False], 232, 'North', (13, 2))
Element 9: (2, (13, 2), ['%', '', '.', '%'], [(15, 4), (2, 1), (17, 1)], [True, False, False, True], 82, False, [False, False, True, False], 261, 'North', (13, 3))
Element 10: (2, (13, 3), ['.', '', '.', '.'], [(15, 3), (3, 1), (18, 1)], [False, False, False, False], 80, False, [True, False, True, True], 290, 'East', (14, 3))
Element 11: (2, (14, 3), ['', '%', '.', ''], [(15, 2), (4, 1), (18, 1)], [False, True, False, False], 78, False, [False, False, True, False], 319, 'North', (14, 4))
Element 12: (2, (14, 4), ['.', '', '.', ''], [(15, 3), (4, 2), (17, 1)], [False, False, False, False], 76, False, [True, False, True, False], 338, 'North', (14, 5))
Element 13: (2, (14, 5), ['.', '', '', ''], [(15, 4), (4, 3), (16, 1)], [False, False, False, False], 74, False, [True, False, False, False], 357, 'West', (13, 5))
Element 14: (2, (13, 5), ['.', '.', '.', ''], [(14, 4), (5, 3), (17, 1)], [False, False, False, False], 72, False, [True, True, True, False], 376, 'North', (13, 6))
Element 15: (2, (13, 6), ['.', '', '.', ''], [(13, 4), (6, 3), (18, 1)], [False, False, False, False], 70, False, [True, False, True, False], 405, 'North', (13, 7))
Element 16: (2, (13, 7), ['.', '', '.', ''], [(12, 4), (7, 3), (18, 1)], [False, False, False, False], 68, False, [True, False, True, False], 434, 'North', (13, 8))
Element 17: (2, (13, 8), ['.', '', '.', ''], [(11, 4), (8, 3), (17, 1)], [False, False, False, False], 66, False, [True, False, True, False], 1453, 'North', (13, 9))
Element 18: (2, (13, 9), ['.', '', '%', ''], [(10, 4), (9, 3), (16, 1)], [False, False, True, False], 64, False, [True, False, False, False], 2472, 'West', (12, 9))
Element 19: (2, (12, 9), ['F', '.', '%', ''], [(10, 5), (10, 3), (17, 1)], [False, False, True, False], 62, False, [False, True, False, False], 2501, 'West', (11, 9))
Element 20: (2, (11, 9), ['F', 'F', '%', ''], [(11, 5), (11, 3), (18, 1)], [False, False, True, False], 60, False, [False, False, False, False], 3520, 'South', (11, 8))
Element 21: (2, (11, 8), ['F', '.', '', '.'], [(12, 5), (12, 3), (18, 1)], [False, False, False, False], 58, False, [False, True, False, True], 4539, 'West', (10, 8))
Element 22: (2, (10, 8), ['.', '.', 'F', ''], [(12, 6), (13, 3), (17, 1)], [False, False, False, False], 56, False, [True, True, False, False], 5548, 'North', (10, 9))
Element 23: #1#
