Element 1: (2, (13, 8), ['.', '.', 'G', '.'], [(9, 2), (7, 3), (13, 9)], [False, False, False, False], 98, False, [True, True, False, True], 19, 'East', (14, 8))
Element 2: (2, (14, 8), ['', '.', 'G', '.'], [(10, 2), (8, 3), (14, 9)], [False, False, False, False], 96, False, [False, True, False, True], 58, 'East', (15, 8))
Element 3: (2, (15, 8), ['', '.', 'G', '%'], [(10, 3), (9, 3), (15, 9)], [False, False, False, True], 94, False, [False, True, False, False], 97, 'South', (15, 7))
Element 4: (2, (15, 7), ['.', '.', 'G', '%'], [(10, 4), (9, 4), (15, 8)], [False, False, False, True], 92, False, [True, True, False, False], 1116, 'South', (15, 6))
Element 5: (2, (15, 6), ['.', '.', 'G', '%'], [(11, 4), (9, 5), (15, 7)], [False, False, False, True], 90, False, [True, True, False, False], 2135, 'South', (15, 5))
Element 6: (2, (15, 5), ['.', '.', '', '%'], [(12, 4), (10, 5), (14, 7)], [False, False, False, True], 88, False, [True, True, False, False], 2174, 'South', (15, 4))
Element 7: (2, (15, 4), ['.', '.', '', '%'], [(13, 4), (11, 5), (14, 6)], [False, False, False, True], 86, False, [True, True, False, False], 2213, 'South', (15, 3))
Element 8: (2, (15, 3), ['.', '.', '', '%'], [(14, 4), (12, 5), (14, 5)], [False, False, False, True], 84, False, [True, True, False, False], 2252, 'South', (15, 2))
Element 9: (2, (15, 2), ['%', '%', '', '%'], [(14, 3), (12, 6), (13, 5)], [True, True, False, True], 82, False, [False, False, False, False], 2291, 'North', (15, 3))
Element 10: (2, (15, 3), ['', '', '', '%'], [(13, 3), (12, 7), (13, 6)], [False, False, False, True], 80, False, [False, False, False, False], 2320, 'West', (14, 3))
Element 11: (2, (14, 3), ['', '%', '', ''], [(13, 2), (12, 8), (13, 7)], [False, True, False, False], 78, False, [False, False, False, False], 2349, 'North', (14, 4))
Element 12: (2, (14, 4), ['', '', '', ''], [(13, 1), (11, 8), (13, 8)], [False, False, False, False], 76, False, [False, False, False, False], 3358, 'North', (14, 5))
Element 13: (2, (14, 5), ['', '', '', ''], [(14, 1), (11, 9), (14, 8)], [False, False, False, False], 74, False, [False, False, False, False], 4367, 'North', (14, 6))
Element 14: (2, (14, 6), ['', '', '', ''], [(13, 1), (10, 9), (13, 8)], [False, False, False, False], 72, False, [False, False, False, False], 5366, 'North', (14, 7))
Element 15: #1#
