Element 1: (1, (3, 5), ['%', '.', '', '.'], [(4, 6), (8, 7), (12, 8)], [True, False, False, False], 98, False, [False, True, False, True], 9, 'East', (4, 5))
Element 2: (1, (4, 5), ['', '.', '', '.'], [(5, 6), (9, 7), (11, 8)], [False, False, False, False], 96, False, [False, True, False, True], 1038, 'East', (5, 5))
Element 3: (1, (5, 5), ['', '.', '', '.'], [(6, 6), (10, 7), (11, 9)], [False, False, False, False], 94, False, [False, True, False, True], 2067, 'East', (6, 5))
Element 4: (1, (6, 5), ['', '.', '', '.'], [(7, 6), (10, 8), (10, 9)], [False, False, False, False], 92, False, [False, True, False, True], 4086, 'East', (7, 5))
Element 5: (1, (7, 5), ['', '.', '', '.'], [(8, 6), (9, 8), (9, 9)], [False, False, False, False], 90, False, [False, True, False, True], 4125, 'East', (8, 5))
Element 6: (1, (8, 5), ['', '.', '', '.'], [(9, 6), (8, 8), (8, 9)], [False, False, False, False], 88, False, [False, True, False, True], 4164, 'East', (9, 5))
Element 7: (1, (9, 5), ['', '.', '', '.'], [(10, 6), (7, 8), (7, 9)], [False, False, False, False], 86, False, [False, True, False, True], 4203, 'East', (10, 5))
Element 8: (1, (10, 5), ['', 'F', '', '.'], [(11, 6), (7, 7), (6, 9)], [False, False, False, False], 84, False, [False, False, False, True], 4242, 'South', (10, 4))
Element 9: (1, (10, 4), ['.', '.', '', 'F'], [(12, 6), (6, 7), (6, 8)], [False, False, False, False], 82, False, [True, True, False, False], 5271, 'East', (11, 4))
Element 10: #1#
