Element 1: (2, (14, 7), ['.', '.', '.', 'G'], [(11, 6), (6, 5), (15, 7)], [False, False, False, False], 98, False, [True, True, True, False], 19, 'North', (14, 8))
Element 2: (2, (14, 8), ['.', '', '.', 'G'], [(12, 6), (7, 5), (15, 8)], [False, False, False, False], 96, False, [True, False, True, False], 58, 'North', (14, 9))
Element 3: (2, (14, 9), ['.', '', '%', 'G'], [(13, 6), (8, 5), (15, 9)], [False, False, True, False], 94, False, [True, False, False, False], 97, 'West', (13, 9))
Element 4: (2, (13, 9), ['.', '.', '%', 'G'], [(14, 6), (9, 5), (14, 9)], [False, False, True, False], 92, False, [True, True, False, False], 126, 'South', (13, 8))
Element 5: (2, (13, 8), ['.', '.', '', 'G'], [(15, 6), (10, 5), (14, 8)], [False, False, False, False], 90, False, [True, True, False, False], 155, 'South', (13, 7))
Element 6: (2, (13, 7), ['.', '', '', 'G'], [(15, 5), (10, 4), (14, 7)], [False, False, False, False], 88, False, [True, False, False, False], 1174, 'West', (12, 7))
Element 7: (2, (12, 7), ['.', '', '.', ''], [(15, 4), (11, 4), (14, 6)], [False, False, False, False], 86, False, [True, False, True, False], 2193, 'North', (12, 8))
Element 8: (2, (12, 8), ['F', '', '.', ''], [(15, 3), (12, 4), (14, 5)], [False, False, False, False], 84, False, [False, False, True, False], 2232, 'West', (11, 8))
Element 9: (2, (11, 8), ['F', '.', 'F', ''], [(15, 2), (13, 4), (14, 4)], [False, False, False, False], 82, False, [False, True, False, False], 3261, 'North', (11, 9))
Element 10: (2, (11, 9), ['F', '', '%', '.'], [(15, 3), (13, 5), (14, 3)], [False, False, True, False], 80, False, [False, False, False, True], 4280, 'West', (10, 9))
Element 11: (2, (10, 9), ['.', 'F', '%', ''], [(14, 3), (12, 5), (13, 3)], [False, False, True, False], 78, False, [True, False, False, False], 5299, 'South', (10, 8))
Element 12: #1#
