Element 1: (3, (15, 6), ['.', '.', '.', '%'], [(9, 8), (5, 9), (7, 8)], [False, False, False, True], 98, False, [True, True, True, False], 29, 'North', (15, 7))
Element 2: (3, (15, 7), ['.', '', '.', '%'], [(10, 8), (6, 9), (7, 9)], [False, False, False, True], 96, False, [True, False, True, False], 1058, 'North', (15, 8))
Element 3: (3, (15, 8), ['.', '', '.', '%'], [(11, 8), (6, 8), (8, 9)], [False, False, False, True], 94, False, [True, False, True, False], 2077, 'North', (15, 9))
Element 4: (3, (15, 9), ['.', '', '%', '%'], [(11, 9), (6, 7), (9, 9)], [False, False, True, True], 92, False, [True, False, False, False], 3106, 'West', (14, 9))
Element 5: (3, (14, 9), ['.', '.', '%', ''], [(10, 9), (7, 7), (9, 8)], [False, False, True, False], 90, False, [True, True, False, False], 4125, 'South', (14, 8))
Element 6: (3, (14, 8), ['.', '.', '', ''], [(9, 9), (8, 7), (9, 7)], [False, False, False, False], 88, False, [True, True, False, False], 4154, 'South', (14, 7))
Element 7: (3, (14, 7), ['.', '.', '', ''], [(8, 9), (8, 6), (10, 7)], [False, False, False, False], 86, False, [True, True, False, False], 4183, 'South', (14, 6))
Element 8: (3, (14, 6), ['.', '.', '', ''], [(7, 9), (9, 6), (11, 7)], [False, False, False, False], 84, False, [True, True, False, False], 4212, 'South', (14, 5))
Element 9: (3, (14, 5), ['.', '.', '', '.'], [(7, 8), (10, 6), (12, 7)], [False, False, False, False], 82, False, [True, True, False, True], 4241, 'East', (15, 5))
Element 10: (3, (15, 5), ['', '.', '', '%'], [(7, 7), (11, 6), (13, 7)], [False, False, False, True], 80, False, [False, True, False, False], 4270, 'South', (15, 4))
Element 11: (3, (15, 4), ['.', '.', '', '%'], [(7, 6), (12, 6), (13, 8)], [False, False, False, True], 78, False, [True, True, False, False], 4309, 'South', (15, 3))
Element 12: (3, (15, 3), ['.', '.', '', '%'], [(7, 5), (13, 6), (13, 9)], [False, False, False, True], 76, False, [True, True, False, False], 4348, 'South', (15, 2))
Element 13: (3, (15, 2), ['%', '%', '', '%'], [(8, 5), (13, 5), (12, 9)], [True, True, False, True], 74, False, [False, False, False, False], 4387, 'North', (15, 3))
Element 14: (3, (15, 3), ['.', '', '', '%'], [(9, 5), (13, 4), (12, 8)], [False, False, False, True], 72, False, [True, False, False, False], 4416, 'West', (14, 3))
Element 15: (3, (14, 3), ['.', '%', 'G', ''], [(10, 5), (14, 4), (11, 8)], [False, True, False, False], 70, False, [True, False, False, False], 4445, 'West', (13, 3))
Element 16: (3, (13, 3), ['.', '.', '', ''], [(10, 4), (15, 4), (11, 9)], [False, False, False, False], 68, False, [True, True, False, False], 5454, 'South', (13, 2))
Element 17: #1#
