Element 1: (1, (4, 6), ['.', '.', '.', 'G'], [(10, 4), (5, 6), (10, 1)], [False, False, False, False], 98, False, [True, True, True, False], 999, 'North', (4, 7))
Element 2: (1, (4, 7), ['.', '', '.', '.'], [(11, 4), (6, 6), (11, 1)], [False, False, False, False], 96, False, [True, False, True, True], 2028, 'East', (5, 7))
Element 3: (1, (5, 7), ['', '', '.', '.'], [(12, 4), (7, 6), (12, 1)], [False, False, False, False], 94, False, [False, False, True, True], 2067, 'East', (6, 7))
Element 4: (1, (6, 7), ['', '', '.', '.'], [(13, 4), (8, 6), (13, 1)], [False, False, False, False], 92, False, [False, False, True, True], 2106, 'East', (7, 7))
Element 5: (1, (7, 7), ['', '', '.', '.'], [(14, 4), (9, 6), (14, 1)], [False, False, False, False], 90, False, [False, False, True, True], 2145, 'East', (8, 7))
Element 6: (1, (8, 7), ['', '', '.', '.'], [(15, 4), (10, 6), (13, 1)], [False, False, False, False], 88, False, [False, False, True, True], 2174, 'East', (9, 7))
Element 7: (1, (9, 7), ['', '', '.', '.'], [(15, 5), (11, 6), (13, 2)], [False, False, False, False], 86, False, [False, False, True, True], 2213, 'East', (10, 7))
Element 8: (1, (10, 7), ['', '', 'F', '.'], [(15, 6), (12, 6), (13, 3)], [False, False, False, False], 84, False, [False, False, False, True], 2252, 'North', (10, 8))
Element 9: (1, (10, 8), ['.', '', 'F', 'F'], [(15, 7), (13, 6), (14, 3)], [False, False, False, False], 82, False, [True, False, False, False], 3281, 'East', (11, 8))
Element 10: (1, (11, 8), ['', '.', 'F', '.'], [(15, 8), (14, 6), (15, 3)], [False, False, False, False], 80, False, [False, True, False, True], 4310, 'North', (11, 9))
Element 11: (1, (11, 9), ['F', '', '%', '.'], [(15, 9), (14, 7), (15, 2)], [False, False, True, False], 78, False, [False, False, False, True], 5339, 'West', (10, 9))
Element 12: #1#
