Element 1: (1, (4, 1), ['.', '%', '.', '%'], [(14, 9), (8, 3), (10, 3)], [False, True, False, True], 98, False, [True, False, True, False], 9, 'North', (4, 2))
Element 2: (1, (4, 2), ['%', '', '.', '%'], [(15, 9), (9, 3), (10, 4)], [True, False, False, True], 96, False, [False, False, True, False], 1038, 'North', (4, 3))
Element 3: (1, (4, 3), ['.', '', '.', '.'], [(15, 8), (9, 4), (11, 4)], [False, False, False, False], 94, False, [True, False, True, True], 2067, 'East', (5, 3))
Element 4: (1, (5, 3), ['', '%', '.', '.'], [(15, 7), (9, 5), (12, 4)], [False, True, False, False], 92, False, [False, False, True, True], 2106, 'East', (6, 3))
Element 5: (1, (6, 3), ['', '.', '.', '.'], [(15, 6), (10, 5), (13, 4)], [False, False, False, False], 90, False, [False, True, True, True], 2145, 'East', (7, 3))
Element 6: (1, (7, 3), ['', '.', '.', ''], [(15, 5), (11, 5), (14, 4)], [False, False, False, False], 88, False, [False, True, True, False], 2184, 'North', (7, 4))
Element 7: (1, (7, 4), ['.', '', '.', '.'], [(14, 5), (12, 5), (15, 4)], [False, False, False, False], 86, False, [True, False, True, True], 2223, 'East', (8, 4))
Element 8: (1, (8, 4), ['', '', '.', ''], [(14, 6), (13, 5), (15, 3)], [False, False, False, False], 84, False, [False, False, True, False], 2262, 'North', (8, 5))
Element 9: (1, (8, 5), ['.', '', '.', ''], [(14, 7), (13, 6), (15, 2)], [False, False, False, False], 82, False, [True, False, True, False], 2301, 'North', (8, 6))
Element 10: (1, (8, 6), ['.', '', '.', '.'], [(14, 8), (13, 7), (15, 3)], [False, False, False, False], 80, False, [True, False, True, True], 2330, 'East', (9, 6))
Element 11: (1, (9, 6), ['', '', '.', '.'], [(14, 7), (13, 8), (14, 3)], [False, False, False, False], 78, False, [False, False, True, True], 2359, 'East', (10, 6))
Element 12: (1, (10, 6), ['', '', '.', '.'], [(14, 6), (12, 8), (13, 3)], [False, False, False, False], 76, False, [False, False, True, True], 2388, 'East', (11, 6))
Element 13: (1, (11, 6), ['', '', '.', '.'], [(14, 5), (11, 8), (13, 2)], [False, False, False, False], 74, False, [False, False, True, True], 3407, 'East', (12, 6))
Element 14: (1, (12, 6), ['', '', '.', ''], [(14, 4), (11, 9), (13, 1)], [False, False, False, False], 72, False, [False, False, True, False], 4426, 'North', (12, 7))
Element 15: (1, (12, 7), ['.', '', '', ''], [(15, 4), (10, 9), (14, 1)], [False, False, False, False], 70, False, [True, False, False, False], 5445, 'West', (11, 7))
Element 16: #1#
