Element 1: (3, (5, 7), ['', '.', '.', '.'], [(9, 9), (1, 4), (4, 8)], [False, False, False, False], 98, False, [False, True, True, True], 29, 'East', (6, 7))
Element 2: (3, (6, 7), ['', '.', '.', '.'], [(10, 9), (1, 5), (5, 8)], [False, False, False, False], 96, False, [False, True, True, True], 1058, 'East', (7, 7))
Element 3: (3, (7, 7), ['', '.', '.', '.'], [(11, 9), (1, 6), (6, 8)], [False, False, False, False], 94, False, [False, True, True, True], 2087, 'East', (8, 7))
Element 4: (3, (8, 7), ['', '.', '.', '.'], [(11, 8), (1, 7), (7, 8)], [False, False, False, False], 92, False, [False, True, True, True], 3116, 'East', (9, 7))
Element 5: (3, (9, 7), ['', '.', '.', '.'], [(10, 8), (1, 8), (8, 8)], [False, False, False, False], 90, False, [False, True, True, True], 4145, 'East', (10, 7))
Element 6: (3, (10, 7), ['', '.', '', '.'], [(9, 8), (1, 9), (8, 9)], [False, False, False, False], 88, False, [False, True, False, True], 4174, 'East', (11, 7))
Element 7: (3, (11, 7), ['', '.', '', '.'], [(9, 7), (1, 8), (7, 9)], [False, False, False, False], 86, False, [False, True, False, True], 4193, 'East', (12, 7))
Element 8: (3, (12, 7), ['', '.', '.', '.'], [(9, 6), (1, 7), (6, 9)], [False, False, False, False], 84, False, [False, True, True, True], 4222, 'East', (13, 7))
Element 9: (3, (13, 7), ['', '.', '.', '.'], [(10, 6), (1, 6), (5, 9)], [False, False, False, False], 82, False, [False, True, True, True], 4251, 'East', (14, 7))
Element 10: (3, (14, 7), ['', '.', '.', '.'], [(11, 6), (1, 5), (4, 9)], [False, False, False, False], 80, False, [False, True, True, True], 4280, 'East', (15, 7))
Element 11: (3, (15, 7), ['', '.', '.', '%'], [(12, 6), (1, 4), (3, 9)], [False, False, False, True], 78, False, [False, True, True, False], 4309, 'North', (15, 8))
Element 12: (3, (15, 8), ['.', '', '.', '%'], [(13, 6), (1, 3), (3, 8)], [False, False, False, True], 76, False, [True, False, True, False], 4338, 'North', (15, 9))
Element 13: (3, (15, 9), ['.', '', '%', '%'], [(14, 6), (1, 2), (3, 7)], [False, False, True, True], 74, False, [True, False, False, False], 4377, 'West', (14, 9))
Element 14: (3, (14, 9), ['.', '.', '%', ''], [(15, 6), (1, 1), (3, 6)], [False, False, True, False], 72, False, [True, True, False, False], 4416, 'South', (14, 8))
Element 15: (3, (14, 8), ['.', '', '', ''], [(15, 5), (2, 1), (4, 6)], [False, False, False, False], 70, False, [True, False, False, False], 4455, 'West', (13, 8))
Element 16: (3, (13, 8), ['.', '', '.', ''], [(15, 4), (3, 1), (5, 6)], [False, False, False, False], 68, False, [True, False, True, False], 4494, 'North', (13, 9))
Element 17: (3, (13, 9), ['.', '', '%', ''], [(15, 3), (4, 1), (6, 6)], [False, False, True, False], 66, False, [True, False, False, False], 4533, 'West', (12, 9))
Element 18: (3, (12, 9), ['', '.', '%', ''], [(15, 2), (4, 2), (7, 6)], [False, False, True, False], 64, False, [False, True, False, False], 4572, 'South', (12, 8))
Element 19: (3, (12, 8), ['', '', '', ''], [(15, 3), (4, 3), (8, 6)], [False, False, False, False], 62, False, [False, False, False, False], 4601, 'West', (11, 8))
Element 20: (3, (11, 8), ['', '', '', ''], [(14, 3), (5, 3), (8, 5)], [False, False, False, False], 60, False, [False, False, False, False], 4630, 'North', (11, 9))
Element 21: (3, (11, 9), ['', '', '%', ''], [(14, 4), (6, 3), (9, 5)], [False, False, True, False], 58, False, [False, False, False, False], 4659, 'West', (10, 9))
Element 22: (3, (10, 9), ['', '', '%', ''], [(14, 5), (7, 3), (10, 5)], [False, False, True, False], 56, False, [False, False, False, False], 4688, 'South', (10, 8))
Element 23: (3, (10, 8), ['', '', '', ''], [(13, 5), (8, 3), (10, 4)], [False, False, False, False], 54, False, [False, False, False, False], 5707, 'West', (9, 8))
Element 24: #1#
