Element 1: (1, (3, 6), ['%', '.', '.', '.'], [(10, 4), (4, 5), (7, 1)], [True, False, False, False], 98, False, [False, True, True, True], 999, 'East', (4, 6))
Element 2: (1, (4, 6), ['', '', '.', '.'], [(11, 4), (5, 5), (8, 1)], [False, False, False, False], 96, False, [False, False, True, True], 2028, 'East', (5, 6))
Element 3: (1, (5, 6), ['', '', '.', '.'], [(12, 4), (6, 5), (9, 1)], [False, False, False, False], 94, False, [False, False, True, True], 2067, 'East', (6, 6))
Element 4: (1, (6, 6), ['', '', '.', '.'], [(13, 4), (7, 5), (10, 1)], [False, False, False, False], 92, False, [False, False, True, True], 2106, 'East', (7, 6))
Element 5: (1, (7, 6), ['', '', '.', '.'], [(14, 4), (8, 5), (11, 1)], [False, False, False, False], 90, False, [False, False, True, True], 2145, 'East', (8, 6))
Element 6: (1, (8, 6), ['', '', '.', '.'], [(15, 4), (9, 5), (12, 1)], [False, False, False, False], 88, False, [False, False, True, True], 2184, 'East', (9, 6))
Element 7: (1, (9, 6), ['', '', '.', '.'], [(15, 5), (9, 4), (13, 1)], [False, False, False, False], 86, False, [False, False, True, True], 2223, 'East', (10, 6))
Element 8: (1, (10, 6), ['', '', '.', '.'], [(15, 6), (9, 3), (14, 1)], [False, False, False, False], 84, False, [False, False, True, True], 2262, 'East', (11, 6))
Element 9: (1, (11, 6), ['', '.', '.', '.'], [(15, 7), (10, 3), (13, 1)], [False, False, False, False], 82, False, [False, True, True, True], 2291, 'East', (12, 6))
Element 10: (1, (12, 6), ['', '.', '.', '.'], [(15, 8), (11, 3), (13, 2)], [False, False, False, False], 80, False, [False, True, True, True], 2330, 'East', (13, 6))
Element 11: (1, (13, 6), ['', '.', '.', '.'], [(15, 9), (12, 3), (13, 3)], [False, False, False, False], 78, False, [False, True, True, True], 2369, 'East', (14, 6))
Element 12: (1, (14, 6), ['', '.', '.', ''], [(14, 9), (12, 4), (14, 3)], [False, False, False, False], 76, False, [False, True, True, False], 2398, 'North', (14, 7))
Element 13: (1, (14, 7), ['.', '', 'G', ''], [(14, 8), (12, 5), (15, 3)], [False, False, False, False], 74, False, [True, False, False, False], 2437, 'West', (13, 7))
Element 14: (1, (13, 7), ['.', '', 'G', ''], [(13, 8), (13, 5), (15, 2)], [False, False, False, False], 72, False, [True, False, False, False], 2476, 'West', (12, 7))
Element 15: (1, (12, 7), ['.', '', '.', ''], [(13, 9), (14, 5), (15, 3)], [False, False, False, False], 70, False, [True, False, True, False], 2505, 'North', (12, 8))
Element 16: (1, (12, 8), ['F', '', 'G', ''], [(12, 9), (15, 5), (15, 4)], [False, False, False, False], 68, False, [False, False, False, False], 2524, 'West', (11, 8))
Element 17: (1, (11, 8), ['F', '.', 'G', ''], [(11, 9), (15, 6), (15, 5)], [False, False, False, False], 66, False, [False, True, False, False], 4523, 'West', (10, 8))
Element 18: #1#
