Element 1: (2, (14, 7), ['.', '.', '.', 'G'], [(11, 8), (13, 3), (15, 7)], [False, False, False, False], 98, False, [True, True, True, False], 1009, 'North', (14, 8))
Element 2: (2, (14, 8), ['.', '', '.', 'G'], [(11, 9), (14, 3), (15, 8)], [False, False, False, False], 96, False, [True, False, True, False], 2038, 'North', (14, 9))
Element 3: (2, (14, 9), ['.', '', '%', 'G'], [(10, 9), (15, 3), (15, 9)], [False, False, True, False], 94, False, [True, False, False, False], 3067, 'West', (13, 9))
Element 4: (2, (13, 9), ['.', '.', '%', 'G'], [(10, 8), (15, 4), (14, 9)], [False, False, True, False], 92, False, [True, True, False, False], 4086, 'South', (13, 8))
Element 5: (2, (13, 8), ['', '.', '', 'G'], [(10, 7), (15, 5), (14, 8)], [False, False, False, False], 90, False, [False, True, False, False], 4115, 'South', (13, 7))
Element 6: (2, (13, 7), ['.', '.', '', 'G'], [(11, 7), (15, 6), (14, 7)], [False, False, False, False], 88, False, [True, True, False, False], 4144, 'South', (13, 6))
Element 7: (2, (13, 6), ['.', '.', '', 'G'], [(12, 7), (15, 7), (14, 6)], [False, False, False, False], 86, False, [True, True, False, False], 4173, 'South', (13, 5))
Element 8: (2, (13, 5), ['.', '.', '', 'G'], [(12, 6), (15, 8), (14, 5)], [False, False, False, False], 84, False, [True, True, False, False], 4202, 'South', (13, 4))
Element 9: (2, (13, 4), ['.', '', '', 'G'], [(12, 5), (15, 9), (14, 4)], [False, False, False, False], 82, False, [True, False, False, False], 4231, 'West', (12, 4))
Element 10: (2, (12, 4), ['F', '.', '', ''], [(11, 5), (14, 9), (15, 4)], [False, False, False, False], 80, False, [False, True, False, False], 4250, 'West', (11, 4))
Element 11: (2, (11, 4), ['F', '.', '', ''], [(11, 6), (14, 8), (15, 5)], [False, False, False, False], 78, False, [False, True, False, False], 5259, 'West', (10, 4))
Element 12: #1#
