Element 1: (1, (4, 1), ['.', '%', '.', '%'], [(9, 4), (7, 1), (9, 3)], [False, True, False, True], 98, False, [True, False, True, False], 9, 'North', (4, 2))
Element 2: (1, (4, 2), ['%', '', '.', '%'], [(10, 4), (8, 1), (10, 3)], [True, False, False, True], 96, False, [False, False, True, False], 1038, 'North', (4, 3))
Element 3: (1, (4, 3), ['.', '', '.', '.'], [(11, 4), (9, 1), (11, 3)], [False, False, False, False], 94, False, [True, False, True, True], 2067, 'East', (5, 3))
Element 4: (1, (5, 3), ['', '%', '.', '.'], [(12, 4), (10, 1), (12, 3)], [False, True, False, False], 92, False, [False, False, True, True], 2106, 'East', (6, 3))
Element 5: (1, (6, 3), ['', '.', '.', '.'], [(13, 4), (11, 1), (13, 3)], [False, False, False, False], 90, False, [False, True, True, True], 2145, 'East', (7, 3))
Element 6: (1, (7, 3), ['', '.', '.', '.'], [(14, 4), (12, 1), (14, 3)], [False, False, False, False], 88, False, [False, True, True, True], 2184, 'East', (8, 3))
Element 7: (1, (8, 3), ['', '.', '', ''], [(15, 4), (13, 1), (15, 3)], [False, False, False, False], 86, False, [False, True, False, False], 2223, 'South', (8, 2))
Element 8: (1, (8, 2), ['.', '', '', '.'], [(15, 5), (14, 1), (15, 2)], [False, False, False, False], 84, False, [True, False, False, True], 2262, 'East', (9, 2))
Element 9: (1, (9, 2), ['', '', '', '.'], [(15, 6), (13, 1), (15, 3)], [False, False, False, False], 82, False, [False, False, False, True], 2281, 'East', (10, 2))
Element 10: (1, (10, 2), ['', '', '', '%'], [(15, 7), (13, 2), (14, 3)], [False, False, False, True], 80, False, [False, False, False, False], 2310, 'North', (10, 3))
Element 11: (1, (10, 3), ['', '', '', ''], [(15, 8), (13, 3), (14, 4)], [False, False, False, False], 78, False, [False, False, False, False], 2319, 'East', (11, 3))
Element 12: (1, (11, 3), ['', '%', '', ''], [(15, 9), (14, 3), (14, 5)], [False, True, False, False], 76, False, [False, False, False, False], 2338, 'East', (12, 3))
Element 13: (1, (12, 3), ['', '%', '', ''], [(14, 9), (15, 3), (14, 6)], [False, True, False, False], 74, False, [False, False, False, False], 2357, 'East', (13, 3))
Element 14: (1, (13, 3), ['', '', '', ''], [(14, 8), (15, 4), (14, 7)], [False, False, False, False], 72, False, [False, False, False, False], 2376, 'East', (14, 3))
Element 15: (1, (14, 3), ['', '%', '', ''], [(13, 8), (15, 5), (13, 7)], [False, True, False, False], 70, False, [False, False, False, False], 2395, 'East', (15, 3))
Element 16: (1, (15, 3), ['', '', '', '%'], [(13, 9), (15, 6), (13, 6)], [False, False, False, True], 68, False, [False, False, False, False], 2414, 'North', (15, 4))
Element 17: (1, (15, 4), ['', '', '', '%'], [(12, 9), (15, 7), (13, 5)], [False, False, False, True], 66, False, [False, False, False, False], 2433, 'North', (15, 5))
Element 18: (1, (15, 5), ['', '', '', '%'], [(11, 9), (15, 8), (12, 5)], [False, False, False, True], 64, False, [False, False, False, False], 3442, 'North', (15, 6))
Element 19: (1, (15, 6), ['', '', '', '%'], [(11, 8), (15, 9), (12, 6)], [False, False, False, True], 62, False, [False, False, False, False], 4451, 'North', (15, 7))
Element 20: (1, (15, 7), ['', '', '', '%'], [(10, 8), (14, 9), (12, 7)], [False, False, False, True], 60, False, [False, False, False, False], 5460, 'North', (15, 8))
Element 21: #1#
