Element 1: (2, (4, 1), ['.', '%', '.', '%'], [(13, 7), (1, 8), (12, 9)], [False, True, False, True], 98, False, [True, False, True, False], 19, 'North', (4, 2))
Element 2: (2, (4, 2), ['%', '', '.', '%'], [(14, 7), (1, 9), (11, 9)], [True, False, False, True], 96, False, [False, False, True, False], 1048, 'North', (4, 3))
Element 3: (2, (4, 3), ['.', '', '.', '.'], [(15, 7), (1, 8), (11, 8)], [False, False, False, False], 94, False, [True, False, True, True], 2067, 'East', (5, 3))
Element 4: (2, (5, 3), ['', '%', '.', '.'], [(15, 8), (1, 7), (10, 8)], [False, True, False, False], 92, False, [False, False, True, True], 3086, 'East', (6, 3))
Element 5: (2, (6, 3), ['', '.', '.', '.'], [(15, 9), (1, 6), (10, 9)], [False, False, False, False], 90, False, [False, True, True, True], 4115, 'East', (7, 3))
Element 6: (2, (7, 3), ['', '.', '.', '.'], [(14, 9), (1, 5), (9, 9)], [False, False, False, False], 88, False, [False, True, True, True], 4154, 'East', (8, 3))
Element 7: (2, (8, 3), ['', '.', '.', '.'], [(14, 8), (1, 4), (9, 8)], [False, False, False, False], 86, False, [False, True, True, True], 4193, 'East', (9, 3))
Element 8: (2, (9, 3), ['', '.', '.', '.'], [(13, 8), (1, 3), (9, 7)], [False, False, False, False], 84, False, [False, True, True, True], 4232, 'East', (10, 3))
Element 9: (2, (10, 3), ['', '.', 'F', '.'], [(13, 9), (1, 2), (10, 7)], [False, False, False, False], 82, False, [False, True, False, True], 4271, 'North', (10, 4))
Element 10: (2, (10, 4), ['.', '', '.', 'F'], [(12, 9), (1, 1), (11, 7)], [False, False, False, False], 80, False, [True, False, True, False], 5290, 'East', (11, 4))
Element 11: #1#
