Element 1: (3, (15, 8), ['.', '.', '.', '%'], [(5, 4), (12, 7), (14, 6)], [False, False, False, True], 98, False, [True, True, True, False], 29, 'North', (15, 9))
Element 2: (3, (15, 9), ['.', '', '%', '%'], [(6, 4), (13, 7), (15, 6)], [False, False, True, True], 96, False, [True, False, False, False], 68, 'West', (14, 9))
Element 3: (3, (14, 9), ['.', '.', '%', ''], [(7, 4), (14, 7), (15, 7)], [False, False, True, False], 94, False, [True, True, False, False], 107, 'South', (14, 8))
Element 4: (3, (14, 8), ['.', '', '', 'G'], [(8, 4), (14, 6), (15, 8)], [False, False, False, False], 92, False, [True, False, False, False], 126, 'West', (13, 8))
Element 5: (3, (13, 8), ['.', '', '.', ''], [(9, 4), (14, 5), (15, 9)], [False, False, False, False], 90, False, [True, False, True, False], 155, 'North', (13, 9))
Element 6: (3, (13, 9), ['.', '', '%', 'G'], [(10, 4), (15, 5), (14, 9)], [False, False, True, False], 88, False, [True, False, False, False], 1174, 'West', (12, 9))
Element 7: (3, (12, 9), ['F', '.', '%', ''], [(11, 4), (15, 4), (14, 8)], [False, False, True, False], 86, False, [False, True, False, False], 2193, 'West', (11, 9))
Element 8: (3, (11, 9), ['F', 'F', '%', ''], [(12, 4), (15, 3), (14, 7)], [False, False, True, False], 84, False, [False, False, False, False], 3212, 'South', (11, 8))
Element 9: (3, (11, 8), ['F', '.', '', '.'], [(13, 4), (15, 2), (13, 7)], [False, False, False, False], 82, False, [False, True, False, True], 4231, 'West', (10, 8))
Element 10: (3, (10, 8), ['.', '.', 'F', ''], [(14, 4), (15, 3), (13, 8)], [False, False, False, False], 80, False, [True, True, False, False], 5240, 'North', (10, 9))
Element 11: #1#
