Element 1: (0, (1, 1), ['%', '%', '.', '.'], [(7, 3), (7, 4), (14, 8)], [True, True, False, False], 98, False, [False, False, True, True], 0, 'East', (2, 1))
Element 2: (0, (2, 1), ['', '%', '%', '.'], [(8, 3), (8, 4), (15, 8)], [False, True, True, False], 96, False, [False, False, False, True], 39, 'East', (3, 1))
Element 3: (0, (3, 1), ['', '%', '%', '.'], [(9, 3), (9, 4), (15, 9)], [False, True, True, False], 94, False, [False, False, False, True], 78, 'East', (4, 1))
Element 4: (0, (4, 1), ['', '%', '.', '%'], [(10, 3), (10, 4), (14, 9)], [False, True, False, True], 92, False, [False, False, True, False], 1107, 'North', (4, 2))
Element 5: (0, (4, 2), ['%', '', '.', '%'], [(11, 3), (11, 4), (13, 9)], [True, False, False, True], 90, False, [False, False, True, False], 2136, 'North', (4, 3))
Element 6: (0, (4, 3), ['.', '', '.', '.'], [(12, 3), (12, 4), (13, 8)], [False, False, False, False], 88, False, [True, False, True, True], 2175, 'East', (5, 3))
Element 7: (0, (5, 3), ['', '%', '.', '.'], [(13, 3), (13, 4), (13, 7)], [False, True, False, False], 86, False, [False, False, True, True], 2214, 'East', (6, 3))
Element 8: (0, (6, 3), ['', '.', '.', ''], [(14, 3), (14, 4), (14, 7)], [False, False, False, False], 84, False, [False, True, True, False], 2253, 'North', (6, 4))
Element 9: (0, (6, 4), ['.', '', '.', ''], [(15, 3), (15, 4), (15, 7)], [False, False, False, False], 82, False, [True, False, True, False], 2292, 'North', (6, 5))
Element 10: (0, (6, 5), ['.', '', '.', '.'], [(15, 2), (15, 5), (15, 6)], [False, False, False, False], 80, False, [True, False, True, True], 2331, 'East', (7, 5))
Element 11: (0, (7, 5), ['', '', '.', '.'], [(15, 3), (14, 5), (14, 6)], [False, False, False, False], 78, False, [False, False, True, True], 2360, 'East', (8, 5))
Element 12: (0, (8, 5), ['', '', '.', '.'], [(14, 3), (13, 5), (13, 6)], [False, False, False, False], 76, False, [False, False, True, True], 2389, 'East', (9, 5))
Element 13: (0, (9, 5), ['', '', '.', '.'], [(13, 3), (12, 5), (12, 6)], [False, False, False, False], 74, False, [False, False, True, True], 2418, 'East', (10, 5))
Element 14: (0, (10, 5), ['', '', '.', 'G'], [(13, 2), (11, 5), (12, 7)], [False, False, False, False], 72, False, [False, False, True, False], 2457, 'North', (10, 6))
Element 15: (0, (10, 6), ['.', '', '.', 'G'], [(13, 1), (11, 6), (12, 8)], [False, False, False, False], 70, False, [True, False, True, False], 2496, 'North', (10, 7))
Element 16: (0, (10, 7), ['.', '', 'F', 'G'], [(14, 1), (11, 7), (11, 8)], [False, False, False, False], 68, False, [True, False, False, False], 3525, 'North', (10, 8))
Element 17: (0, (10, 8), ['.', '', 'F', ''], [(13, 1), (12, 7), (11, 9)], [False, False, False, False], 66, False, [True, False, False, False], 5524, 'North', (10, 9))
Element 18: #1#
