Element 1: (2, (4, 8), ['', '.', '.', '.'], [(1, 7), (3, 9), (13, 7)], [False, False, False, False], 98, False, [False, True, True, True], 19, 'East', (5, 8))
Element 2: (2, (5, 8), ['', '.', '.', '.'], [(1, 8), (4, 9), (14, 7)], [False, False, False, False], 96, False, [False, True, True, True], 58, 'East', (6, 8))
Element 3: (2, (6, 8), ['', '.', '.', '.'], [(1, 9), (5, 9), (15, 7)], [False, False, False, False], 94, False, [False, True, True, True], 97, 'East', (7, 8))
Element 4: (2, (7, 8), ['', '.', '.', '.'], [(1, 8), (6, 9), (15, 8)], [False, False, False, False], 92, False, [False, True, True, True], 126, 'East', (8, 8))
Element 5: (2, (8, 8), ['', '.', '.', '.'], [(1, 7), (7, 9), (15, 9)], [False, False, False, False], 90, False, [False, True, True, True], 155, 'East', (9, 8))
Element 6: (2, (9, 8), ['', '.', '.', 'F'], [(1, 6), (8, 9), (14, 9)], [False, False, False, False], 88, False, [False, True, True, False], 184, 'East', (10, 8))
Element 7: (2, (10, 8), ['', '.', 'F', 'F'], [(1, 5), (9, 9), (14, 8)], [False, False, False, False], 86, False, [False, True, False, False], 1213, 'East', (11, 8))
Element 8: (2, (11, 8), ['', '.', 'F', '.'], [(1, 4), (10, 9), (13, 8)], [False, False, False, False], 84, False, [False, True, False, True], 3232, 'North', (11, 9))
Element 9: (2, (11, 9), ['', '', '%', '.'], [(1, 3), (10, 8), (13, 9)], [False, False, True, False], 82, False, [False, False, False, True], 4251, 'East', (12, 9))
Element 10: (2, (12, 9), ['', '.', '%', ''], [(1, 2), (10, 7), (13, 8)], [False, False, True, False], 80, False, [False, True, False, False], 4280, 'South', (12, 8))
Element 11: (2, (12, 8), ['', '.', '', ''], [(1, 1), (11, 7), (13, 7)], [False, False, False, False], 78, False, [False, True, False, False], 4309, 'South', (12, 7))
Element 12: (2, (12, 7), ['', '.', '', ''], [(2, 1), (11, 6), (13, 8)], [False, False, False, False], 76, False, [False, True, False, False], 4338, 'South', (12, 6))
Element 13: (2, (12, 6), ['', '.', '', '.'], [(3, 1), (11, 5), (14, 8)], [False, False, False, False], 74, False, [False, True, False, True], 4367, 'East', (13, 6))
Element 14: (2, (13, 6), ['', '.', '', '.'], [(4, 1), (11, 4), (14, 9)], [False, False, False, False], 72, False, [False, True, False, True], 5386, 'East', (14, 6))
Element 15: #1#
